"","mlp","xgbLinear","svmLinear","svmRadial","glmnet","C5.0","rf","AdaBoost.M1","LogitBoost","gaussprPoly","treebag","knn"
"GO:0005261",0.0063361,0.3252229,0.2478801,0.3728834,0.002095,0.0768343,0.3897951,0.3639668,0.3410668,0.1216785,0.2968332,0.2646536
"GO:0008237",0.0029386,0.0521297,0.0204718,0.2362857,0.0007618,0.0007618,0.111442,0.1048641,0.1082998,0.0222298,0.0313526,0.1058139
"GO:0016818",0.060364,0.2515376,0.2602743,0.1940471,0.003555,0.12996,0.2505007,0.2726967,0.0942632,0.1537527,0.1998157,0.2432906
"GO:0060089",0.013898,0.4041917,0.0658014,0.1419567,0.0033648,0.188763,0.4134928,0.4202723,0.2422815,0.0779849,0.3509201,0.3065305
"GO:0004857",0.0043571,0.0030052,0.0059553,0.0049985,0.0008252,0.0008252,0.0193034,0.0199627,0.1085279,0.0062122,0.0037918,0.0269688
"GO:0046872",0.0033726,0.0171846,0.0723923,0.1542489,0.0009521,0.0009521,0.0254653,0.0251434,0.0255126,0.0069975,0.0009087,0.0055452
"GO:0097159",0.0547484,0.2602686,0.1361764,0.161791,0.0125694,0.0719737,0.2568236,0.2455471,0.1373888,0.104532,0.1925527,0.2142791
"GO:0019887",0.0064579,0.1662631,0.1450454,0.326738,0.0007618,0.0007618,0.2452566,0.0943969,0.2098139,0.2311566,0.1369605,0.271674
"GO:0017048",0.000526,0.1187604,0.1221328,0.1286734,0.0007618,0.0007618,0.0777005,0.0513799,0.1851284,0.0387741,0.0007365,0.113276
"GO:0001664",0.000949,0.3883858,0.2094609,0.4244605,0.0007618,0.0007618,0.5225624,0.3638385,0.5407075,0.1361352,0.4407256,0.3216834
