"","mlp","xgbLinear","svmLinear","svmRadial","glmnet","C5.0","lda","rf","AdaBoost.M1","LogitBoost","gaussprPoly","treebag","knn"
"GO:0015031",0.0057396,0.2117151,0.0049948,0.0551384,0.0027934,0.0048909,0.0140986,0.1701665,0.1400443,0.0465196,0.0127175,0.0993747,0.140199
"GO:0031325",0.0749432,0.1842542,0.0234984,0.0739287,0.0137122,0.0243365,0.0766124,0.2026906,0.1927669,0.050078,0.0725319,0.1513225,0.1557769
"GO:0045176",0.000725,0.1093284,0.053727,0.115873,0.0005715,0.0005715,0.0095713,0.1742082,0.1455402,0.0181039,0.0053644,0.0588825,0.1674971
"GO:1901565",0.0045857,0.0583412,0.0066297,0.07612,0.0030474,0.0030474,0.0308729,0.1373837,0.0863776,0.0332889,0.0232645,0.0361954,0.0583814
"GO:0009792",0.0673048,0.1335188,0.0164393,0.0560126,0.0176484,0.0176484,0.0699861,0.1461523,0.1268424,0.0408854,0.0694042,0.1092914,0.0954218
"GO:1901046",0.0055677,0.1315253,0.0084382,0.0963303,0.0016508,0.0016508,0.0111139,0.0236429,0.0179243,0.0088932,0.013738,0.0117665,0.0340859
"GO:1903507",0.0360129,0.0563114,0.0072261,0.0365986,0.0045069,0.0045069,0.0495298,0.0533593,0.0737628,0.0267572,0.042546,0.0410965,0.0530516
"GO:0048814",0.0015751,0.0318454,0.00251,0.0058327,0.0005715,0.0005715,0.0094904,0.0090555,0.0005194,0.0265958,0.0068343,0.0005518,0.0171665
"GO:0048489",0.0034647,0.0236796,0.0047126,0.0213873,0.0012062,0.0012062,0.0263878,0.0151991,0.0148691,0.006663,0.0604222,0.0110161,0.0113827
"GO:0006508",0.0078536,0.0509158,0.0079619,0.036534,0.0033648,0.0033648,0.038883,0.0750713,0.058745,0.0181733,0.0272592,0.0526624,0.0272399
