"","mlp","xgbLinear","svmLinear","svmRadial","glmnet","C5.0","lda","rf","AdaBoost.M1","LogitBoost","gaussprPoly","treebag","knn"
"GO:0015031",0.6970198,0.9029723,0.816996,0.8348171,0.5,0.6324964,0.8750381,0.8733792,0.8447429,0.7837051,0.9141525,0.7691313,0.7347223
"GO:0031325",0.8432075,0.8591377,0.7338408,0.6981046,0.5,0.6087583,0.8700353,0.8914018,0.8553182,0.7467331,0.8657725,0.8017247,0.7351598
"GO:0045176",0.6788306,0.8032173,0.9311957,0.9398358,0.5,0.5,0.9336735,0.834883,0.792695,0.9320525,0.919637,0.6970142,0.7493329
"GO:1901565",0.7485859,0.8238152,0.8005249,0.8282116,0.5,0.5,0.8820635,0.8454807,0.830216,0.7395596,0.856524,0.674161,0.7457278
"GO:0009792",0.8611364,0.8665532,0.5723592,0.6815026,0.5,0.5903301,0.8623282,0.8898943,0.874596,0.7519185,0.8649576,0.7722166,0.7266555
"GO:1901046",0.4037624,0.7154857,0.7093468,0.737498,0.5,0.498061,0.8442868,0.7994044,0.7428972,0.8169875,0.8049746,0.6046378,0.630297
"GO:1903507",0.7781116,0.8626837,0.7649039,0.7233345,0.5,0.5,0.9469607,0.908682,0.8576196,0.7680727,0.8689958,0.7094643,0.6444109
"GO:0048814",0.4711716,0.6768451,0.622837,0.6517462,0.5,0.5,0.7659493,0.6071838,0.64171,0.7457984,0.8451797,0.4980306,0.6487294
"GO:0048489",0.7411612,0.8356096,0.7933278,0.757682,0.5,0.4982203,0.9556905,0.8431364,0.7726668,0.8363968,0.8920918,0.6187711,0.5472035
"GO:0006508",0.803338,0.8638846,0.8097902,0.8192147,0.5,0.499655,0.9227806,0.8603301,0.8038787,0.8221517,0.8798135,0.7038033,0.6690833
