,mlp,xgbLinear,svmLinear,svmRadial,glmnet,C5.0,lda,AdaBoost.M1,treebag,knn
GO:0015031,0.7379492,0.8889239,0.8422327,0.8546001,0.5,0.51179,0.8604603,0.8324084,0.7556453,0.7487582
GO:0031325,0.8670042,0.8536653,0.8117797,0.8482666,0.5,0.635332,0.8545108,0.8861992,0.6960212,0.7156988
GO:0045176,0.7622408,0.7334513,0.914741,0.9197603,0.5,0.5,0.9374845,0.7407889,0.6470142,0.6998093
GO:1901565,0.6647736,0.7940965,0.7773699,0.8029776,0.5,0.5643165,0.770526,0.7889716,0.6885404,0.6951635
GO:0009792,0.8712704,0.8589845,0.7893117,0.8553036,0.5,0.6312848,0.8378089,0.8781252,0.7220421,0.7089196
GO:1901046,0.753273,0.8276631,0.7558775,0.7787701,0.5,0.4990778,0.7169429,0.7718494,0.658798,0.6645311
GO:1903507,0.7222513,0.8406985,0.7563083,0.8119535,0.5,0.5497905,0.8461672,0.8278304,0.6004235,0.6185724
GO:0048814,0.6793616,0.833578,0.7190603,0.7134057,0.5,0.5,0.8976495,0.8405655,0.5975225,0.6493648
GO:0048489,0.7707667,0.85622,0.9174748,0.9423751,0.5,0.5254135,0.9579951,0.8726039,0.5944702,0.5728552
GO:0006508,0.799959,0.8327473,0.8340198,0.850482,0.5,0.5332175,0.7792534,0.8058318,0.6794387,0.673625
mean,0.76288498,0.83200284,0.81181757,0.83778946,0.5,0.54502226,0.84587986,0.82451743,0.66399161,0.67472979
