"","mlp","xgbLinear","svmLinear","svmRadial","glmnet","C5.0","lda","AdaBoost.M1","treebag","knn"
"GO:0005929",0.0205032,0.184431,0.0165776,0.0173269,0.0050784,0.0071477,0.0221903,0.1976241,0.1805108,0.1625063
"GO:0030424",0.0335039,0.0642553,0.0213068,0.0396112,0.0066657,0.0066657,0.0470796,0.0797462,0.0472263,0.0412149
"GO:0043226",0.1863555,0.2610639,0.0936082,0.1659605,0.0631665,0.1627905,0.1705744,0.2955177,0.2683019,0.2587605
"GO:0098687",0.0004741,0.1251506,0.0022808,0.003219,0.0008252,0.0008252,0.041632,0.1676731,0.0276812,0.0123923
"GO:0005829",0.0162033,0.0223979,0.0184416,0.0049538,0.003555,0.003555,0.0229723,0.0071071,0.0080996,0.0041845
"GO:0098562",0.0069384,0.1545308,0.0030114,0.0025295,0.0008886,0.0008886,0.1156074,0.0235664,0.0182806,0.0161503
"GO:0098802",0.0010184,0.0014966,0.0046285,0.0062796,0.0005715,0.0005715,0.006806,0.0024858,0.0005537,0.0005584
"GO:0044422",0.1729545,0.2364039,0.0446294,0.1200405,0.0373286,0.1061971,0.1486287,0.2558217,0.2411413,0.224468
"GO:0043234",0.0497151,0.1138703,0.0222433,0.0681217,0.0127598,0.0151182,0.0562046,0.1201248,0.0973157,0.1072946
"GO:0000932",0.0023448,0.0039994,0.0019525,0.035443,0.0008252,0.0008252,0.006003,0.0023509,0.0007882,0.007135
