,mlp,xgbLinear,svmLinear,svmRadial,glmnet,C5.0,lda,AdaBoost.M1,treebag,knn
GO:0005929,0.886128,0.9207431,0.8319381,0.8786345,0.5,0.6311985,0.9401832,0.8943429,0.8419205,0.8377916
GO:0030424,0.8331463,0.8700248,0.7067172,0.7119831,0.5,0.5041432,0.9105462,0.8802645,0.7414792,0.6684961
GO:0043226,0.8281736,0.859926,0.7324081,0.7409976,0.5,0.7481245,0.8391266,0.8664517,0.8311006,0.7708254
GO:0098687,0.413078,0.7047649,0.5385643,0.359244,0.5,0.5,0.7814485,0.7056067,0.5980146,0.5723633
GO:0005829,0.6866772,0.7693864,0.5035269,0.4955208,0.5,0.5,0.7984507,0.7308719,0.5537026,0.5186876
GO:0098562,0.3679269,0.5962261,0.6007768,0.596997,0.5,0.5,0.8681109,0.6884476,0.520266,0.5728396
GO:0098802,0.3416238,0.6651241,0.7540062,0.7265874,0.5,0.5,0.8897097,0.5863734,0.4971097,0.498666
GO:0044422,0.8237636,0.8801397,0.736852,0.7904559,0.5,0.7184666,0.8654971,0.8689773,0.8361707,0.7898109
GO:0043234,0.864898,0.881526,0.6863079,0.7066012,0.5,0.6085509,0.8467295,0.8902646,0.7869223,0.777825
GO:0000932,0.1110901,0.7856416,0.8635321,0.8428525,0.5,0.5,0.9855304,0.7614358,0.6723793,0.6486498
mean,0.61565055,0.79335027,0.69546296,0.6849874,0.5,0.57104837,0.87253328,0.78730364,0.68790655,0.66559553
