,mlp,xgbLinear,svmLinear,svmRadial,glmnet,C5.0,lda,AdaBoost.M1,treebag,knn
GO:0005929,0.2122182,0.3629015,0.2932811,0.2731262,0.0050784,0.0879088,0.3216446,0.4008096,0.2911853,0.2999158
GO:0030424,0.0431158,0.1031911,0.058618,0.0551483,0.0066657,0.0072575,0.1398208,0.1073878,0.0748685,0.0758547
GO:0043226,0.3243199,0.3613796,0.2561039,0.3011146,0.0631665,0.2054314,0.3140405,0.3744487,0.339363,0.3008813
GO:0098687,0.0011136,0.1575795,0.1226148,0.0008765,0.0008252,0.0008252,0.0992079,0.1015145,0.0895923,0.0127164
GO:0005829,0.0188362,0.0236249,0.0224534,0.0042883,0.003555,0.003555,0.0285204,0.0165448,0.0092884,0.0052495
GO:0098562,0.0012436,0.0709459,0.0195487,0.0263194,0.0008886,0.0008886,0.0900084,0.0708933,0.0509126,0.0365405
GO:0098802,0.0005794,0.0242891,0.1071008,0.0742488,0.0005715,0.0005715,0.0464777,0.0107029,0.0005565,0.0005633
GO:0044422,0.3392081,0.3823952,0.2659407,0.335707,0.0373286,0.2156448,0.3240773,0.3718381,0.3754774,0.312645
GO:0043234,0.10402,0.2329214,0.0762122,0.1653609,0.0127598,0.1022001,0.1807379,0.2461341,0.1926481,0.1764217
GO:0000932,0.0004631,0.3537165,0.3732728,0.3928646,0.0008252,0.0008252,0.2586689,0.3588702,0.1527577,0.0933806
mean,0.10451179,0.20729447,0.15951464,0.16290546,0.01316645,0.06251081,0.18032044,0.2059144,0.15766498,0.13141688
