"","mlp","xgbLinear","svmLinear","svmRadial","glmnet","C5.0","lda","rf","AdaBoost.M1","LogitBoost","gaussprPoly","treebag","knn"
"GO:0005261",0.7578411,0.8571009,0.7318752,0.831513,0.5,0.5,0.8658034,0.8480227,0.8157019,0.816886,0.795911,0.7737223,0.7545057
"GO:0008237",0.6342122,0.5785579,0.5975857,0.8512707,0.5,0.5,0.6394855,0.7035737,0.6045901,0.7432497,0.6327826,0.5950127,0.697681
"GO:0016818",0.8475019,0.878876,0.7034633,0.5542136,0.5,0.604848,0.9048634,0.9057337,0.8508151,0.8079586,0.8881359,0.7892163,0.7353951
"GO:0060089",0.8062173,0.9085252,0.5016727,0.7875687,0.5,0.5827134,0.8648157,0.9545982,0.8589222,0.8835857,0.865546,0.7707995,0.7758839
"GO:0004857",0.5540412,0.6464853,0.4260571,0.6980096,0.5,0.5,0.7030763,0.5952754,0.4994587,0.4666802,0.6877012,0.4935509,0.5216801
"GO:0046872",0.6707352,0.8261314,0.4503025,0.6950758,0.5,0.5,0.8055638,0.7919047,0.5968815,0.7590056,0.7914427,0.4931371,0.6715052
"GO:0097159",0.7800794,0.8548658,0.464173,0.6177,0.5,0.5140231,0.771871,0.8611514,0.8461166,0.690531,0.7846524,0.7677474,0.7516783
"GO:0019887",0.2930433,0.6622617,0.5751588,0.5564484,0.5,0.5,0.8419632,0.7787326,0.689676,0.7979352,0.8350381,0.5464104,0.6980622
"GO:0017048",0.5662326,0.6884053,0.6972047,0.6408197,0.5,0.5,0.8464423,0.7362292,0.6831004,0.8713944,0.882497,0.5707114,0.4970775
"GO:0001664",0.6845776,0.8203462,0.8831003,0.8446634,0.5,0.5,0.8175666,0.8606734,0.7673601,0.8512548,0.8309086,0.6475223,0.8483163
