,mlp,xgbLinear,svmLinear,svmRadial,glmnet,C5.0,lda,rf,AdaBoost.M1,LogitBoost,gaussprPoly,treebag,knn
GO:0005261,0.0047944,0.2884412,0.023111,0.0324952,0.002095,0.002095,0.0135991,0.3671216,0.2629548,0.0605497,0.0248006,0.224226,0.2639837
GO:0008237,0.0029538,0.0110971,0.0027086,0.15984,0.0007618,0.0007618,0.0090594,0.1090964,0.1159935,0.0190801,0.0078803,0.1050917,0.0388087
GO:0016818,0.0640021,0.2044657,0.0634157,0.1347304,0.003555,0.0435345,0.1615867,0.2127663,0.1975136,0.1418271,0.0637552,0.1703815,0.2001018
GO:0060089,0.0218139,0.2050759,0.0391638,0.0143185,0.0033648,0.0143652,0.0204366,0.3238274,0.266536,0.0466671,0.0235651,0.1864465,0.2261271
GO:0004857,0.0011051,0.0026036,0.00167,0.0122032,0.0008252,0.0008252,0.0038037,0.0035341,0.0015692,0.0008293,0.0043331,0.0007886,0.0037961
GO:0046872,0.0031693,0.0115698,0.0013409,0.0580428,0.0009521,0.0009521,0.0097747,0.010567,0.0069515,0.0100675,0.0055141,0.0009083,0.0400394
GO:0097159,0.0350454,0.2008929,0.0235314,0.0922333,0.0125694,0.0236466,0.0410848,0.2320598,0.212243,0.0402433,0.0386073,0.1683836,0.2040157
GO:0019887,0.0016012,0.2617854,0.0030403,0.2103124,0.0007618,0.0007618,0.2296324,0.3076528,0.141739,0.2126136,0.1515661,0.0313627,0.1753099
GO:0017048,0.0020438,0.0287146,0.1059097,0.0156414,0.0007618,0.0007618,0.0156667,0.0466908,0.0329661,0.0218526,0.0092094,0.0290957,0.0007433
GO:0001664,0.0027272,0.0819641,0.0649714,0.0067888,0.0007618,0.0007618,0.2017137,0.3855051,0.2943663,0.2402096,0.2018986,0.1539705,0.1392657
mean,0.01392562,0.12966103,0.03288628,0.0736606,0.00264087,0.00884658,0.07063578,0.19988213,0.1532833,0.07939399,0.05311298,0.10706551,0.12921914
