Variance 50%,mlp,xgbLinear,svmLinear,svmRadial,glmnet,C5.0,lda,rf,AdaBoost.M1,LogitBoost,gaussprPoly,treebag,knn
GO:0005261,0.0047944,0.2884412,0.023111,0.0324952,0.002095,0.002095,0.0135991,0.3671216,0.2629548,0.0605497,0.0248006,0.224226,0.2639837
GO:0008237,0.0029538,0.0110971,0.0027086,0.15984,0.0007618,0.0007618,0.0090594,0.1090964,0.1159935,0.0190801,0.0078803,0.1050917,0.0388087
GO:0016818,0.0640021,0.2044657,0.0634157,0.1347304,0.003555,0.0435345,0.1615867,0.2127663,0.1975136,0.1418271,0.0637552,0.1703815,0.2001018
GO:0060089,0.0218139,0.2050759,0.0391638,0.0143185,0.0033648,0.0143652,0.0204366,0.3238274,0.266536,0.0466671,0.0235651,0.1864465,0.2261271
GO:0004857,0.0011051,0.0026036,0.00167,0.0122032,0.0008252,0.0008252,0.0038037,0.0035341,0.0015692,0.0008293,0.0043331,0.0007886,0.0037961
GO:0046872,0.0031693,0.0115698,0.0013409,0.0580428,0.0009521,0.0009521,0.0097747,0.010567,0.0069515,0.0100675,0.0055141,0.0009083,0.0400394
GO:0097159,0.0350454,0.2008929,0.0235314,0.0922333,0.0125694,0.0236466,0.0410848,0.2320598,0.212243,0.0402433,0.0386073,0.1683836,0.2040157
GO:0019887,0.0016012,0.2617854,0.0030403,0.2103124,0.0007618,0.0007618,0.2296324,0.3076528,0.141739,0.2126136,0.1515661,0.0313627,0.1753099
GO:0017048,0.0020438,0.0287146,0.1059097,0.0156414,0.0007618,0.0007618,0.0156667,0.0466908,0.0329661,0.0218526,0.0092094,0.0290957,0.0007433
GO:0001664,0.0027272,0.0819641,0.0649714,0.0067888,0.0007618,0.0007618,0.2017137,0.3855051,0.2943663,0.2402096,0.2018986,0.1539705,0.1392657
mean,0.01392562,0.12966103,0.03288628,0.0736606,0.00264087,0.00884658,0.07063578,0.19988213,0.1532833,0.07939399,0.05311298,0.10706551,0.12921914
,,,,,,,,,,,,,
Variance 70%,mlp,xgbLinear,svmLinear,svmRadial,glmnet,C5.0,lda,rf,AdaBoost.M1,LogitBoost,gaussprPoly,treebag,knn
GO:0005261,0.0063361,0.3252229,0.2478801,0.3728834,0.002095,0.0768343,0.1442535,0.3897951,0.3639668,0.3410668,0.1216785,0.2968332,0.2646536
GO:0008237,0.0029386,0.0521297,0.0204718,0.2362857,0.0007618,0.0007618,0.1331147,0.111442,0.1048641,0.1082998,0.0222298,0.0313526,0.1058139
GO:0016818,0.060364,0.2515376,0.2602743,0.1940471,0.003555,0.12996,0.1874899,0.2505007,0.2726967,0.0942632,0.1537527,0.1998157,0.2432906
GO:0060089,0.013898,0.4041917,0.0658014,0.1419567,0.0033648,0.188763,0.1064055,0.4134928,0.4202723,0.2422815,0.0779849,0.3509201,0.3065305
GO:0004857,0.0043571,0.0030052,0.0059553,0.0049985,0.0008252,0.0008252,0.0052377,0.0193034,0.0199627,0.1085279,0.0062122,0.0037918,0.0269688
GO:0046872,0.0033726,0.0171846,0.0723923,0.1542489,0.0009521,0.0009521,0.0195269,0.0254653,0.0251434,0.0255126,0.0069975,0.0009087,0.0055452
GO:0097159,0.0547484,0.2602686,0.1361764,0.161791,0.0125694,0.0719737,0.2026425,0.2568236,0.2455471,0.1373888,0.104532,0.1925527,0.2142791
GO:0019887,0.0064579,0.1662631,0.1450454,0.326738,0.0007618,0.0007618,0.1808951,0.2452566,0.0943969,0.2098139,0.2311566,0.1369605,0.271674
GO:0017048,0.000526,0.1187604,0.1221328,0.1286734,0.0007618,0.0007618,0.1590367,0.0777005,0.0513799,0.1851284,0.0387741,0.0007365,0.113276
GO:0001664,0.000949,0.3883858,0.2094609,0.4244605,0.0007618,0.0007618,0.1059644,0.5225624,0.3638385,0.5407075,0.1361352,0.4407256,0.3216834
mean,0.01539477,0.19869496,0.12855907,0.21460832,0.00264087,0.04723555,0.12445669,0.23123424,0.19620684,0.19929904,0.08994535,0.16545974,0.18737151
,,,,,,,,,,,,,
Variance 90%,mlp,xgbLinear,svmLinear,svmRadial,glmnet,C5.0,lda,rf,AdaBoost.M1,LogitBoost,gaussprPoly,treebag,knn
GO:0005261,0.0046433,0.342883,0.3968537,0.413118,0.002095,0.0590782,0.3389321,0.3831041,0.3141689,0.306176,0.2232124,0.2347493,0.3130948
GO:0008237,0.0022064,0.0453739,0.2058995,0.27656,0.0007618,0.0007618,0.331836,0.2172842,0.1232063,0.1434852,0.117758,0.1006715,0.0866804
GO:0016818,0.0847516,0.270223,0.3338199,0.3379917,0.003555,0.1489981,0.288743,0.2465656,0.2142208,0.2127216,0.1632627,0.1275369,0.2829536
GO:0060089,0.0376524,0.3600406,0.2969816,0.2912659,0.0033648,0.0450526,0.2998098,0.3541041,0.4039197,0.3097702,0.1050514,0.2114171,0.3163017
GO:0004857,0.0054913,0.0591554,0.1079326,0.0836189,0.0008252,0.0008252,0.085053,0.0677105,0.1017907,0.0609497,0.0085354,0.0201889,0.0383695
GO:0046872,0.0052719,0.0047082,0.1737121,0.1915553,0.0009521,0.0009521,0.0861462,0.0050804,0.0017779,0.0488106,0.008593,0.0009154,0.0065663
GO:0097159,0.0952448,0.234065,0.2625089,0.2588271,0.0125694,0.0668547,0.3151573,0.1728401,0.2487296,0.170517,0.1277598,0.1140211,0.1860956
GO:0019887,0.0208523,0.2183686,0.3765456,0.3282022,0.0007618,0.0007618,0.2081599,0.1354669,0.0229358,0.0645428,0.2302888,0.1135906,0.2804153
GO:0017048,0.0029341,0.0030416,0.117416,0.1270703,0.0007618,0.0007618,0.0957023,0.005009,0.0050266,0.0232045,0.0419896,0.0123623,0.0340979
GO:0001664,0.0107794,0.4442395,0.2956465,0.3665734,0.0007618,0.0007618,0.188496,0.4144938,0.4232582,0.3902746,0.2456752,0.4904412,0.3846674
mean,0.02698275,0.19820988,0.25673164,0.26747828,0.00264087,0.03248081,0.22380356,0.20016587,0.18590345,0.17304522,0.12721263,0.14258943,0.19292425
