"class_names","auroc","auprc","times"
"GO:0000151",0.002543,0.000319,13.068
"GO:0000151",0.993964,0.536493,11.979
"GO:0000151",0.993643,0.046898,11.376
"GO:0000151",1,1,11.325
"GO:0000151",0.996823,0.153119,11.251
"GO:0000151",1,1,11.192
"GO:0000151",0.997459,0.241186,11.296
"GO:0000151",0.839161,0.001971,11.267
"GO:0000151",0.997459,0.578558,11.332
"GO:0000151",1,1,11.338
"GO:0000151",0.8821052,0.4558544,209.384
"GO:0000228",0.985147,0.138266,11.195
"GO:0000228",0.965437,0.07371,11.227
"GO:0000228",0.987065,0.374628,11.488
"GO:0000228",0.991571,0.482286,11.255
"GO:0000228",0.973707,0.044581,11.041
"GO:0000228",0.990458,0.493181,11.366
"GO:0000228",0.839854,0.515328,11.15
"GO:0000228",0.957379,0.364753,11.379
"GO:0000228",0.999576,0.768951,11.186
"GO:0000228",0.945452,0.037368,11.428
"GO:0000228",0.9635646,0.3293052,214.162
"GO:0000323",0.697394,0.001049,11.396
"GO:0000323",0.66439,0.002898,11.41
"GO:0000323",0.685633,0.095323,11.233
"GO:0000323",0.976493,0.013275,11.258
"GO:0000323",0.991736,0.123886,11.1709999999999
"GO:0000323",0.828463,0.003518,11.2410000000001
"GO:0000323",0.700572,0.00106,11.171
"GO:0000323",0.989517,0.175779,11.236
"GO:0000323",0.684202,0.019101,11.3000000000001
"GO:0000323",0.91709,0.007178,11.264
"GO:0000323",0.813549,0.0443067,207.239
"GO:0000776",0.981328,0.067377,11.279
"GO:0000776",0.999682,0.872294,11.457
"GO:0000776",0.778485,0.495216,11.47
"GO:0000776",0.999364,0.866469,11.2850000000001
"GO:0000776",0.99634,0.274101,11.25
"GO:0000776",0.999841,0.944214,11.341
"GO:0000776",0.999046,0.780851,11.2379999999999
"GO:0000776",0.995703,0.4955,11.254
"GO:0000776",0.997295,0.533991,11.443
"GO:0000776",0.99841,0.81473,11.351
"GO:0000776",0.9745494,0.6144743,191.045
"GO:0000777",0.999364,0.306853,11.249
"GO:0000777",1,1,11.1999999999999
"GO:0000777",0.997459,0.578558,11.328
"GO:0000777",0.987929,0.025427,10.718
"GO:0000777",0.983482,0.059643,10.6809999999999
"GO:0000777",1,1,10.772
"GO:0000777",1,1,11.0699999999999
"GO:0000777",0.991741,0.181672,11.092
"GO:0000777",1,1,10.896
"GO:0000777",0.999365,0.712318,10.729
"GO:0000777",0.995934,0.5864471,208.089
"GO:0000785",0.960323,0.027157,10.6690000000001
"GO:0000785",0.920271,0.11435,10.7139999999999
"GO:0000785",0.951177,0.26758,10.9739999999999
"GO:0000785",0.98134,0.373003,11.1270000000002
"GO:0000785",0.790553,0.01026,10.9400000000001
"GO:0000785",0.93868,0.022344,10.999
"GO:0000785",0.768448,0.011152,10.8880000000001
"GO:0000785",0.943146,0.024787,10.809
"GO:0000785",0.842663,0.006675,10.6460000000002
"GO:0000785",0.819577,0.126483,10.4580000000001
"GO:0000785",0.8916178,0.0983791,195.816
"GO:0000790",0.989828,0.093024,10.884
"GO:0000790",0.671964,0.005157,10.7080000000001
"GO:0000790",0.496027,0.008136,10.9490000000001
"GO:0000790",0.880483,0.005305,10.749
"GO:0000790",0.973723,0.084149,10.999
"GO:0000790",0.98951,0.069574,11.1179999999999
"GO:0000790",0.923395,0.007771,10.8209999999999
"GO:0000790",0.942784,0.010343,10.981
"GO:0000790",0.896376,0.005725,11.1220000000001
"GO:0000790",0.979869,0.041334,9.95600000000013
"GO:0000790",0.8743959,0.0330518,191.939
"GO:0000793",0.978458,0.121277,10.5250000000001
"GO:0000793",0.978662,0.184789,11.0509999999999
"GO:0000793",0.746017,0.013624,10.75
"GO:0000793",0.985096,0.115527,10.758
"GO:0000793",0.971957,0.264824,8.53600000000006
"GO:0000793",0.955732,0.418465,9.71100000000001
"GO:0000793",0.424474,0.018749,10.8999999999999
"GO:0000793",0.978238,0.342423,11.3140000000001
"GO:0000793",0.826216,0.281305,10.982
"GO:0000793",0.811465,0.068633,10.9459999999999
"GO:0000793",0.8656315,0.1829616,175.101
"GO:0000794",0.984733,0.110306,11.1079999999999
"GO:0000794",0.964399,0.047546,11.0940000000001
"GO:0000794",0.958863,0.115628,11.144
"GO:0000794",0.978385,0.0266,9.07199999999989
"GO:0000794",0.974343,0.042069,7.74900000000002
"GO:0000794",0.980504,0.675482,7.86900000000014
"GO:0000794",0.947201,0.011109,7.84800000000018
"GO:0000794",0.983471,0.141401,8.83899999999994
"GO:0000794",0.980916,0.452831,11.0899999999999
"GO:0000794",0.993431,0.145894,10.086
"GO:0000794",0.9746246,0.1768866,157.752
"GO:0000922",0.997457,0.107426,10.7829999999999
"GO:0000922",0.993011,0.129335,9.51099999999997
"GO:0000922",0.996823,0.088392,11.2730000000001
"GO:0000922",0.989193,0.175132,10.778
"GO:0000922",0.968869,0.010067,10.5229999999999
"GO:0000922",0.999365,0.450694,11.0070000000001
"GO:0000922",0.973935,0.012,11.3119999999999
"GO:0000922",0.994917,0.142765,11.796
"GO:0000922",0.992376,0.039488,11.011
"GO:0000922",0.951398,0.099451,11.463
"GO:0000922",0.9857344,0.125475,195.285
"GO:0000932",0.996186,0.075096,12.6299999999999
"GO:0000932",0.997459,0.107426,12.4379999999999
"GO:0000932",0.998094,0.136954,12.9760000000001
"GO:0000932",0.998094,0.26805,11.8649999999998
"GO:0000932",0.999365,0.306853,11.7910000000002
"GO:0000932",1,1,11.0920000000001
"GO:0000932",1,1,12.0599999999999
"GO:0000932",1,1,11.9969999999998
"GO:0000932",0.994917,0.057736,10.6700000000001
"GO:0000932",1,1,12.6319999999996
"GO:0000932",0.9984115,0.4952115,257.908
"GO:0005575",0.82071,0.5494,11.346
"GO:0005575",0.805171,0.514106,13.152
"GO:0005575",0.86775,0.548134,11.5529999999999
"GO:0005575",0.875495,0.574728,11.5359999999996
"GO:0005575",0.829958,0.540333,11.8330000000001
"GO:0005575",0.811181,0.525794,12.27
"GO:0005575",0.841718,0.533947,15.1190000000001
"GO:0005575",0.81899,0.509911,10.7079999999996
"GO:0005575",0.842274,0.522622,11.8600000000001
"GO:0005575",0.836016,0.58505,12.3509999999997
"GO:0005575",0.8349263,0.5404025,252.23
"GO:0005578",0.998729,0.18907,11.1849999999999
"GO:0005578",0.989835,0.522353,12.4739999999997
"GO:0005578",0.994914,0.057736,11.7170000000001
"GO:0005578",0.999047,0.365744,11.1700000000001
"GO:0005578",0.017154,0.000645,11.5509999999999
"GO:0005578",0.994278,0.051755,11.3069999999998
"GO:0005578",0.95648,0.505413,12.616
"GO:0005578",0.932613,0.004688,11.3110000000001
"GO:0005578",0.716645,0.0336,12.6659999999997
"GO:0005578",0.97967,0.511441,11.4749999999999
"GO:0005578",0.8579365,0.2242445,257.471
"GO:0005604",1,1,11.5030000000002
"GO:0005604",0.997141,0.571104,11.7270000000003
"GO:0005604",1,1,10.884
"GO:0005604",0.986658,0.51722,11.2709999999997
"GO:0005604",0.992376,0.183973,11.9070000000002
"GO:0005604",1,1,13.5659999999998
"GO:0005604",0.999682,0.797267,12.2030000000004
"GO:0005604",0.999364,0.306853,11.6799999999998
"GO:0005604",0.992694,0.185271,12.864
"GO:0005604",0.998729,0.318711,12.9850000000001
"GO:0005604",0.9966644,0.5880399,252.34
"GO:0005615",0.64313,0.002668,11.2600000000002
"GO:0005615",0.709366,0.004004,11.4970000000003
"GO:0005615",0.37659,0.000915,12.2959999999998
"GO:0005615",0.928375,0.022985,12.6500000000001
"GO:0005615",0.742318,0.007836,12.6039999999998
"GO:0005615",0.575223,0.001527,11.8540000000003
"GO:0005615",0.92011,0.011064,11.944
"GO:0005615",0.800254,0.002969,13.7720000000004
"GO:0005615",0.818818,0.007753,11.6059999999998
"GO:0005615",0.753444,0.007346,11.52
"GO:0005615",0.7267628,0.0069067,257.285
"GO:0005622",0.822745,0.001788,10.8799999999997
"GO:0005622",0.435515,0.000505,11.3019999999997
"GO:0005622",0.423443,0.000494,11.569
"GO:0005622",0.42122,0.000492,12.9070000000002
"GO:0005622",0.474269,0.000541,11.04
"GO:0005622",0.476175,0.000543,11.373
"GO:0005622",0.881194,0.002664,11.9630000000002
"GO:0005622",0.447586,0.000515,11.9880000000003
"GO:0005622",0.413278,0.000486,11.7149999999997
"GO:0005622",0.219524,0.000729,11.5500000000002
"GO:0005622",0.5014949,0.0008757,243.79
"GO:0005634",0.867004,0.324878,11.415
"GO:0005634",0.775771,0.19847,12.1590000000001
"GO:0005634",0.784166,0.19712,10.826
"GO:0005634",0.778254,0.254287,11.52
"GO:0005634",0.790682,0.33916,12.1409999999996
"GO:0005634",0.811294,0.315188,12.3699999999999
"GO:0005634",0.865215,0.279537,12.058
"GO:0005634",0.801516,0.266206,11.6089999999999
"GO:0005634",0.745047,0.168376,12.4370000000004
"GO:0005634",0.859265,0.3107,11.6109999999999
"GO:0005634",0.8078214,0.2653922,243.947
"GO:0005635",0.73536,0.048044,11.5430000000001
"GO:0005635",0.982336,0.42523,11.8090000000002
"GO:0005635",0.879854,0.298106,12.386
"GO:0005635",0.99443,0.201161,11.616
"GO:0005635",0.981381,0.59066,11.5709999999999
"GO:0005635",0.951146,0.076954,12.0160000000001
"GO:0005635",0.936028,0.098064,12.4850000000001
"GO:0005635",0.754137,0.516389,12.0190000000002
"GO:0005635",0.935232,0.19129,12.2570000000001
"GO:0005635",0.972519,0.534986,11.5260000000003
