"class_names","auroc","auprc","times"
"GO:0000151",0.005722,0.00032,3.085
"GO:0000151",0.988564,0.519972,3.333
"GO:0000151",0.996821,0.088392,4.065
"GO:0000151",0.999682,0.797267,4.29
"GO:0000151",0.513977,0.153916,3.392
"GO:0000151",0.834075,0.001911,3.30799999999999
"GO:0000151",0.899936,0.096919,3.33
"GO:0000151",0.010172,0.000321,3.949
"GO:0000151",0.514295,0.50049,3.849
"GO:0000151",1,1,3.71300000000001
"GO:0000151",0.6763244,0.3159508,104.237
"GO:0000228",0.715892,0.091929,12.815
"GO:0000228",0.659033,0.020949,10.729
"GO:0000228",0.36514,0.10317,11.463
"GO:0000228",0.715172,0.401784,10.039
"GO:0000228",0.622774,0.006636,11.691
"GO:0000228",0.692536,0.377206,10.327
"GO:0000228",0.866889,0.14392,7.47699999999998
"GO:0000228",0.370229,0.334227,10.603
"GO:0000228",0.991306,0.398793,13.117
"GO:0000228",0.715172,0.011585,11.847
"GO:0000228",0.6714143,0.1890199,177.13
"GO:0000323",0.015257,0.000323,11.46
"GO:0000323",0.234593,0.000744,10.658
"GO:0000323",0.689447,0.029673,3.44799999999998
"GO:0000323",0.070521,0.000342,10
"GO:0000323",0.938334,0.009513,9.80599999999998
"GO:0000323",0.476811,0.003616,10.254
"GO:0000323",0.990464,0.031922,10.737
"GO:0000323",0.968234,0.026768,8.642
"GO:0000323",0.73808,0.05472,8.58000000000004
"GO:0000323",0.09784,0.000685,13.695
"GO:0000323",0.5219581,0.0158306,175.168
"GO:0000776",0.327817,0.002228,8.80799999999999
"GO:0000776",0.993475,0.468616,9.86599999999999
"GO:0000776",0.522597,0.280882,6.64100000000008
"GO:0000776",0.998251,0.613039,7.05600000000004
"GO:0000776",0.750159,0.16007,9.22899999999993
"GO:0000776",0.750477,0.750557,10.885
"GO:0000776",0.753499,0.437016,9.50099999999998
"GO:0000776",0.916454,0.260695,9.5
"GO:0000776",0.729153,0.504582,7.755
"GO:0000776",0.993957,0.426021,7.553
"GO:0000776",0.7735839,0.3903706,157.055
"GO:0000777",0.982835,0.018074,3.88700000000006
"GO:0000777",1,1,3.84299999999996
"GO:0000777",0.997776,0.203834,3.82399999999996
"GO:0000777",0.985388,0.021129,4.101
"GO:0000777",0.487294,0.00441,4.10400000000004
"GO:0000777",0.999364,0.306853,4.32600000000002
"GO:0000777",0.999365,0.306853,5.05899999999997
"GO:0000777",0.499365,0.038025,3.04499999999996
"GO:0000777",1,1,4.24599999999998
"GO:0000777",0.992694,0.07679,4.41699999999992
"GO:0000777",0.8944081,0.2975968,116.65
"GO:0000785",0.948653,0.016959,18.861
"GO:0000785",0.627226,0.017397,17.149
"GO:0000785",0.509701,0.080449,22.289
"GO:0000785",0.88698,0.16237,18.0210000000001
"GO:0000785",0.559001,0.04993,11.866
"GO:0000785",0.936346,0.017041,18.3040000000001
"GO:0000785",0.265691,0.001163,21.2520000000001
"GO:0000785",0.45062,0.003881,13.635
"GO:0000785",0.565098,0.002836,15.0490000000001
"GO:0000785",0.379214,0.003804,23.52
"GO:0000785",0.612853,0.035583,267.125
"GO:0000790",0.979975,0.511618,12.1519999999999
"GO:0000790",0.273999,0.000795,15.7169999999999
"GO:0000790",0.89876,0.006463,15.1870000000001
"GO:0000790",0.894151,0.005574,13.7069999999999
"GO:0000790",0.985378,0.06117,7.30599999999981
"GO:0000790",0.991736,0.072348,12.067
"GO:0000790",0.077559,0.000682,15.566
"GO:0000790",0.945963,0.011344,16.1650000000002
"GO:0000790",0.932295,0.008713,15.549
"GO:0000790",0.962068,0.029867,6.82599999999979
"GO:0000790",0.7941884,0.0708574,207.377
"GO:0000793",0.946845,0.065411,32.0219999999999
"GO:0000793",0.813482,0.279657,38.136
"GO:0000793",0.490865,0.027983,28.231
"GO:0000793",0.787516,0.163761,30.248
"GO:0000793",0.95666,0.356273,34.002
"GO:0000793",0.846391,0.108425,33.8609999999999
"GO:0000793",0.372212,0.010953,26.9960000000001
"GO:0000793",0.861465,0.59403,32.768
"GO:0000793",0.683981,0.239144,30.5239999999999
"GO:0000793",0.811571,0.131144,36.3499999999999
"GO:0000793",0.7570988,0.1976781,403.038
"GO:0000794",0.976463,0.509927,7.47299999999996
"GO:0000794",0.636787,0.010134,6.96399999999994
"GO:0000794",0.961832,0.027497,6.66399999999999
"GO:0000794",0.499682,0.044674,6.02600000000007
"GO:0000794",0.632528,0.016908,6.94499999999994
"GO:0000794",0.995974,0.447309,9.32199999999989
"GO:0000794",0.026718,0.000647,5.63400000000001
"GO:0000794",0.663912,0.025183,6.57500000000005
"GO:0000794",0.967345,0.34994,7.07999999999993
"GO:0000794",0.665183,0.109922,7.15100000000007
"GO:0000794",0.7026424,0.1542141,146.35
"GO:0000922",1,1,5.55199999999991
"GO:0000922",0.495553,0.016437,7.72400000000016
"GO:0000922",0.959339,0.007732,6.09199999999987
"GO:0000922",0.003179,0.000636,7.50600000000009
"GO:0000922",1,1,5.60199999999986
"GO:0000922",0.985388,0.041955,6.1690000000001
"GO:0000922",0.033058,0.000329,5.86500000000001
"GO:0000922",0.485705,0.005834,5.56700000000001
"GO:0000922",1,1,6.30499999999984
"GO:0000922",0.549555,0.009914,4.82099999999991
"GO:0000922",0.6511777,0.3082837,139.676
"GO:0000932",0.996186,0.075096,3.16399999999999
"GO:0000932",0.999365,0.306853,3.18999999999983
"GO:0000932",0.994282,0.051755,3.36099999999988
"GO:0000932",0.996506,0.218369,3.02500000000009
"GO:0000932",0.998094,0.136954,3.60799999999995
"GO:0000932",0.997459,0.107426,3.57100000000014
"GO:0000932",1,1,3.74700000000007
"GO:0000932",1,1,3.01499999999987
"GO:0000932",0.997459,0.107426,3.096
"GO:0000932",1,1,3.78300000000013
"GO:0000932",0.9979351,0.4003879,111.744
"GO:0005575",0.798931,0.54298,2174.181
"GO:0005575",0.770363,0.516877,2294.305
"GO:0005575",0.825183,0.534099,1868.776
"GO:0005575",0.844772,0.537489,1834.177
"GO:0005575",0.824421,0.516664,1819.436
"GO:0005575",0.764877,0.498373,1875.857
"GO:0005575",0.806798,0.510091,1683.434
"GO:0005575",0.757376,0.491598,1423.299
"GO:0005575",0.830531,0.550664,1427.561
"GO:0005575",0.840204,0.573592,1397.098
"GO:0005575",0.8063456,0.5272427,17891.518
"GO:0005578",0.006993,0.00032,7.92900000000009
"GO:0005578",0.000318,0.000635,8.53499999999985
"GO:0005578",0.991736,0.036596,8.625
"GO:0005578",0.999047,0.365744,8.52999999999884
"GO:0005578",0.533672,0.010655,4.24299999999857
"GO:0005578",0.923713,0.004144,7.92500000000291
"GO:0005578",0.497141,0.013874,6.65699999999924
"GO:0005578",0.096631,0.000352,7.7019999999975
"GO:0005578",0.746506,0.501131,7.69000000000233
"GO:0005578",0.987294,0.17192,7.92199999999866
"GO:0005578",0.5783051,0.1105371,153.299999999999
"GO:0005604",1,1,3.63299999999799
"GO:0005604",0.999682,0.797267,3.53199999999924
"GO:0005604",1,1,3.61200000000099
"GO:0005604",0.954257,0.505153,3.45700000000215
"GO:0005604",0.993329,0.094142,3.17399999999907
"GO:0005604",0.998729,0.18907,3.96199999999953
"GO:0005604",0.999047,0.665285,3.0789999999979
"GO:0005604",0.998729,0.18907,3.06999999999971
"GO:0005604",0.501906,0.017532,3.51800000000003
"GO:0005604",0.997776,0.203834,3.45400000000154
"GO:0005604",0.9443455,0.4661353,113.902999999998
"GO:0005615",0.761768,0.02262,13.2489999999998
"GO:0005615",0.488345,0.002423,11.8940000000002
"GO:0005615",0.454517,0.001044,10.6719999999987
"GO:0005615",0.329519,0.002338,6.24399999999878
"GO:0005615",0.716465,0.004163,4.90000000000146
"GO:0005615",0.772106,0.004591,10.976999999999
"GO:0005615",0.664124,0.068493,11.0240000000013
"GO:0005615",0.938295,0.009515,11.1700000000019
"GO:0005615",0.863954,0.006486,4.90799999999945
"GO:0005615",0.245179,0.001141,7.15699999999924
"GO:0005615",0.6234272,0.0122814,173.866000000002
"GO:0005622",0.977764,0.014019,4.23300000000017
"GO:0005622",0.385959,0.000465,3.03800000000047
"GO:0005622",0.385324,0.000464,2.82400000000052
"GO:0005622",0.385642,0.000464,3.31299999999828
"GO:0005622",0.36817,0.000451,2.74399999999878
"GO:0005622",0.44695,0.000514,5.00400000000081
"GO:0005622",0.787166,0.00149,3.0460000000021
"GO:0005622",0.389136,0.000466,3.02000000000044
"GO:0005622",0.384689,0.000464,3.09799999999814
"GO:0005622",0.688413,0.007667,2.3179999999993
"GO:0005622",0.5199213,0.0026464,110.025999999998
"GO:0005634",0.725902,0.258998,1330.547
"GO:0005634",0.600407,0.149451,827.213
"GO:0005634",0.642948,0.16322,500.192000000003
"GO:0005634",0.668468,0.180892,1440.068
"GO:0005634",0.737609,0.174094,2008.988
"GO:0005634",0.661958,0.198097,1043.657
"GO:0005634",0.803111,0.246611,932.392
"GO:0005634",0.702241,0.225418,1084.147
"GO:0005634",0.739939,0.218331,766.697
"GO:0005634",0.650149,0.156167,1488.498
"GO:0005634",0.6932732,0.1971279,11502.54
"GO:0005635",0.491725,0.079656,11.8080000000009
"GO:0005635",0.75557,0.094515,11.5220000000008
"GO:0005635",0.914863,0.323793,17.1169999999984
"GO:0005635",0.510503,0.009301,14.2540000000008
"GO:0005635",0.898631,0.027354,14.1100000000006
"GO:0005635",0.751591,0.084652,14.862000000001
"GO:0005635",0.884946,0.084529,10.6589999999997
"GO:0005635",0.732177,0.265277,13.6599999999999
"GO:0005635",0.73154,0.149312,10.4990000000034
"GO:0005635",0.605725,0.543493,13.7860000000001
"GO:0005635",0.7277271,0.1661882,217.743000000002
"GO:0005643",0.002543,0.000319,4.05600000000049
"GO:0005643",0.994596,0.540429,3.94800000000032
"GO:0005643",0.511118,0.153913,4.28399999999965
"GO:0005643",0.997457,0.241186,4.70100000000093
"GO:0005643",0.505718,0.500482,4.78299999999945
"GO:0005643",0.998729,0.18907,4.35800000000017
"GO:0005643",0.953274,0.158509,3.06599999999889
"GO:0005643",0.991423,0.097828,4.32700000000114
"GO:0005643",0.990782,0.095697,4.25
"GO:0005643",0.986658,0.51722,4.15299999999843
"GO:0005643",0.7932298,0.2494653,122.262999999999
"GO:0005654",0.483768,0.002976,16.857
"GO:0005654",0.509701,0.007333,14.9889999999978
