"class_names","auroc","auprc","times"
"GO:0000166",1,1,1.574
"GO:0000166",0.142948,0.00037,1.578
"GO:0000166",1,1,1.049
"GO:0000166",0.498729,0.000627,1.027
"GO:0000166",0.498412,0.000625,1.023
"GO:0000166",0.000635,0.000318,1.033
"GO:0000166",0.006353,0.00032,1.019
"GO:0000166",0.999682,0.5,1.015
"GO:0000166",0.999365,0.333333,1.014
"GO:0000166",0.499365,0.001259,1.016
"GO:0000166",0.5645489,0.2836852,48.821
"GO:0000976",0.983174,0.156046,1.018
"GO:0000976",0.986571,0.190505,1.03
"GO:0000976",0.828872,0.098846,1.018
"GO:0000976",0.99586,0.26783,1.01600000000001
"GO:0000976",0.979658,0.265359,1.01599999999999
"GO:0000976",0.948355,0.231966,1.03400000000001
"GO:0000976",0.945252,0.208488,1.01299999999999
"GO:0000976",0.986837,0.135757,1.014
"GO:0000976",0.934884,0.060871,1.02499999999999
"GO:0000976",0.995913,0.45593,1.00999999999999
"GO:0000976",0.9585376,0.2071598,48.133
"GO:0000977",0.985405,0.192704,1.021
"GO:0000977",0.991847,0.23165,1.014
"GO:0000977",0.974363,0.188605,1.027
"GO:0000977",0.79535,0.139991,1.02500000000001
"GO:0000977",0.983493,0.180285,1.017
"GO:0000977",0.788018,0.07475,1.02500000000001
"GO:0000977",0.793185,0.101984,1.01900000000001
"GO:0000977",0.827389,0.208764,1.03
"GO:0000977",0.977834,0.113303,1.03200000000001
"GO:0000977",0.649522,0.122573,1.036
"GO:0000977",0.8766406,0.1554609,49.04
"GO:0000981",0.968849,0.010067,1.03
"GO:0000981",0.497457,0.00891,1.03200000000001
"GO:0000981",0.498094,0.029344,1.047
"GO:0000981",0.444056,0.001568,1.04300000000001
"GO:0000981",0.993647,0.5348,1.04700000000003
"GO:0000981",0.828989,0.001854,1.047
"GO:0000981",0.885887,0.010977,1.036
"GO:0000981",0.986658,0.086971,1.03299999999999
"GO:0000981",0.951049,0.026626,1.02700000000002
"GO:0000981",0.989517,0.117574,1.03700000000001
