"class_names","auroc","auprc","times"
"GO:0000166",0.000635,0.000318,8.584
"GO:0000166",0.146125,0.000372,10.692
"GO:0000166",0.062897,0.000339,8.262
"GO:0000166",0.533037,0.00061,5.777
"GO:0000166",0.937103,0.005017,7.654
"GO:0000166",0.999365,0.306853,5.54300000000001
"GO:0000166",0.004447,0.000319,8.712
"GO:0000166",0.001271,0.000318,8.41
"GO:0000166",0.037484,0.00033,9.74800000000002
"GO:0000166",0.941905,0.010744,9.131
"GO:0000166",0.3664269,0.032522,144.596
"GO:0000976",0.79898,0.165586,12.506
"GO:0000976",0.960934,0.250062,14.409
"GO:0000976",0.801678,0.231507,14.405
"GO:0000976",0.785223,0.382166,17.55
"GO:0000976",0.983323,0.440344,12.123
"GO:0000976",0.825796,0.283443,13.912
"GO:0000976",0.794901,0.136937,16.582
"GO:0000976",0.520064,0.095806,12.682
"GO:0000976",0.652964,0.033994,9.613
"GO:0000976",0.993631,0.540545,16.131
"GO:0000976",0.8117494,0.256039,209.192
"GO:0000977",0.923773,0.237027,14.992
"GO:0000977",0.992994,0.191373,12.935
"GO:0000977",0.986837,0.502008,15.892
"GO:0000977",0.593503,0.098261,14.506
"GO:0000977",0.98811,0.341283,17.332
"GO:0000977",0.565838,0.086434,10.926
"GO:0000977",0.793376,0.135732,12.9879999999999
"GO:0000977",0.962314,0.272381,14.754
"GO:0000977",0.78828,0.049305,11.4689999999999
"GO:0000977",0.830998,0.253404,17.2829999999999
"GO:0000977",0.8426023,0.2167208,220.045
"GO:0000981",0.019072,0.000324,3.88699999999994
"GO:0000981",0.489193,0.006943,4.923
"GO:0000981",0.003812,0.000636,3.61899999999991
"GO:0000981",0.499046,0.023928,4.279
"GO:0000981",0.996823,0.173093,4.577
"GO:0000981",0.962492,0.00838,4.55799999999999
"GO:0000981",0.484425,0.002696,3.59400000000005
"GO:0000981",0.007942,0.000637,4.51800000000003
"GO:0000981",0.853147,0.00474,3.904
"GO:0000981",0.973316,0.022127,4.94200000000001
"GO:0000981",0.5289268,0.0243504,112.173
"GO:0000988",0.20534,4e-04,7.71699999999998
"GO:0000988",0.529225,0.068983,4.66800000000001
"GO:0000988",0.998093,0.136954,4.21199999999999
"GO:0000988",0.683767,0.002083,7.93500000000006
"GO:0000988",0.523507,0.002666,4.34300000000007
"GO:0000988",0.919898,0.003947,4.32900000000006
"GO:0000988",0.550191,0.021971,5.53300000000002
"GO:0000988",0.997457,0.107426,5.21799999999996
"GO:0000988",0.916773,0.022725,4.255
"GO:0000988",0.4946,0.009201,5.02300000000002
"GO:0000988",0.6818851,0.0376356,137.933
"GO:0000989",0.20534,4e-04,8.56200000000001
"GO:0000989",0.529225,0.068983,3.94599999999991
"GO:0000989",0.998093,0.136954,4.38699999999994
"GO:0000989",0.683767,0.002083,7.53700000000003
"GO:0000989",0.523507,0.002666,4.18799999999999
"GO:0000989",0.919898,0.003947,4.48299999999995
"GO:0000989",0.550191,0.021971,4.71199999999999
"GO:0000989",0.997457,0.107426,4.71600000000001
"GO:0000989",0.916773,0.022725,4.90800000000002
"GO:0000989",0.4946,0.009201,4.90300000000002
"GO:0000989",0.6818851,0.0376356,128.949
"GO:0001012",0.797833,0.287726,11.849
"GO:0001012",0.822286,0.222074,12.7729999999999
"GO:0001012",0.944586,0.271906,17.831
"GO:0001012",0.832696,0.316528,15.8580000000002
"GO:0001012",0.974522,0.279589,14.9369999999999
"GO:0001012",0.588655,0.325271,10.3310000000001
"GO:0001012",0.798385,0.071517,10.8499999999999
"GO:0001012",0.968047,0.243512,14.6120000000001
"GO:0001012",0.986616,0.18173,12.393
"GO:0001012",0.971125,0.098852,9.21800000000007
"GO:0001012",0.8684751,0.2298705,208.339
"GO:0001067",0.97736,0.177325,21.4869999999999
"GO:0001067",0.928829,0.056116,12.5840000000001
"GO:0001067",0.804334,0.481376,25.7649999999999
"GO:0001067",0.962305,0.3728,16.9399999999998
"GO:0001067",0.946888,0.444707,19.306
"GO:0001067",0.782558,0.217447,21.7570000000001
"GO:0001067",0.712374,0.354626,26.126
"GO:0001067",0.823773,0.098236,20.261
"GO:0001067",0.983216,0.188639,23.241
"GO:0001067",0.980515,0.493487,26.9400000000001
"GO:0001067",0.8902152,0.2884759,294.047
"GO:0001076",0.989835,0.030006,2.97000000000003
"GO:0001076",0.954892,0.006977,3.02499999999986
"GO:0001076",0,0.000318,3.97000000000003
"GO:0001076",0.949174,0.006198,2.90899999999988
"GO:0001076",0.986667,0.02308,3.17000000000007
"GO:0001076",0.982211,0.017443,3.33900000000017
"GO:0001076",0.989199,0.028307,2.48900000000003
"GO:0001076",0.835451,0.001926,6.11999999999989
"GO:0001076",0.879924,0.002636,2.529
"GO:0001076",0.5,0,2.82200000000012
"GO:0001076",0.8067353,0.0116891,108.739
"GO:0001085",0.921756,0.007527,6.0139999999999
"GO:0001085",0.99555,0.204973,5.83300000000008
"GO:0001085",0.440242,0.001738,6.07199999999989
"GO:0001085",0.935156,0.341929,6.60800000000017
"GO:0001085",0.501589,0.03312,6.65800000000013
"GO:0001085",0.96726,0.045158,6.79099999999994
"GO:0001085",0.607332,0.004202,6.32100000000014
"GO:0001085",0.500636,0.054191,6.06700000000001
"GO:0001085",0.918627,0.09747,7.49400000000014
"GO:0001085",0.984531,0.372403,6.154
"GO:0001085",0.7772679,0.1162711,140.173
"GO:0001664",0.999365,0.306853,6.02400000000011
"GO:0001664",0.006353,0.00032,5.58399999999983
"GO:0001664",0.007624,0.00032,10.578
"GO:0001664",0.032402,0.000328,12.0840000000001
"GO:0001664",0.017154,0.000641,6.53600000000006
"GO:0001664",0.000635,0.000318,6.55700000000002
"GO:0001664",0.490788,0.000577,2.93000000000006
"GO:0001664",0.029225,0.000327,6.73399999999992
"GO:0001664",0.998094,0.136954,6.57299999999987
"GO:0001664",0.514612,0.068968,10.0170000000001
"GO:0001664",0.3096252,0.0515606,147.209
"GO:0002020",0.999365,0.306853,2.40000000000009
"GO:0002020",0.984117,0.019482,2.88799999999992
"GO:0002020",0.976493,0.013275,2.61599999999999
"GO:0002020",0.97967,0.015307,2.88699999999994
"GO:0002020",0.933333,0.004732,2.83400000000006
"GO:0002020",0.96061,0.007979,2.71499999999992
"GO:0002020",0.790343,0.001512,2.84100000000012
"GO:0002020",0.81385,0.001703,2.67000000000007
"GO:0002020",0.999365,0.306853,2.5590000000002
"GO:0002020",0.5,0,2.98799999999983
"GO:0002020",0.8937146,0.0677696,105.005
"GO:0003674",0.7511,0.408524,2340.037
"GO:0003674",0.782934,0.478124,2515.682
"GO:0003674",0.795232,0.482368,2057.253
"GO:0003674",0.722406,0.350699,2037.219
"GO:0003674",0.744377,0.424754,2007.602
"GO:0003674",0.749002,0.425855,1779.344
"GO:0003674",0.694857,0.326606,1614.272
