"class_names","auroc","auprc","times"
"GO:0000003",0.815217,0.01803,1.09
"GO:0000003",0.738607,0.023332,1.086
"GO:0000003",0.794292,0.08814,0.543000000000006
"GO:0000003",0.796733,0.032873,0.531999999999996
"GO:0000003",0.755231,0.029117,0.521000000000001
"GO:0000003",0.76738,0.018853,0.530999999999999
"GO:0000003",0.720763,0.023037,0.526000000000003
"GO:0000003",0.663625,0.014452,0.515000000000001
"GO:0000003",0.806266,0.020728,0.552999999999997
"GO:0000003",0.652449,0.164104,0.541999999999994
"GO:0000003",0.7510563,0.0432666,6.484
"GO:0000070",0.978385,0.027114,0.530000000000001
"GO:0000070",0.976796,0.024832,0.536999999999999
"GO:0000070",0.974571,0.509196,0.531999999999996
"GO:0000070",0.990782,0.060172,0.519000000000005
"GO:0000070",0.694215,0.010717,0.529000000000003
"GO:0000070",0.982517,0.036577,0.526000000000003
"GO:0000070",0.920534,0.015939,0.516999999999996
"GO:0000070",0.993643,0.108905,0.555
"GO:0000070",0.965671,0.039953,0.544000000000004
"GO:0000070",0.96228,0.043377,0.533000000000001
"GO:0000070",0.9439394,0.0876782,5.415
"GO:0000075",0.998093,0.136954,0.548999999999999
"GO:0000075",0.958704,0.007614,0.545000000000002
"GO:0000075",0.933291,0.004732,0.530999999999999
"GO:0000075",0.983799,0.038238,0.536000000000001
"GO:0000075",0.988564,0.02679,0.527000000000001
"GO:0000075",0.986023,0.022061,0.519999999999996
"GO:0000075",0.929161,0.047612,0.554000000000002
"GO:0000075",0.989835,0.030006,0.545999999999999
"GO:0000075",0.995553,0.06528,0.530999999999999
"GO:0000075",0.991741,0.123886,0.545999999999999
"GO:0000075",0.9754764,0.0503173,5.425
"GO:0000122",0.698662,0.019073,0.533000000000001
"GO:0000122",0.795117,0.017129,0.521999999999998
"GO:0000122",0.902868,0.02925,0.533999999999999
"GO:0000122",0.906157,0.227022,0.528999999999996
"GO:0000122",0.866773,0.016693,0.519999999999996
"GO:0000122",0.842065,0.009023,0.562999999999995
"GO:0000122",0.692781,0.007196,0.555
"GO:0000122",0.800255,0.012131,0.539000000000001
"GO:0000122",0.589278,0.056076,0.578000000000003
"GO:0000122",0.858068,0.081791,0.556999999999995
"GO:0000122",0.7952024,0.0475384,5.47
"GO:0000132",0.947167,0.057079,0.536999999999999
"GO:0000132",0.794717,0.081293,0.533000000000001
"GO:0000132",0.940484,0.024972,0.543999999999997
"GO:0000132",0.857416,0.008029,0.518999999999998
"GO:0000132",0.847549,0.007596,0.583000000000006
"GO:0000132",0.896404,0.046701,0.552000000000007
"GO:0000132",0.850573,0.008137,0.537000000000006
"GO:0000132",0.871897,0.011549,0.549000000000007
"GO:0000132",0.92282,0.274218,0.546999999999997
"GO:0000132",0.862214,0.022994,0.530000000000001
"GO:0000132",0.8791241,0.0542568,5.471
"GO:0000165",0.992371,0.039488,0.542000000000002
"GO:0000165",0.986976,0.517625,0.539999999999992
"GO:0000165",0.970757,0.010715,0.528999999999996
"GO:0000165",0.933609,0.018858,0.573999999999998
"GO:0000165",0.986976,0.044291,0.552000000000007
"GO:0000165",0.991736,0.036596,0.534999999999997
"GO:0000165",0.997141,0.571104,0.554000000000002
"GO:0000165",1,1,0.546000000000006
"GO:0000165",0.975858,0.023874,0.527000000000001
"GO:0000165",0.999365,0.712318,0.537000000000006
"GO:0000165",0.9834789,0.2974869,5.477
"GO:0000187",0.987921,0.025427,0.543999999999997
"GO:0000187",0.837357,0.001948,0.521999999999991
"GO:0000187",0.918043,0.00897,0.558999999999997
"GO:0000187",0.986023,0.022061,0.546999999999997
"GO:0000187",0.90629,0.010719,0.535000000000011
"GO:0000187",0.983471,0.018751,0.547000000000011
"GO:0000187",0.999365,0.306853,0.551999999999992
"GO:0000187",0.934244,0.012119,0.524999999999991
"GO:0000187",0.991105,0.0341,0.534999999999997
"GO:0000187",0.981576,0.046911,0.545999999999992
"GO:0000187",0.9525395,0.0487859,5.452
"GO:0000212",0.983471,0.018751,0.522000000000006
"GO:0000212",0.991105,0.0341,0.561000000000007
"GO:0000212",0.991741,0.527221,0.549000000000007
"GO:0000212",0.965693,0.009147,0.535000000000011
