"class_names","auroc","auprc","times"
"GO:0000151",0.956771,0.007282,1.111
"GO:0000151",0.993647,0.132895,1.107
"GO:0000151",0.974571,0.012295,0.558
"GO:0000151",0.98507,0.515447,0.539999999999999
"GO:0000151",0.976175,0.509797,0.555
"GO:0000151",0.930706,0.004559,0.544999999999995
"GO:0000151",0.854193,0.004098,0.530000000000001
"GO:0000151",0.975842,0.012932,0.543000000000006
"GO:0000151",0.988564,0.057188,0.539999999999999
"GO:0000151",0.954257,0.013062,0.533999999999999
"GO:0000151",0.9589796,0.1269555,6.608
"GO:0000228",0.930193,0.017526,0.568999999999996
"GO:0000228",0.651612,0.036614,0.553999999999995
"GO:0000228",0.926421,0.011897,0.537999999999997
"GO:0000228",0.965967,0.092389,0.558999999999997
"GO:0000228",0.862383,0.011392,0.542000000000002
"GO:0000228",0.914546,0.012784,0.530000000000001
"GO:0000228",0.795961,0.133746,0.542000000000002
"GO:0000228",0.967133,0.391278,0.542999999999999
"GO:0000228",0.978159,0.127181,0.529000000000003
"GO:0000228",0.776399,0.042167,0.572000000000003
"GO:0000228",0.8768774,0.0876974,5.565
"GO:0000323",0.700572,0.00106,0.548999999999999
"GO:0000323",0.619759,0.001632,0.534999999999997
"GO:0000323",0.724412,0.002525,0.555
"GO:0000323",0.78399,0.001468,0.539000000000001
"GO:0000323",0.769549,0.003573,0.527999999999999
"GO:0000323",0.649301,0.002405,0.538999999999994
"GO:0000323",0.769231,0.001375,0.539999999999999
"GO:0000323",0.803367,0.003082,0.529000000000003
"GO:0000323",0.72918,0.004145,0.574000000000005
"GO:0000323",0.627382,0.002514,0.552
"GO:0000323",0.7176743,0.0023779,5.48
"GO:0000776",0.919584,0.018509,0.536000000000001
"GO:0000776",0.949077,0.0742,0.552
"GO:0000776",0.719446,0.01767,0.536000000000001
"GO:0000776",0.87007,0.008985,0.527000000000001
"GO:0000776",0.927276,0.0213,0.539999999999999
"GO:0000776",0.937142,0.096724,0.537999999999997
"GO:0000776",0.96549,0.062081,0.530000000000001
"GO:0000776",0.917409,0.016526,0.576000000000001
"GO:0000776",0.978517,0.058317,0.550000000000004
"GO:0000776",0.958651,0.041393,0.538000000000004
"GO:0000776",0.9142662,0.0415705,5.466
"GO:0000777",0.972028,0.011194,0.554000000000002
"GO:0000777",0.933926,0.004777,0.539000000000001
"GO:0000777",0.947903,0.012608,0.524000000000001
"GO:0000777",0.986658,0.02308,0.534999999999997
"GO:0000777",0.955527,0.013242,0.542000000000002
"GO:0000777",0.944692,0.005703,0.524999999999999
"GO:0000777",0.963787,0.008671,0.557000000000002
"GO:0000777",0.937738,0.009451,0.549000000000007
"GO:0000777",0.976493,0.013275,0.535000000000004
"GO:0000777",0.972046,0.020823,0.548000000000002
"GO:0000777",0.9590798,0.0122824,5.45200000000001
"GO:0000785",0.972205,0.032262,0.540999999999997
"GO:0000785",0.959924,0.078843,0.523999999999987
"GO:0000785",0.932729,0.025987,0.536000000000001
"GO:0000785",0.984945,0.123752,0.540000000000006
"GO:0000785",0.974237,0.045828,0.525000000000006
"GO:0000785",0.91237,0.018462,0.559000000000012
"GO:0000785",0.956531,0.032484,0.549000000000007
"GO:0000785",0.927242,0.0164,0.536000000000001
"GO:0000785",0.736641,0.005363,0.554000000000002
"GO:0000785",0.963422,0.047963,0.554999999999993
"GO:0000785",0.9320246,0.0427344,5.461
"GO:0000790",0.990782,0.081959,0.522999999999996
"GO:0000790",0.942784,0.014197,0.531000000000006
"GO:0000790",0.845518,0.003834,0.542000000000002
"GO:0000790",0.601081,0.005758,0.512
"GO:0000790",0.957194,0.363374,0.546999999999997
"GO:0000790",0.963128,0.101025,0.557000000000002
"GO:0000790",0.879212,0.004912,0.536000000000001
"GO:0000790",0.93007,0.008521,0.549000000000007
"GO:0000790",0.970439,0.023192,0.552999999999997
"GO:0000790",0.997033,0.223005,0.525999999999996
"GO:0000790",0.9077241,0.0829777,5.41499999999999
"GO:0000793",0.948247,0.032105,0.531999999999996
"GO:0000793",0.955626,0.221939,0.545000000000002
"GO:0000793",0.948056,0.042913,0.513999999999996
"GO:0000793",0.979745,0.267144,0.539000000000001
"GO:0000793",0.72424,0.173619,0.558999999999997
"GO:0000793",0.923885,0.260827,0.537999999999997
"GO:0000793",0.818228,0.049047,0.545999999999992
"GO:0000793",0.985881,0.394169,0.565999999999988
"GO:0000793",0.954005,0.040193,0.525999999999996
"GO:0000793",0.815605,0.03126,0.527000000000001
"GO:0000793",0.9053518,0.1513216,5.43600000000001
"GO:0000794",0.945611,0.010871,0.540999999999997
"GO:0000794",0.980292,0.072682,0.518999999999991
"GO:0000794",0.956319,0.040109,0.536999999999992
"GO:0000794",0.916402,0.071344,0.565999999999988
"GO:0000794",0.701018,0.035805,0.540000000000006
"GO:0000794",0.953804,0.019818,0.546999999999997
"GO:0000794",0.942112,0.010174,0.579999999999998
"GO:0000794",0.991312,0.320528,0.539000000000001
"GO:0000794",0.855174,0.015277,0.524999999999991
"GO:0000794",0.958466,0.02547,0.534999999999997
"GO:0000794",0.920051,0.0622078,5.47
"GO:0000922",0.974571,0.012295,0.533000000000001
"GO:0000922",0.932973,0.057309,0.52300000000001
"GO:0000922",0.933291,0.004732,0.566000000000003
"GO:0000922",0.966306,0.019434,0.541999999999987
"GO:0000922",0.933291,0.004732,0.545000000000002
"GO:0000922",0.973316,0.022413,0.562999999999988
"GO:0000922",0.79911,0.001579,0.539999999999992
"GO:0000922",0.988247,0.051256,0.524999999999991
"GO:0000922",0.970775,0.010715,0.533999999999992
"GO:0000922",0.608958,0.006106,0.534999999999997
"GO:0000922",0.9080838,0.0190571,5.447
"GO:0000932",0.928798,0.004438,0.518000000000001
"GO:0000932",0.8831,0.002708,0.567999999999998
"GO:0000932",0.752224,0.00128,0.552000000000007
"GO:0000932",0.919314,0.007792,0.543000000000006
"GO:0000932",0.951715,0.006522,0.567999999999998
"GO:0000932",0.782084,0.001455,0.548000000000002
"GO:0000932",0.978081,0.02773,0.527999999999992
"GO:0000932",0.931385,0.004601,0.528999999999996
"GO:0000932",0.933291,0.004732,0.533000000000001
"GO:0000932",0.8723,0.004718,0.521999999999991
"GO:0000932",0.8932292,0.0065976,5.449
"GO:0005575",0.751866,0.298934,0.539999999999992
"GO:0005575",0.729931,0.286935,0.566000000000003
"GO:0005575",0.748339,0.285244,0.558999999999997
"GO:0005575",0.766932,0.301792,0.807000000000002
"GO:0005575",0.738606,0.271622,0.588999999999999
"GO:0005575",0.750739,0.30923,0.694999999999993
"GO:0005575",0.757675,0.287721,0.835999999999999
"GO:0005575",0.715734,0.256992,0.844000000000008
"GO:0005575",0.756545,0.262412,0.870999999999995
"GO:0005575",0.752554,0.282854,0.859999999999999
"GO:0005575",0.7468921,0.2843736,7.21899999999999
"GO:0005578",0.996186,0.075096,0.856999999999999
"GO:0005578",0.977446,0.025486,0.821999999999989
"GO:0005578",1,1,0.814000000000007
"GO:0005578",0.993011,0.092073,0.811999999999998
"GO:0005578",0.617217,0.002401,0.852000000000004
"GO:0005578",0.994278,0.051755,0.846999999999994
"GO:0005578",0.964422,0.075261,0.832000000000008
"GO:0005578",0.830896,0.001875,0.820000000000007
"GO:0005578",0.630241,0.006968,0.803000000000011
"GO:0005578",0.925349,0.012041,0.812999999999988
"GO:0005578",0.8929046,0.1342956,8.348
"GO:0005604",0.926256,0.004286,0.804999999999993
"GO:0005604",0.803685,0.004353,0.829999999999998
"GO:0005604",0.80801,0.001652,0.861999999999995
"GO:0005604",0.918679,0.007257,0.760000000000005
"GO:0005604",0.889454,0.005599,0.542999999999992
"GO:0005604",0.822632,0.001788,0.542000000000002
"GO:0005604",0.858958,0.004211,0.555000000000007
