"class_names","auroc","auprc","times"
"GO:0000151",0.19644,0.000395,7.704
"GO:0000151",0.048285,0.000654,7.88800000000001
"GO:0000151",0.314685,0.000464,6.794
"GO:0000151",0.04892,0.000655,6.38499999999999
"GO:0000151",0.472681,0.002742,6.848
"GO:0000151",0.264463,0.000432,6.864
"GO:0000151",0.523825,0.001288,6.363
"GO:0000151",0.186904,0.000391,6.47699999999999
"GO:0000151",0.073062,0.000663,6.84400000000001
"GO:0000151",0.572109,0.002618,6.492
"GO:0000151",0.2701374,0.0010302,68.741
"GO:0000228",0.91725,0.046168,6.42
"GO:0000228",0.912002,0.016563,6.72699999999999
"GO:0000228",0.89525,0.008845,6.99299999999999
"GO:0000228",0.922233,0.037762,6.29300000000001
"GO:0000228",0.818702,0.006261,6.59899999999999
"GO:0000228",0.890161,0.014302,6.92500000000001
"GO:0000228",0.868003,0.0189,6.24299999999999
"GO:0000228",0.923876,0.02505,6.76300000000001
"GO:0000228",0.981976,0.046523,6.905
"GO:0000228",0.893766,0.027047,6.22800000000001
"GO:0000228",0.9023219,0.0247421,66.266
"GO:0000323",0.443102,0.00057,6.68899999999999
"GO:0000323",0.448221,0.001094,6.559
"GO:0000323",0.403846,0.001014,6.49000000000001
"GO:0000323",0.426302,0.000553,7.05000000000001
"GO:0000323",0.51335,0.00128,6.57400000000001
"GO:0000323",0.832116,0.003516,6.36100000000002
"GO:0000323",0.347425,0.000487,6.61000000000001
"GO:0000323",0.554638,0.001699,6.42400000000001
"GO:0000323",0.460903,0.001215,6.73100000000002
"GO:0000323",0.720934,0.002543,6.583
"GO:0000323",0.5150837,0.0013971,66.142
"GO:0000776",0.643115,0.009868,6.42599999999999
"GO:0000776",0.946849,0.031433,6.79899999999998
"GO:0000776",0.686505,0.007794,6.67500000000001
"GO:0000776",0.893925,0.011857,6.36700000000002
"GO:0000776",0.910248,0.020307,6.685
"GO:0000776",0.916136,0.032641,6.94300000000004
"GO:0000776",0.946565,0.021281,6.291
"GO:0000776",0.85296,0.008306,6.70500000000004
"GO:0000776",0.950668,0.027003,6.84499999999997
"GO:0000776",0.905375,0.016621,6.286
"GO:0000776",0.8652346,0.0187111,66.093
"GO:0000777",0.949142,0.006198,6.65500000000003
"GO:0000777",0.904066,0.003297,6.99100000000004
"GO:0000777",0.913278,0.006821,6.16400000000004
"GO:0000777",0.92122,0.004011,6.69900000000001
"GO:0000777",0.546379,0.001762,6.87599999999998
"GO:0000777",0.900826,0.003191,6.137
"GO:0000777",0.934562,0.004823,6.70999999999998
"GO:0000777",0.557814,0.002678,6.88100000000003
"GO:0000777",0.942186,0.005455,6.11900000000003
"GO:0000777",0.930114,0.008769,6.92699999999996
"GO:0000777",0.8499587,0.0047005,66.238
"GO:0000785",0.939953,0.014952,6.68799999999999
"GO:0000785",0.88274,0.009796,6.22099999999995
"GO:0000785",0.871819,0.010291,6.95999999999998
"GO:0000785",0.957803,0.067457,6.404
"GO:0000785",0.955789,0.103596,6.35199999999998
"GO:0000785",0.934224,0.071503,6.608
"GO:0000785",0.909881,0.110561,6.34800000000001
"GO:0000785",0.867764,0.009052,6.83800000000002
"GO:0000785",0.765267,0.004769,6.39400000000001
"GO:0000785",0.923028,0.107839,6.62799999999999
"GO:0000785",0.9008268,0.0509816,65.512
"GO:0000790",0.98061,0.10692,6.83499999999998
"GO:0000790",0.530515,0.003561,6.15600000000001
"GO:0000790",0.834711,0.003581,6.81999999999999
"GO:0000790",0.460585,0.001245,6.81400000000002
"GO:0000790",0.933884,0.358343,6.49099999999999
"GO:0000790",0.947552,0.058327,6.63600000000002
"GO:0000790",0.180865,0.000775,6.85500000000002
"GO:0000790",0.902734,0.006069,6.84700000000004
"GO:0000790",0.509854,0.002534,6.29399999999998
"GO:0000790",0.995974,0.174907,6.80400000000003
"GO:0000790",0.7277284,0.0716262,66.625
"GO:0000793",0.926832,0.021707,7.00699999999995
"GO:0000793",0.937792,0.105555,6.20899999999995
"GO:0000793",0.919694,0.029347,6.86000000000001
"GO:0000793",0.970573,0.248649,6.90300000000002
"GO:0000793",0.917357,0.046275,6.24599999999998
"GO:0000793",0.906794,0.205677,6.85399999999993
"GO:0000793",0.885532,0.05055,6.96900000000005
"GO:0000793",0.969958,0.095571,6.15500000000009
"GO:0000793",0.956235,0.041159,6.73699999999997
"GO:0000793",0.916136,0.02486,6.56799999999998
"GO:0000793",0.9306903,0.086935,66.578
"GO:0000794",0.91126,0.007374,6.29999999999995
"GO:0000794",0.964399,0.052121,6.78700000000003
"GO:0000794",0.920483,0.037898,6.68799999999999
"GO:0000794",0.880801,0.010066,6.24099999999999
"GO:0000794",0.850509,0.007356,6.96500000000003
"GO:0000794",0.926467,0.017014,6.49000000000001
"GO:0000794",0.956743,0.014204,6.45400000000006
"GO:0000794",0.960373,0.022964,6.81500000000005
"GO:0000794",0.836196,0.012197,6.4190000000001
"GO:0000794",0.929222,0.025463,6.70799999999997
"GO:0000794",0.9136453,0.0206657,65.944
"GO:0000922",0.867769,0.002396,6.822
"GO:0000922",0.77986,0.00279,6.15899999999999
"GO:0000922",0.886277,0.002783,6.69100000000003
"GO:0000922",0.837572,0.003647,6.81100000000004
"GO:0000922",0.951715,0.006522,6.1579999999999
"GO:0000922",0.312262,0.000885,6.83500000000004
"GO:0000922",0.26637,0.000433,6.62199999999996
"GO:0000922",0.949492,0.011904,6.26899999999989
"GO:0000922",0.038755,0.00033,6.923
"GO:0000922",0.575604,0.002775,6.35300000000007
"GO:0000922",0.6465676,0.0034465,65.716
"GO:0000932",0.118881,0.000361,6.35299999999995
"GO:0000932",0.212198,0.000403,6.70899999999995
"GO:0000932",0.425032,0.000552,6.25
"GO:0000932",0.583545,0.00172,6.72500000000002
"GO:0000932",0.795426,0.00155,6.52499999999998
"GO:0000932",0.289072,0.000447,6.40999999999997
"GO:0000932",0.154384,0.000719,7.00200000000007
"GO:0000932",0.719822,0.001132,6.51599999999996
"GO:0000932",0.256671,0.000427,6.43200000000002
"GO:0000932",0.586086,0.008016,6.87700000000007
"GO:0000932",0.4141117,0.0015327,65.878
"GO:0005575",0.79504,0.360369,6.30500000000006
"GO:0005575",0.765478,0.29547,6.64400000000001
"GO:0005575",0.787014,0.325921,6.75
"GO:0005575",0.799135,0.358564,6.32299999999998
"GO:0005575",0.764314,0.322147,6.73900000000003
"GO:0005575",0.76907,0.313667,6.80799999999999
"GO:0005575",0.802757,0.336916,6.39799999999991
"GO:0005575",0.757303,0.291005,6.69100000000003
"GO:0005575",0.782685,0.301927,6.7650000000001
