"class_names","auroc","auprc","times"
"GO:0000151",0.995232,0.0602,14.022
"GO:0000151",0.987294,0.073541,13.481
"GO:0000151",0.436427,0.000509,9.273
"GO:0000151",0.980464,0.511804,6.49199999999999
"GO:0000151",0.987611,0.172241,5.666
"GO:0000151",0.439606,0.000513,8.416
"GO:0000151",0.447903,0.001044,7.50400000000002
"GO:0000151",0.986968,0.023449,9.37300000000002
"GO:0000151",0.952668,0.05881,9.80799999999999
"GO:0000151",0.993488,0.08982,6.69900000000001
"GO:0000151",0.8207661,0.0991931,90.935
"GO:0000228",0.761511,0.007433,9.09100000000001
"GO:0000228",0.920802,0.070103,6.60600000000005
"GO:0000228",0.928647,0.012174,6.64099999999996
"GO:0000228",0.985448,0.151343,7.411
"GO:0000228",0.763253,0.007944,15.188
"GO:0000228",0.944126,0.022465,11.018
"GO:0000228",0.699427,0.027506,9.56700000000001
"GO:0000228",0.794211,0.352085,9.86200000000002
"GO:0000228",0.981658,0.36222,7.54400000000004
"GO:0000228",0.936228,0.022609,6.31900000000002
"GO:0000228",0.8715311,0.1035882,89.733
"GO:0000323",0.394151,0.00047,6.875
"GO:0000323",0.634053,0.001944,8.73599999999999
"GO:0000323",0.694851,0.113524,14.377
"GO:0000323",0.399936,0.000474,16.041
"GO:0000323",0.686109,0.006116,11.639
"GO:0000323",0.97697,0.026733,10.636
"GO:0000323",0.398284,0.000473,9.327
"GO:0000323",0.975699,0.163077,10.901
"GO:0000323",0.691036,0.009737,17.721
"GO:0000323",0.699651,0.095411,15.675
"GO:0000323",0.655074,0.0417959,122.161
"GO:0000776",0.961171,0.022735,12.212
"GO:0000776",0.826384,0.04197,12.133
"GO:0000776",0.988781,0.358329,13.026
"GO:0000776",0.845976,0.06828,16.024
"GO:0000776",0.972549,0.290696,15.4109999999999
"GO:0000776",0.828374,0.020665,13.336
"GO:0000776",0.955073,0.415051,8.57600000000002
"GO:0000776",0.987985,0.316899,8.24799999999993
"GO:0000776",0.989736,0.192816,15.273
"GO:0000776",0.998728,0.71603,13.1210000000001
"GO:0000776",0.9354757,0.2443471,127.746
"GO:0000777",0.956453,0.006997,8.58699999999999
"GO:0000777",1,1,11.829
"GO:0000777",0.729511,0.030038,10.795
"GO:0000777",0.455845,0.000533,10.057
"GO:0000777",0.705686,0.004431,7.46500000000003
"GO:0000777",1,1,6.58399999999995
"GO:0000777",0.952033,0.006304,9.09399999999994
"GO:0000777",0.976175,0.029261,5.24599999999998
"GO:0000777",0.989199,0.028307,6.27800000000002
"GO:0000777",0.989676,0.092485,11.1460000000001
"GO:0000777",0.8754578,0.2198356,87.511
"GO:0000785",0.971038,0.02959,7.93500000000006
"GO:0000785",0.788698,0.020793,8.39999999999998
"GO:0000785",0.822122,0.039575,6.90599999999995
"GO:0000785",0.78626,0.069323,10.808
"GO:0000785",0.930503,0.043885,10.1900000000001
"GO:0000785",0.772862,0.337249,11.726
"GO:0000785",0.773855,0.009998,6.63600000000008
"GO:0000785",0.696883,0.012066,8.005
"GO:0000785",0.750212,0.00551,10.697
"GO:0000785",0.980916,0.380213,6.72200000000009
"GO:0000785",0.8273349,0.0948202,88.373
"GO:0000790",0.999682,0.797267,8.41699999999992
"GO:0000790",0.715989,0.033644,8.22000000000003
"GO:0000790",0.70089,0.00515,10.4820000000001
"GO:0000790",0.452956,0.001058,6.97000000000003
"GO:0000790",0.607438,0.003473,9.66999999999996
"GO:0000790",0.95391,0.049485,8.61099999999999
"GO:0000790",0.700731,0.004789,7.17999999999995
"GO:0000790",0.674031,0.002611,7.70100000000002
"GO:0000790",0.922759,0.007665,7.76700000000005
"GO:0000790",0.812566,0.66784,8.21599999999989
"GO:0000790",0.7540952,0.1572982,83.4
"GO:0000793",0.840408,0.026163,10.34
"GO:0000793",0.858705,0.210889,8.279
"GO:0000793",0.844752,0.023368,10.7330000000001
"GO:0000793",0.984968,0.380227,6.39999999999998
"GO:0000793",0.872424,0.21101,9.17899999999997
"GO:0000793",0.873089,0.213836,10.352
"GO:0000793",0.827406,0.045136,11.495
"GO:0000793",0.993949,0.490637,13.9870000000001
"GO:0000793",0.954642,0.061373,8.67700000000002
"GO:0000793",0.865287,0.046695,6.22500000000002
"GO:0000793",0.891563,0.1709334,95.813
"GO:0000794",0.987754,0.0552,7.50999999999999
"GO:0000794",0.782899,0.339732,10.7120000000001
"GO:0000794",0.962892,0.032858,12.1559999999999
"GO:0000794",0.706612,0.069398,7.7349999999999
"GO:0000794",0.788274,0.015593,8.46000000000004
"GO:0000794",0.96334,0.023629,6.26100000000008
"GO:0000794",0.938136,0.01032,9.92499999999995
"GO:0000794",0.996609,0.463934,5.94899999999984
"GO:0000794",0.804389,0.062177,6.08500000000004
"GO:0000794",0.925832,0.012052,8.3599999999999
"GO:0000794",0.8856737,0.1084893,83.5120000000001
"GO:0000922",0.974571,0.012019,11.327
"GO:0000922",0.712198,0.008217,10.297
"GO:0000922",0.916455,0.00351,5.59900000000016
"GO:0000922",0.721392,0.501034,6.34699999999998
"GO:0000922",0.439962,0.000513,5.58699999999999
"GO:0000922",0.938374,0.013086,7.78999999999996
"GO:0000922",0.439606,0.000513,10.6499999999999
"GO:0000922",0.717281,0.054719,6.01599999999985
"GO:0000922",0.986976,0.023122,7.5
"GO:0000922",0.716645,0.010235,6.06899999999996
"GO:0000922",0.756346,0.0626968,77.472
"GO:0000932",0.430706,0.000503,5.79599999999982
"GO:0000932",0.891677,0.002717,8.47500000000014
"GO:0000932",0.434562,0.000507,7.60499999999979
"GO:0000932",0.696474,0.004911,7.60899999999992
"GO:0000932",0.967281,0.009028,5.7650000000001
"GO:0000932",0.431067,0.000503,5.26699999999983
"GO:0000932",0.704416,0.008378,6.68899999999985
"GO:0000932",0.430432,0.000502,8.1429999999998
"GO:0000932",0.93615,0.004682,5.45900000000006
"GO:0000932",0.444409,0.001036,7.69599999999991
"GO:0000932",0.6367174,0.0032767,68.671
"GO:0005575",0.846705,0.421603,26.9760000000001
"GO:0005575",0.827293,0.442753,22.3970000000002
"GO:0005575",0.867334,0.462395,38.268
"GO:0005575",0.858304,0.486116,30.0230000000001
"GO:0005575",0.838376,0.421277,35.2670000000001
"GO:0005575",0.851376,0.437624,35.7069999999999
"GO:0005575",0.859558,0.445349,31.732
"GO:0005575",0.837057,0.467247,37.8220000000001
"GO:0005575",0.862194,0.446734,26.1389999999999
"GO:0005575",0.855539,0.465769,44.616
"GO:0005575",0.8503736,0.4496867,329.151
"GO:0005578",1,1,7.923
"GO:0005578",0.991741,0.527071,5.03899999999999
"GO:0005578",0.991736,0.035135,7.97000000000003
"GO:0005578",0.995712,0.151688,5.7170000000001
"GO:0005578",0.659943,0.002317,5.74900000000002
"GO:0005578",0.993007,0.042875,14.3420000000001
"GO:0005578",0.952986,0.09963,5.68000000000006
"GO:0005578",0.945963,0.005441,4
"GO:0005578",0.710292,0.012403,7.35300000000007
"GO:0005578",0.717122,0.045203,5.88300000000004
"GO:0005578",0.8958502,0.1921763,69.9480000000001
"GO:0005604",0.999364,0.306853,7.43499999999995
"GO:0005604",0.711086,0.033602,5.94299999999998
"GO:0005604",0.87794,0.00239,8.50900000000001
"GO:0005604",0.991264,0.525704,8.47299999999996
"GO:0005604",0.700127,0.008485,8.2650000000001
"GO:0005604",0.955817,0.006689,4.96800000000007
"GO:0005604",0.995553,0.114946,4.63000000000011
"GO:0005604",0.417991,0.00049,5.36500000000001
"GO:0005604",0.979193,0.027539,8.89499999999998
"GO:0005604",0.988882,0.061931,10.808
"GO:0005604",0.8617217,0.1088629,73.4200000000001
"GO:0005615",0.898855,0.005789,8.34199999999987
"GO:0005615",0.688599,0.003449,9.77299999999991
"GO:0005615",0.582856,0.001527,6.06999999999994
"GO:0005615",0.958042,0.035176,8.55799999999999
"GO:0005615",0.514516,0.001869,9.48399999999992
"GO:0005615",0.798664,0.002923,5.48900000000003
"GO:0005615",0.752914,0.011152,10.779
"GO:0005615",0.361959,0.000894,8.64499999999998
"GO:0005615",0.776118,0.021584,12.865
"GO:0005615",0.745497,0.00805,7.0630000000001
"GO:0005615",0.707802,0.0092413,87.3899999999999
"GO:0005622",0.431385,0.000503,6.92599999999993
"GO:0005622",0.432973,0.000505,5.80799999999999
"GO:0005622",0.435832,0.000508,11.921
"GO:0005622",0.430114,0.000502,8.98300000000017
"GO:0005622",0.432656,0.000505,6.14200000000005
