"class_names","auroc","auprc","times"
"GO:0000166",1,1,29.633
"GO:0000166",0.499682,0.000632,31.791
"GO:0000166",1,1,31.302
"GO:0000166",0.499365,0.00063,30.647
"GO:0000166",0.499365,0.00063,29.27
"GO:0000166",0.499365,0.00063,30.585
"GO:0000166",0.498729,0.000627,32.189
"GO:0000166",1,1,29.863
"GO:0000166",0.999682,0.5,33.176
"GO:0000166",0.499683,0.001263,33.778
"GO:0000166",0.6995871,0.3504412,312.328
"GO:0000976",0.69095,0.038243,28.739
"GO:0000976",0.903875,0.117324,29.932
"GO:0000976",0.829297,0.279296,32.432
"GO:0000976",0.891083,0.14854,32.203
"GO:0000976",0.820215,0.069219,28.9399999999999
"GO:0000976",0.984979,0.109332,29.306
"GO:0000976",0.891523,0.296998,31.784
"GO:0000976",0.820488,0.068432,25.9590000000001
"GO:0000976",0.825579,0.166141,31.9250000000001
"GO:0000976",0.990393,0.195637,28.722
"GO:0000976",0.8648382,0.1489162,300.128
"GO:0000977",0.791969,0.073505,31.574
"GO:0000977",0.887389,0.100753,30.226
"GO:0000977",0.740446,0.054017,29.522
"GO:0000977",0.990828,0.174335,29.48
"GO:0000977",0.740658,0.092553,29.9299999999999
"GO:0000977",0.987635,0.182925,30.405
"GO:0000977",0.897134,0.639834,27.816
"GO:0000977",0.823514,0.097069,30.0709999999999
"GO:0000977",0.787643,0.232044,30.816
"GO:0000977",0.909501,0.25103,29.741
"GO:0000977",0.8556717,0.1898065,299.673
"GO:0000981",0.497775,0.000623,29.658
"GO:0000981",0.494278,0.001218,33.5730000000001
"GO:0000981",0.748094,0.501842,28.3610000000001
"GO:0000981",0.74555,0.03192,31.2429999999999
"GO:0000981",0.497141,0.001238,27.8589999999999
"GO:0000981",0.498093,0.000624,29.0040000000001
"GO:0000981",0.496821,0.001237,24.5260000000001
"GO:0000981",0.747459,0.066751,29.943
"GO:0000981",0.748411,0.501896,30.827
"GO:0000981",0.748729,0.155464,32.1100000000001
"GO:0000981",0.6222351,0.1262813,297.218
"GO:0000988",0.991736,0.035809,32.4649999999999
"GO:0000988",0.747935,0.066852,26.1610000000001
"GO:0000988",0.999682,0.5,29.104
"GO:0000988",0.747776,0.251819,28.9979999999998
"GO:0000988",0.495553,0.001226,31.144
"GO:0000988",0.496821,0.000619,30.3720000000001
"GO:0000988",0.497141,0.001238,31.1379999999999
"GO:0000988",0.496186,0.000616,30.037
"GO:0000988",0.746347,0.040199,29.4559999999999
"GO:0000988",0.498094,0.001247,33.3690000000001
"GO:0000988",0.6717271,0.0899625,302.328
"GO:0000989",0.991736,0.035809,28.222
"GO:0000989",0.747935,0.066852,28.0719999999999
"GO:0000989",0.999682,0.5,28.7160000000001
"GO:0000989",0.747776,0.251819,28.194
