"class_names","auroc","auprc","times"
"GO:0000166",0.926302,0.004286,8.352
"GO:0000166",0.937103,0.005017,8.47799999999999
"GO:0000166",0.927573,0.00436,6.524
"GO:0000166",0.543202,0.000695,7.07300000000001
"GO:0000166",0.85864,0.002239,6.931
"GO:0000166",0.910419,0.003529,6.797
"GO:0000166",0.926302,0.004286,7.03
"GO:0000166",0.925667,0.004249,6.602
"GO:0000166",0.924396,0.004178,6.83399999999999
"GO:0000166",0.844444,0.003927,7.006
"GO:0000166",0.8724048,0.0036766,71.706
"GO:0000976",0.849586,0.04851,6.54299999999999
"GO:0000976",0.835987,0.157739,6.797
"GO:0000976",0.949012,0.042892,6.899
"GO:0000976",0.799618,0.008504,6.517
"GO:0000976",0.950074,0.043422,6.751
"GO:0000976",0.833227,0.011445,7.05199999999999
"GO:0000976",0.82218,0.008375,6.45400000000001
"GO:0000976",0.850318,0.022907,6.61699999999999
"GO:0000976",0.749734,0.00699,7.02200000000002
"GO:0000976",0.882272,0.020975,6.66800000000001
"GO:0000976",0.8522008,0.0371759,67.487
"GO:0000977",0.848311,0.028014,6.512
"GO:0000977",0.850573,0.077768,7.08500000000001
"GO:0000977",0.895223,0.032904,6.70999999999998
"GO:0000977",0.830191,0.011656,6.51499999999999
"GO:0000977",0.963057,0.053954,7.136
"GO:0000977",0.887954,0.016922,6.983
"GO:0000977",0.759236,0.006394,6.34199999999998
"GO:0000977",0.804777,0.009082,7.21200000000002
"GO:0000977",0.719745,0.005193,6.88500000000002
"GO:0000977",0.892994,0.017999,6.31700000000001
"GO:0000977",0.8452061,0.0259886,67.768
"GO:0000981",0.324221,0.00047,7.05500000000001
"GO:0000981",0.542753,0.001433,7.00700000000001
"GO:0000981",0.22141,0.000773,6.18000000000001
"GO:0000981",0.1726,0.000761,6.69900000000001
"GO:0000981",0.783355,0.003137,7.10599999999999
"GO:0000981",0.706294,0.001081,6.56700000000001
"GO:0000981",0.351399,0.000967,6.779
"GO:0000981",0.182338,0.00076,7.029
"GO:0000981",0.429434,0.001143,6.71199999999999
"GO:0000981",0.130559,0.000727,6.75900000000001
"GO:0000981",0.3844363,0.0011252,67.966
"GO:0000988",0.807374,0.001647,7.00400000000002
"GO:0000988",0.851017,0.00528,6.685
"GO:0000988",0.963764,0.008671,6.839
"GO:0000988",0.484752,0.001573,6.90100000000001
"GO:0000988",0.400889,0.001042,6.697
"GO:0000988",0.87349,0.002504,7.03399999999999
"GO:0000988",0.879288,0.005118,6.88099999999997
"GO:0000988",0.820725,0.001769,6.67499999999995
"GO:0000988",0.621982,0.002755,7.22199999999998
"GO:0000988",0.449492,0.001357,6.755
"GO:0000988",0.7152773,0.0031716,68.769
"GO:0000989",0.807374,0.001647,6.85200000000003
"GO:0000989",0.851017,0.00528,7.16700000000003
"GO:0000989",0.963764,0.008671,6.39299999999997
"GO:0000989",0.484752,0.001573,6.79300000000001
"GO:0000989",0.400889,0.001042,7.22399999999999
"GO:0000989",0.87349,0.002504,6.37
"GO:0000989",0.879288,0.005118,7.07499999999999
"GO:0000989",0.820725,0.001769,7.18900000000002
"GO:0000989",0.621982,0.002755,6.67099999999999
"GO:0000989",0.449492,0.001357,6.97499999999997
"GO:0000989",0.7152773,0.0031716,68.781
"GO:0001012",0.881581,0.019033,6.91699999999997
"GO:0001012",0.819312,0.03254,6.69900000000001
"GO:0001012",0.770701,0.007568,6.87400000000002
"GO:0001012",0.881134,0.037014,6.839
"GO:0001012",0.860722,0.026127,6.61099999999999
"GO:0001012",0.863098,0.018616,7.01900000000001
"GO:0001012",0.822552,0.009763,6.78399999999999
"GO:0001012",0.820701,0.016444,6.52500000000003
"GO:0001012",0.889951,0.019687,7
"GO:0001012",0.960191,0.111876,6.85900000000004
"GO:0001012",0.8569943,0.0298668,68.21
"GO:0001067",0.88074,0.032381,6.38400000000001
