"class_names","auroc","auprc","times"
"GO:0000166",0.996823,0.088392,2.151
"GO:0000166",0.998094,0.136954,2.019
"GO:0000166",0.994282,0.051755,0.841000000000001
"GO:0000166",0.788437,0.001499,0.875
"GO:0000166",0.97967,0.015307,0.875999999999998
"GO:0000166",0.998094,0.136954,0.903999999999996
"GO:0000166",0.954892,0.006977,0.795000000000002
"GO:0000166",0.998729,0.18907,0.768999999999998
"GO:0000166",0.997459,0.107426,0.741
"GO:0000166",0.561905,0.005311,0.837000000000003
"GO:0000166",0.9268385,0.0739645,10.897
"GO:0000976",0.783301,0.037093,0.826000000000001
"GO:0000976",0.842675,0.286701,0.820999999999998
"GO:0000976",0.707669,0.197725,0.769999999999996
"GO:0000976",0.829427,0.024503,0.817
"GO:0000976",0.979711,0.099315,0.813000000000002
"GO:0000976",0.964437,0.050364,0.762
"GO:0000976",0.958827,0.040251,0.817
"GO:0000976",0.848408,0.047852,0.866000000000007
"GO:0000976",0.934353,0.026075,0.818999999999988
"GO:0000976",0.96465,0.046824,0.806000000000012
"GO:0000976",0.8813458,0.0856703,8.257
"GO:0000977",0.962014,0.052912,0.838000000000008
"GO:0000977",0.829682,0.305029,0.921999999999997
"GO:0000977",0.579936,0.06804,0.884999999999991
"GO:0000977",0.956051,0.032401,0.844000000000008
"GO:0000977",0.98121,0.124357,0.835999999999999
"GO:0000977",0.96826,0.045749,0.813000000000002
"GO:0000977",0.938471,0.02383,0.866
"GO:0000977",0.883121,0.037475,1.06700000000001
"GO:0000977",0.835796,0.014471,0.911999999999992
"GO:0000977",0.820594,0.037958,0.875999999999991
"GO:0000977",0.8755135,0.0742222,8.943
"GO:0000981",0.968849,0.010067,0.856999999999999
"GO:0000981",0.961221,0.016359,0.843000000000004
"GO:0000981",0.965375,0.017624,0.885999999999996
"GO:0000981",0.296885,0.000849,0.783999999999992
"GO:0000981",0.967598,0.01799,0.813999999999993
"GO:0000981",0.956135,0.007177,0.849000000000004
"GO:0000981",0.94787,0.011803,0.942999999999998
