"adaboost"	"C5"	"glmnet"	"kknn"	"lda"	"LogitBoost"	"mlp"	"naive_bayes"	"ranger"	"svmLinear2"	"treebag"	"xgbLinear"
0.2481142	0.1816532	0.0398678	0.2426356	0.306271	0.1739168	0.2909806	0.1743778	0.3624362	0.2239134	0.3064002	0.3044778
0.3090252	0.0927012	0.0029838	0.2006426	0.261741	0.1399428	0.3137868	0.0542832	0.3425548	0.1667782	0.266637	0.37555
0.3106558	0.0008886	0.0008886	0.0677416	0.1225664	0.2448102	0.2173668	0.0193984	0.2678532	0.1130052	0.0891974	0.3541016
0.0946004	0.025192	0.0054816	0.0462728	0.0517028	0.0162374	0.089143	0.0349276	0.1060116	0.0069044	0.051467	0.1149604
0.3797156	0.1960682	0.002603	0.3276382	0.256359	0.2329044	0.4465602	0.057884	0.4508998	0.3039944	0.2825196	0.3589048
0.2468758	0.0730204	0.0010788	0.0894628	0.2586734	0.3186458	0.3402568	0.02695	0.2594064	0.3348264	0.1315366	0.264431
0.3303972	0.0008886	0.0008886	0.101333	0.2579804	0.287475	0.488571	0.0217962	0.551467	0.2299562	0.2165988	0.295941
0.224964	0.000952	0.0021616	0.0088984	0.0667648	0.0992878	0.349564	0.0238396	0.139258	0.1510668	0.1229548	0.2296142
0.3257132	0.210121	0.007745	0.244901	0.301675	0.1825714	0.3458786	0.086478	0.4047128	0.2199358	0.2994318	0.3542286
0.3138076	0.115855	0.0088242	0.23389	0.3241278	0.2074402	0.304991	0.1048884	0.3707348	0.2152318	0.2698978	0.3385242
0.2850072	0.1605952	0.0079994	0.2556584	0.2873368	0.2229724	0.3674372	0.0928226	0.3979896	0.2730978	0.2995636	0.4051084
0.1466682	0.0534896	0.0139684	0.0845472	0.062477	0.0290192	0.1407254	0.0234478	0.1583776	0.0677892	0.0707944	0.1491556
0.3443276	0.0993046	0.001587	0.1830094	0.1172964	0.2436846	0.3629928	0.0234688	0.2885114	0.1849788	0.2375294	0.2569556
0.2460122	0.0007618	0.0007618	0.1233126	0.1286718	0.1522442	0.2312694	0.0187366	0.4230668	0.2010646	0.3371174	0.4481018
0.2460122	0.0007618	0.0007618	0.1233126	0.1286718	0.1522442	0.2312694	0.0187366	0.4230668	0.2010646	0.3371174	0.4481018
0.2193398	0.1222266	0.0060136	0.2475298	0.1990402	0.0273598	0.2888302	0.0270376	0.2757202	0.1776402	0.1579042	0.3780324
0.62332	0.0007618	0.0007618	0.2531424	0.3234268	0.6819676	0.598704	0.0130752	0.680247	0.3149706	0.518699	0.6983426
0.3084014	0.1063152	0.0034916	0.2100618	0.2302794	0.1810472	0.3070888	0.0582156	0.3579452	0.1754922	0.2592504	0.2364672
0.2992876	0.1784582	0.0053326	0.2040632	0.2343824	0.1882666	0.3471928	0.0685438	0.4130522	0.2161738	0.335335	0.3174798
0.252936	0.2540276	0.0047612	0.191172	0.2420614	0.1836176	0.3319038	0.0721402	0.399123	0.2257144	0.2631754	0.3984204
0.1504412	0.032544	0.0025396	0.1834774	0.0925104	0.1252728	0.2088402	0.0394146	0.2039338	0.0797504	0.0938386	0.2484288
0.4205938	0.291001	0.1011524	0.1348888	0.2348616	0.4734044	0.411034	0.0227964	0.5382048	0.345894	0.3979264	0.5822662
0.2727848	0.16195	0.0027296	0.2196352	0.2591072	0.078573	0.253552	0.0583518	0.4246294	0.1649718	0.2882968	0.3663024
0.3098874	0.000952	0.000952	0.1558334	0.1426886	0.324628	0.3746572	0.0100842	0.3339276	0.3225022	0.2890316	0.3542782
