"adaboost"	"C5"	"glmnet"	"kknn"	"lda"	"LogitBoost"	"mlp"	"naive_bayes"	"ranger"	"svmLinear2"	"treebag"	"xgbLinear"
0.1327592	0.0581326	0.0398678	0.1626512	0.165673	0.1271684	0.1664716	0.0948034	0.220943	0.0675914	0.1847656	0.193477
0.077867	0.01389	0.0029838	0.1664086	0.0745188	0.1082832	0.0643996	0.0465912	0.1896918	0.0056376	0.0731296	0.1841282
0.0022664	0.0008886	0.0008886	0.0058382	0.1008096	0.0463234	0.0180924	0.0314378	0.0294562	0.0018956	0.0133946	0.0247586
0.0309184	0.003555	0.003555	0.0661628	0.0415502	0.0204672	0.0125882	0.0133374	0.0728942	0.0039818	0.0347168	0.0617418
0.010805	0.002603	0.002603	0.01711	0.0353616	0.0166914	0.0106734	0.0185808	0.0449532	0.0049186	0.0171614	0.027766
0.048387	0.0010788	0.0010788	0.121703	0.1974256	0.1975172	0.0138206	0.0417852	0.17826	0.0232766	0.1489646	0.1367758
0.0054856	0.0008886	0.0008886	0.1025766	0.0222888	0.010849	0.0014414	0.0183706	0.0556436	0.0259202	0.007128	0.0119154
0.1261194	0.000952	0.000952	0.0374632	0.0198634	0.024769	0.002715	0.0095286	0.0559082	0.0050042	0.0026886	0.0441082
0.0973218	0.007745	0.007745	0.1450144	0.0934948	0.077368	0.0645024	0.0509652	0.1935842	0.0125834	0.1411346	0.1779504
0.0809512	0.0088242	0.0088242	0.1854622	0.1162396	0.0880182	0.1136468	0.0665554	0.2380062	0.0155696	0.1528996	0.1559864
0.1111716	0.0286564	0.0079994	0.1959898	0.1128808	0.1404012	0.0932352	0.0515236	0.2486996	0.0188048	0.141274	0.1994896
0.0237368	0.001587	0.001587	0.0691466	0.0323204	0.029337	0.0061728	0.1123444	0.0993392	0.0021936	0.0643682	0.0974196
0.0849056	0.001587	0.001587	0.1139498	0.0126126	0.0149662	0.009755	0.010666	0.1240168	0.0026954	0.0297282	0.1372798
0.007846	0.0007618	0.0007618	0.0843042	0.0175196	0.0134992	0.0092614	0.0074544	0.0589534	0.0015276	0.0196978	0.0282706
0.007846	0.0007618	0.0007618	0.0843042	0.0175196	0.0134992	0.0092614	0.0074544	0.0589534	0.0015276	0.0196978	0.0282706
0.0444832	0.0019682	0.0019682	0.0424332	0.0426112	0.0344352	0.0078186	0.024219	0.1024966	0.0029696	0.0525888	0.057835
0.0032412	0.0007618	0.0007618	0.134385	0.0793994	0.011096	0.008246	0.0021206	0.0379512	0.001303	0.0007334	0.0734766
0.040311	0.0034916	0.0034916	0.1744608	0.0680912	0.0758876	0.0516222	0.0319464	0.1932888	0.0162716	0.1046986	0.1268502
0.0373394	0.0053326	0.0053326	0.0861178	0.054721	0.03769	0.0304464	0.0249926	0.130822	0.0040586	0.0664186	0.1024868
0.0207852	0.0047612	0.0047612	0.0645302	0.064178	0.0577438	0.0495426	0.022851	0.128245	0.0050828	0.059932	0.0891488
0.06052	0.0025396	0.0025396	0.1643832	0.0972234	0.0724008	0.0374312	0.0448876	0.150511	0.0019446	0.0846528	0.1346642
