"adaboost"	"C5"	"glmnet"	"kknn"	"lda"	"LogitBoost"	"mlp"	"naive_bayes"	"ranger"	"svmLinear2"	"treebag"	"xgbLinear"
0.3364858	0.0810266	0.0010154	0.2957386	0.2375018	0.4017844	0.4136094	0.0268768	0.418778	0.3008878	0.4466272	0.4386288
0.2014864	0.139119	0.004507	0.2161558	0.1982088	0.0976348	0.276632	0.050375	0.3096474	0.2360374	0.2497096	0.279902
0.0318832	0.0096648	0.00708	0.0176542	0.0680866	0.0122576	0.0404548	0.0114556	0.0657182	0.021872	0.1170162	0.0724596
0.4593192	0.3307314	0.0028566	0.283766	0.3604256	0.3511758	0.5435504	0.052167	0.5475174	0.2389708	0.411049	0.501796
0.4894612	0.27691	0.002603	0.2741078	0.407275	0.4888436	0.6533688	0.0484818	0.6053888	0.3580256	0.4363084	0.5109302
0.45614	0.000952	0.000952	0.148759	0.2235126	0.299587	0.457414	0.0199928	0.4971816	0.1642952	0.5259818	0.4941034
0.4355332	0.168526	0.001206	0.1448454	0.2306558	0.4357406	0.4944724	0.0225516	0.5659224	0.2286784	0.4613506	0.4948428
0.0718214	0.0066298	0.0028842	0.0545294	0.0420896	0.0183204	0.1508944	0.0248074	0.1458384	0.0573246	0.0633838	0.0708056
0.0325948	0.0014602	0.0014602	0.0417684	0.0299976	0.0982192	0.0413816	0.0185672	0.0645678	0.0948958	0.0351498	0.0665872
0.3042658	0.1747244	0.0052054	0.3531154	0.392855	0.1948922	0.4379658	0.0728606	0.4959358	0.3199654	0.3338068	0.3712094
0.3297544	0.1158302	0.0022852	0.2279898	0.1443778	0.1532226	0.2913188	0.0369476	0.381523	0.0397012	0.372223	0.343339
0.473304	0.000635	0.000635	0.5340164	0.3814752	0.556094	0.6132838	0.0210822	0.768499	0.5013632	0.7012952	0.646668
0.1443086	0.0368426	0.0011424	0.0011352	0.149503	0.2040124	0.2296088	0.0228314	0.1563786	0.1077822	0.1489886	0.197307
0.283294	0.0008252	0.0008252	0.0468738	0.2387038	0.4557966	0.4313844	0.0196906	0.445604	0.5061924	0.3074738	0.4749848
0.5047494	0.4281204	0.1221428	0.4255938	0.5148708	0.3902942	0.5447458	0.382977	0.5800812	0.5252438	0.5396614	0.5563488
0.1406502	0.0830134	0.0045704	0.108256	0.123844	0.0627216	0.2241506	0.0418796	0.2224434	0.1417148	0.1223298	0.1476148
0.2226844	0.0724446	0.0022852	0.2191606	0.1642036	0.184217	0.3364344	0.0389568	0.3528252	0.1371766	0.1523188	0.2590862
0.3286938	0.1754132	0.0012696	0.2227048	0.3089838	0.4318282	0.4133748	0.0302286	0.5107168	0.3118424	0.3347766	0.3654666
0.008119	0.0016504	0.0016504	0.0056028	0.0129504	0.0085906	0.0080846	0.0059416	0.0085056	0.008721	0.0027812	0.0074568
0.4010536	0.3358104	0.094591	0.3392048	0.4359844	0.283186	0.4232804	0.288691	0.4811186	0.418916	0.443477	0.4590164
0.4764562	0.3992682	0.1155412	0.4028196	0.4886644	0.3492452	0.5172624	0.352364	0.5504518	0.492462	0.5151366	0.524971
0.26834	0.1979068	0.0417722	0.2441256	0.3436626	0.1931264	0.3129704	0.197723	0.3843318	0.249642	0.3471026	0.3476096
0.3533904	0.2021764	0.0038092	0.3390068	0.3213138	0.2632778	0.4449014	0.0486562	0.450683	0.3025916	0.3536788	0.4396448
0.601604	0.3298432	0.0011424	0.351802	0.450197	0.4064696	0.5275908	0.0297898	0.6137774	0.2367408	0.5265996	0.5427522
0.0620724	0.0064102	0.0050098	0.042272	0.037824	0.0458016	0.0563004	0.0304942	0.0733356	0.0341062	0.0641204	0.06259
0.274539	0.0769546	0.0013332	0.0416296	0.1181076	0.065938	0.1519224	0.0177504	0.1538508	0.1996166	0.1240598	0.3055376
0.3221982	0.208277	0.0104748	0.3183534	0.3952178	0.2362386	0.340767	0.1080186	0.455728	0.366504	0.3495052	0.3615256
0.056205	0.0013968	0.0013968	0.0268582	0.010572	0.006598	0.0559766	0.0126356	0.0224232	0.0048298	0.0617564	0.0163218
0.3142314	0.2377862	0.0584054	0.2825146	0.3372498	0.1975714	0.3302726	0.2075644	0.4049478	0.2730122	0.3631028	0.3338602
0.1801482	0.0646134	0.0044436	0.082896	0.1645012	0.106506	0.2098338	0.056868	0.2436694	0.1642734	0.1440756	0.2072926
0.257452	0.0008886	0.0008886	0.1237122	0.1235174	0.1587964	0.1439832	0.014899	0.2554402	0.169166	0.1854474	0.1326168
0.0318832	0.0096648	0.00708	0.0176542	0.0680866	0.0122576	0.0404548	0.0114556	0.0657182	0.021872	0.1170162	0.0724596
0.3832372	0.2435034	0.0031746	0.2131522	0.2381136	0.2478946	0.4514102	0.0515398	0.4163114	0.1959888	0.3513986	0.353886
0.1300866	0.1289176	0.0081984	0.0252906	0.1240736	0.0894686	0.1820388	0.0219092	0.1896452	0.0526328	0.133615	0.2389978
0.0776994	0.0006984	0.0006984	0.0006962	0.0095384	0.0009094	0.1093762	0.0064166	0.1112074	0.0424748	0.0842478	0.1028418
0.1084062	0.0019012	0.0019046	0.0771656	0.1027296	0.0286854	0.2026836	0.0289854	0.2354892	0.0453134	0.207254	0.1577672
0.0784334	0.0008886	0.0008886	0.1178532	0.0429022	0.0122048	0.0875316	0.0134626	0.1298122	0.1549584	0.0844374	0.0943874
0.0571948	0.007804	0.0036184	0.0557044	0.0505774	0.0672218	0.0740718	0.0289278	0.0826968	0.073036	0.0569124	0.0890744
0.2253996	0.0007618	0.0007618	0.1662618	0.1066946	0.1503208	0.2886322	0.0067058	0.2895606	0.0100948	0.334514	0.334119
0.2050512	0.0611174	0.002793	0.0947892	0.0874042	0.0376692	0.1960084	0.0395184	0.2481924	0.0748622	0.1925932	0.2357242
0.1902836	0.0007618	0.0007618	0.1343672	0.124948	0.0979762	0.2489252	0.0198844	0.1973154	0.006558	0.0638032	0.1959052
0.2387626	0.1793808	0.0026664	0.199946	0.2756116	0.2354722	0.3263534	0.0425788	0.4546048	0.1872058	0.3273598	0.4111436
0.4006056	0.2414544	0.0048884	0.276193	0.2963236	0.2870354	0.3770058	0.1018426	0.4475222	0.3129642	0.4314266	0.4614864
0.756539	0.0008886	0.0008886	0.8502662	1	0.9808212	1	0.1325294	1	1	0.889205	0.9559358
0.526974	0.2665772	0.003555	0.3308944	0.3736396	0.2500196	0.4270792	0.0646902	0.5449898	0.2534352	0.4418564	0.4812188
0.023919	0.003865	0.0038728	0.0088126	0.0160286	0.0066396	0.0314742	0.022618	0.0465138	0.0349972	0.0211498	0.057349
0.3499926	0.2920852	0.011491	0.3995088	0.429401	0.3616494	0.475887	0.1752054	0.4901134	0.402783	0.429915	0.4413918
0.7008698	0.000635	0.000635	0.6007068	0.800253	0.9094534	0.9594534	0.0409876	1	0.9157116	0.90029	0.8752064
0.1761776	0.1404468	0.0022852	0.2363214	0.2146076	0.1964114	0.3584898	0.0400318	0.302056	0.2106824	0.2932682	0.255347
0.6382206	0.2681484	0.3509974	0.3901774	0.4191452	0.4350472	0.5703818	0.0285792	0.7564774	0.4086892	0.5694974	0.5460996
0.2515532	0.3271634	0.001206	0.3890506	0.2663252	0.2939816	0.5158156	0.0254398	0.3666286	0.135146	0.3706518	0.308173
0.2528772	0.0007618	0.0007618	0.2457828	0.3549068	0.3329722	0.4282632	0.021309	0.297508	0.2447962	0.1847208	0.3025872
0.1505402	0.0609852	0.0179656	0.1557958	0.2024696	0.1201288	0.1588508	0.0946606	0.2215012	0.0940522	0.195719	0.1987408
0.0381626	0.0031642	0.0044894	0.018881	0.0555888	0.024745	0.0757546	0.0294226	0.0678796	0.0219288	0.0235872	0.0494952
0.1757916	0.1123654	0.002603	0.2661752	0.1099966	0.075091	0.141428	0.0265524	0.326708	0.0268726	0.2425206	0.2377172
0.2709284	0.0461408	0.0281854	0.0957388	0.1224258	0.1302308	0.320742	0.0274334	0.355955	0.0528652	0.2101408	0.3550098
0.3143348	0.0007618	0.0007618	0.1316524	0.10563	0.2786808	0.3510126	0.0167472	0.3753328	0.1367648	0.2457096	0.2591694
0.354775	0.0008886	0.0008886	0.0677922	0.1282868	0.2790844	0.0087956	0.012028	0.3465322	0.2487466	0.2059594	0.4434468
0.5388036	0.4608118	0.0076182	0.5512666	0.5361556	0.5109608	0.5896072	0.1693488	0.6471924	0.4904706	0.6373902	0.6023874
0.3237146	0.0969104	0.0012696	0.2395818	0.150208	0.2339902	0.2107968	0.0555894	0.4039238	0.1673206	0.2672654	0.3816954
0.2497696	0.1132318	0.0048248	0.2665692	0.1804178	0.1333144	0.287226	0.0591614	0.3535806	0.173763	0.254898	0.2666274
0.2020718	0.0008886	0.0008886	0.0884246	0.0866142	0.0031682	0.3504822	0.0208888	0.3399584	0.1375642	0.2513936	0.3265154
0.041521	0.000952	0.000952	0.0361302	0.0381756	0.1156784	0.1488918	0.0146348	0.1359236	0.050694	0.087834	0.1028286
0.0332438	0.0165502	0.0020952	0.0282866	0.022511	0.0265142	0.0370674	0.0202228	0.0409866	0.0406418	0.0071594	0.0530406
0.4116252	0.061976	0.0013968	0.1813308	0.3535816	0.1903906	0.5639778	0.032645	0.4867284	0.35168	0.420819	0.4454156
0.2327492	0.0865038	0.0134582	0.2026846	0.2692114	0.1415928	0.2732978	0.0934628	0.3204612	0.2373222	0.272628	0.2874832
0.4117476	0.4150986	0.002476	0.4072944	0.4089972	0.2821104	0.4084984	0.0490506	0.5532986	0.2567674	0.4361992	0.4500456
0.3832146	0.313196	0.008507	0.4110512	0.4395984	0.3671744	0.490807	0.1564698	0.5716132	0.3881948	0.5092308	0.453433
0.175158	0.1443428	0.024949	0.155661	0.2392748	0.1156062	0.2069844	0.1198786	0.2803876	0.1549162	0.2322694	0.236747
0.0468772	0.0047186	0.0057542	0.0245274	0.0384304	0.0266984	0.047506	0.031256	0.0483928	0.0237294	0.0183714	0.0662836
0.0574926	0.0019682	0.0019682	0.0162686	0.0241112	0.0089386	0.0273138	0.0154356	0.0217034	0.0072528	0.0051458	0.0268588
0.0700226	0.0196452	0.003238	0.0162378	0.0336038	0.0268174	0.062288	0.020779	0.0522566	0.021474	0.0258602	0.0702418
0.1336778	0.0008252	0.0008252	0.0975396	0.208271	0.1414042	0.0336308	0.017862	0.322855	0.1114188	0.13342	0.2110272
0.1559658	0.0007618	0.0007618	0.1177826	0.181823	0.0568396	0.0916208	0.0137504	0.2303132	0.243523	0.1409726	0.118923
0.1654102	0.000635	0.000635	0.0196394	0.1820794	0.2915612	0.2826386	0.0108586	0.4417154	0.0227132	0.1008648	0.2660226
0.5096016	0.2647036	0.003111	0.2930948	0.326736	0.3531158	0.409336	0.0779446	0.5413424	0.113883	0.4856592	0.4981444
0.4600854	0.3121336	0.0030474	0.425582	0.4165744	0.3441136	0.502765	0.0754068	0.5456648	0.2366748	0.5083876	0.513667
0.2322016	0.1031254	0.0043168	0.1562882	0.146737	0.0915674	0.1648286	0.0457604	0.306632	0.0927678	0.2291066	0.2551734
0.152693	0.0006984	0.0006984	0.1509636	0.0375912	0.111793	0.2262412	0.0205518	0.274784	0.0512734	0.0753278	0.1613512
0.2618198	0.000635	0.000635	0.1509372	0.0133128	0.1203448	0.1321362	0.0178592	0.3596406	0.104799	0.250578	0.1387934
0.0874742	0.0346286	0.0011424	0.1168212	0.1051122	0.0659562	0.2853598	0.0194586	0.301221	0.2067218	0.1000048	0.1131508
0.2472602	0.1342394	0.0013968	0.0283588	0.2172712	0.0719806	0.358087	0.03942	0.3566214	0.136384	0.1982504	0.2334652
0.144697	0.0006984	0.0006984	0.1008574	0.0271148	0.1056216	0.1337644	0.010535	0.040088	0.152884	0.054735	0.0449002
0.1097604	0.0361464	0.0070466	0.0969346	0.1205278	0.0764984	0.1398336	0.058775	0.1711816	0.080368	0.1381658	0.1700106
0.0310874	0.004856	0.0036818	0.0547678	0.0334706	0.0258504	0.076117	0.0500322	0.1101504	0.0426128	0.0609916	0.0775638
0.4009016	0.2316174	0.0059676	0.3772602	0.4312268	0.3340748	0.5349764	0.0771122	0.5849966	0.3656896	0.4576296	0.4607606
0.219961	0.0790128	0.0024124	0.218149	0.2196852	0.1467368	0.3154754	0.0431	0.3507068	0.0686904	0.2007052	0.2968784
0.111756	0.0476808	0.0048884	0.1265178	0.089585	0.08128	0.2267438	0.0397168	0.1881946	0.1244736	0.1260978	0.1312948
0.1769782	0.000635	0.000635	0.1007978	0.0836028	0.1419746	0.122119	0.016944	0.2918398	0.0221714	0.2316084	0.274331
0.0456306	0.0046668	0.0048884	0.024155	0.0377952	0.0266312	0.068936	0.0333928	0.0558598	0.0513614	0.0297736	0.0724942
0.015437	0.0032894	0.0033014	0.0128656	0.030508	0.0196882	0.0537446	0.0302424	0.0527556	0.036103	0.020324	0.049366
0.0790754	0.0051138	0.0013968	0.05482	0.0447122	0.0142628	0.0263326	0.016834	0.0915004	0.0107912	0.0228616	0.0398418
0.1083142	0.001587	0.001587	0.0416314	0.0229268	0.0069818	0.0205542	0.0146858	0.0903532	0.0533962	0.0285562	0.0671898
0.0720682	0.0008886	0.0008886	0.1239214	0.0774408	0.0279104	0.1846024	0.0109246	0.2617402	0.068088	0.0458896	0.1147208
0.227825	0.1356444	0.007745	0.2162836	0.2696894	0.212223	0.3455692	0.1013528	0.3758868	0.2762782	0.275724	0.2756196
0.6119144	0.3177614	0.001587	0.4188292	0.3740872	0.4309452	0.5822808	0.0411762	0.5972876	0.2763944	0.4812494	0.5530528
0.3442484	0.0008252	0.0008252	0.1650944	0.2755132	0.3879356	0.5198414	0.023212	0.520419	0.2410804	0.4411446	0.4502134
0.026932	0.0006984	0.0006984	0.0006948	0.0089946	0.0700044	0.0129194	0.015225	0.033302	0.0373282	0.0158348	0.0174734
0.5447632	0.409805	0.0020952	0.555724	0.4196736	0.3967348	0.5888244	0.0519392	0.5792304	0.2782972	0.4247194	0.5581244
0.0296066	0.0008886	0.0310014	0.2342156	0.018172	0.2149906	0.2253412	0.0100006	0.1231484	0.073684	0.0966626	0.0806314
0.3839472	0.0008252	0.0008252	0.2779438	0.1404886	0.2628608	0.1744366	0.015956	0.3383962	0.2866008	0.2132756	0.2011706
0.2704676	0.179866	0.0046976	0.2672416	0.2642178	0.2084432	0.3726626	0.0449792	0.3075396	0.2056258	0.2562566	0.3062914
0.1300098	0.0788046	0.0100942	0.1227712	0.1733092	0.0759496	0.1771638	0.0612828	0.2031114	0.1460776	0.1436178	0.1759332
0.2704676	0.179866	0.0046976	0.2672416	0.2642178	0.2084432	0.3726626	0.0449792	0.3075396	0.2056258	0.2562566	0.3062914
0.091165	0.103934	0.0093956	0.1154058	0.1846352	0.0774228	0.1649858	0.059602	0.2140208	0.1392444	0.1538368	0.1833154
0.2247278	0.1720008	0.0079994	0.185364	0.2775404	0.176512	0.3663702	0.1074184	0.375099	0.245718	0.2615852	0.2860976
0.080275	0.0307994	0.0021586	0.0780208	0.043665	0.0894658	0.072568	0.025488	0.109678	0.058967	0.12723	0.113934
0.1902836	0.0007618	0.0007618	0.1343672	0.124948	0.0979762	0.2489252	0.0198844	0.1973154	0.006558	0.0638032	0.1959052
0.1459322	0.0008252	0.0008252	0.1343692	0.04159	0.077386	0.0815422	0.0144326	0.2555258	0.0137834	0.0240738	0.2320702
0.1459322	0.0008252	0.0008252	0.1343692	0.04159	0.077386	0.0815422	0.0144326	0.2555258	0.0137834	0.0240738	0.2320702
0.1459322	0.0008252	0.0008252	0.1343692	0.04159	0.077386	0.0815422	0.0144326	0.2555258	0.0137834	0.0240738	0.2320702
0.0720682	0.0008886	0.0008886	0.1239214	0.0774408	0.0279104	0.1846024	0.0109246	0.2617402	0.068088	0.0458896	0.1147208
0.0168456	0.000635	0.000635	0.0006332	0.0190026	6e-04	0.00118	0.0042774	0.0072368	0.0058962	0.0136802	0.0017754
0.2271506	0.0013968	0.0013968	0.145077	0.1698336	0.1738332	0.2212614	0.060226	0.3436094	0.292386	0.2126724	0.3541644
0.2522674	0.1406854	0.0222192	0.287652	0.2952942	0.1654522	0.2969026	0.1161496	0.3807546	0.218286	0.3316258	0.3195974
0.011281	0.000635	0.000635	0.0006336	0.0072208	0.0068392	0.0050142	0.0074894	0.0152142	0.0126436	0.0006238	0.0343654
0.2291512	0.0007618	0.0007618	0.3427864	0.227662	0.128715	0.0186092	0.0150192	0.3630218	0.2514188	0.1718072	0.2506016
0.4872424	0.2215036	0.004634	0.3700486	0.456875	0.3848518	0.5455672	0.0659776	0.5841014	0.365034	0.4382086	0.5557386
0.2927368	0.1494262	0.0016504	0.2200526	0.1928864	0.2342258	0.459127	0.0567876	0.4808604	0.3038706	0.3738922	0.4828192
0.5262202	0.3169116	0.0016504	0.5714404	0.3387366	0.377337	0.5026494	0.057957	0.5349872	0.2816004	0.616231	0.5313732
0.2498558	0.0007618	0.0007618	0.1141246	0.1955936	0.183026	0.3240632	0.0230524	0.2976528	0.123507	0.0644482	0.1978842
0.4067906	0.2478872	0.0045704	0.361646	0.4661	0.3721722	0.5908526	0.064501	0.5862934	0.358	0.4496978	0.5048158
0.1119326	0.05808	0.0101578	0.1127644	0.1262048	0.0732202	0.0915506	0.089895	0.1988176	0.0788846	0.1680328	0.1739738
0.2106224	0.000952	0.000952	0.121919	0.0624406	0.2230428	0.2691896	0.006257	0.2211758	0.0016842	0.2347704	0.2264206
0.3710928	0.290572	0.0196164	0.324544	0.4059374	0.2921506	0.410323	0.1909918	0.4636554	0.3828842	0.4086878	0.4026606
0.1719888	0.0886696	0.01276	0.1357402	0.2293348	0.152249	0.1967196	0.114692	0.2764302	0.2001686	0.2241298	0.22689
0.1188456	0.0558066	0.0088878	0.0816218	0.1413736	0.1143408	0.1160286	0.0736884	0.191344	0.0769002	0.146944	0.1449692
0.0028838	0.0006984	0.0006984	0.0006964	0.0073472	0.0016812	0.0126534	0.0080704	0.0082556	0.0050384	0.0120452	0.0190508
0.5200288	0.2785142	0.0038728	0.4772304	0.4550446	0.398731	0.6405292	0.0565822	0.6268558	0.4006594	0.5364434	0.5667472
0.39126	0.319287	0.0829734	0.3286622	0.4218076	0.2974022	0.4157806	0.276778	0.47925	0.406905	0.4338782	0.4375162
0.2930994	0.2339902	0.0599924	0.227629	0.3239464	0.2004058	0.3080554	0.2114474	0.3745764	0.2515742	0.3350686	0.3353698
0.3990338	0.3073104	0.0288854	0.3861878	0.4702482	0.2601372	0.4618224	0.19336	0.5032716	0.4323126	0.4518684	0.4770914
0.3536564	0.2635308	0.0780214	0.2941038	0.3794766	0.2578186	0.3771422	0.2518078	0.4175012	0.3599838	0.3828228	0.3954684
0.2604386	0.220929	0.0535806	0.2133	0.3259906	0.2030436	0.2765026	0.1968416	0.3498572	0.2451538	0.3206076	0.320051
0.3990338	0.3073104	0.0288854	0.3861878	0.4702482	0.2601372	0.4618224	0.19336	0.5032716	0.4323126	0.4518684	0.4770914
0.1331122	0.0904144	0.0100306	0.1417702	0.1832934	0.0423116	0.1521426	0.0591902	0.2149448	0.1316404	0.1505832	0.1825898
0.1895546	0.112079	0.01276	0.2349024	0.230642	0.1022158	0.2201716	0.079057	0.3299952	0.2042138	0.2625204	0.2648646
0.0952506	0.0007618	0.0007618	0.1831492	0.289327	0.0193824	0.114928	0.0132286	0.2985536	0.0407904	0.0913602	0.1160812
0.4905064	0.4671532	0.004634	0.4168168	0.4375652	0.3159864	0.5308142	0.088034	0.6145422	0.3570376	0.5169418	0.5733268
0.1076614	0.0513334	0.0095862	0.0812214	0.1452214	0.0864326	0.136781	0.0789454	0.186486	0.0884868	0.1715972	0.1773504
0.023254	0.0007618	0.0007618	0.0007596	0.0506672	0.0005854	0.0047486	0.0034516	0.0135648	0.0217568	0.016177	0.003307
0.2306246	0.0647178	0.001587	0.1097038	0.162979	0.2151688	0.3233124	0.0293826	0.350038	0.1924906	0.226288	0.2837532
0.1144406	0.069814	0.0039998	0.0899824	0.1288978	0.058844	0.1994078	0.041041	0.2382808	0.1216864	0.153942	0.1774532
