"adaboost"	"C5"	"glmnet"	"kknn"	"lda"	"LogitBoost"	"mlp"	"naive_bayes"	"ranger"	"svmLinear2"	"treebag"	"xgbLinear"
0.032272	0.0010154	0.0010154	0.0555206	0.1073446	0.057397	0.0008378	0.0237332	0.0499836	0.0010076	0.06353	0.0547316
0.0677074	0.004507	0.004507	0.0923934	0.0609156	0.040338	0.0392224	0.0274036	0.1443524	0.0069488	0.0875132	0.136239
0.0120772	0.0014602	0.0014602	0.0359368	0.003847	0.003054	0.0022294	0.0033822	0.1845374	0.0015746	0.0244252	0.0249666
0.1317984	0.0186746	0.0028566	0.1371728	0.0672748	0.1018222	0.0237596	0.0611092	0.2526078	0.0125566	0.2082764	0.1331452
0.0737436	0.0182742	0.002603	0.184219	0.0379206	0.1388286	0.0177798	0.0424568	0.2566662	0.0138516	0.18029	0.2510048
0.0620828	0.000952	0.000952	0.0117872	0.0123398	0.0716612	0.0045316	0.0215438	0.1411996	0.0173932	0.0819848	0.2172128
0.093867	0.001206	0.001206	0.0267836	0.0141012	0.0900482	0.0059728	0.0138454	0.0856608	0.0196776	0.0260132	0.086134
0.0313754	0.0024124	0.0024124	0.0502568	0.0484624	0.0512522	0.0328366	0.029381	0.1139332	0.0060484	0.0794104	0.0662176
0.0493668	0.0066734	0.0014602	0.099266	0.0588748	0.0243034	0.0373202	0.0502634	0.1570446	0.001652	0.0434788	0.1162276
0.1265804	0.0928828	0.0052054	0.1369942	0.1374124	0.1496656	0.076638	0.0951786	0.2301432	0.0069474	0.151226	0.2302718
0.0442452	0.0022852	0.0022852	0.0979266	0.0483736	0.051823	0.028378	0.0305042	0.0754212	0.0020004	0.030142	0.0847036
0.0296642	0.000635	0.000635	0.2106362	0.0195016	0.1339776	0.005342	0.0498182	0.2496744	0.1674676	0.0409426	0.1613646
0.029891	0.0011424	0.0011424	0.0247864	0.031494	0.0378888	0.0032644	0.0141476	0.0274784	0.0036792	0.016648	0.0637426
