"adaboost"	"C5"	"glmnet"	"kknn"	"lda"	"LogitBoost"	"mlp"	"naive_bayes"	"ranger"	"svmLinear2"	"treebag"	"xgbLinear"
0.2005822	0.0006984	0.0006984	0.247319	0.1678384	0.124739	0.4037522	0.0153064	0.3865408	0.0276078	0.1958474	0.2811718
0.1630744	0.0752796	0.0036184	0.0743666	0.1617366	0.2317958	0.2580124	0.0904676	0.2591476	0.2766012	0.238061	0.300391
0.2143936	0.1198722	0.0034282	0.0694844	0.1198622	0.135162	0.2182722	0.0913244	0.223982	0.1019148	0.180189	0.2735674
0.1609694	0.0946108	0.0011424	0.0011368	0.050475	0.1410646	0.2630204	0.0271234	0.3005708	0.0942244	0.1674316	0.154984
0.1195702	0.0170428	0.0010154	0.1146468	0.0388322	0.0083982	0.1846494	0.0174096	0.1735174	0.0461228	0.148147	0.158734
0.1195702	0.0170428	0.0010154	0.1146468	0.0388322	0.0083982	0.1846494	0.0174096	0.1735174	0.0461228	0.148147	0.158734
0.3182256	0.1496156	0.0036818	0.1114232	0.1590366	0.137047	0.2913704	0.0864446	0.261211	0.2447142	0.1972014	0.3169604
0.2315616	0.1575522	0.0039998	0.0651896	0.1634658	0.1966492	0.2655498	0.0769702	0.2610444	0.163317	0.1919036	0.2660194
0.0488406	0.000635	0.000635	0.0006316	0.0117684	0.1067636	0.0093244	0.0073802	0.0183078	0.0046442	0.0160618	0.021417
0.1568808	0.02661	0.0014602	0.0536262	0.082639	0.2090346	0.1355334	0.0213476	0.2130568	0.0447484	0.1541024	0.1477116
0.1729324	0.0007618	0.0007618	0.0844404	0.2114876	0.0667086	0.333166	0.0307084	0.391986	0.1594286	0.229104	0.3063766
0.2064012	0.000635	0.000635	0.100758	0.0202428	0.102459	0.00337	0.005708	0.1231808	0.0462652	0.0564974	0.0546796
0.3612126	0.3263888	0.114652	0.3478632	0.4083018	0.260713	0.3881274	0.2983248	0.4429518	0.4027684	0.4098686	0.4193764
0.214868	0.0983762	0.010983	0.1457496	0.2811438	0.1697572	0.2821762	0.1056456	0.3064382	0.2538224	0.2488066	0.2682162
0.1879508	0.1242918	0.007428	0.1337866	0.222824	0.201959	0.3131902	0.0744552	0.2771474	0.2378864	0.2012114	0.289677
0.1404904	0.1202904	0.0127602	0.0930614	0.14317	0.1142984	0.2308862	0.0778794	0.2257188	0.1788374	0.1189182	0.2299858
0.1416786	0.0703866	0.0102878	0.0579124	0.0506702	0.115735	0.1608442	0.037378	0.2332014	0.0839358	0.1112292	0.2093578
0.2537584	0.000635	0.000635	0.050489	0.092987	0.1241998	0.1395258	0.0121696	0.1011508	0.112691	0.0567226	0.1143776
0.2742308	0.1045066	0.0034916	0.312336	0.2036496	0.1663618	0.3646624	0.0533674	0.4079024	0.1906278	0.2487394	0.3748194
0.4110108	0.0010752	0.0010788	0.218406	0.1225824	0.2007778	0.1878494	0.0244366	0.260983	0.2098376	0.1108336	0.3984328
0.2488458	0.0010706	0.0010788	0.1451206	0.0948482	0.1636722	0.3219448	0.0207388	0.3964986	0.0927252	0.2285058	0.3627022
0.1865686	0.0008252	0.0008252	0.1012696	0.1948026	0.3533844	0.4481542	0.0217188	0.4550688	0.4401758	0.281466	0.2065514
0.1992416	0.1285562	0.0277426	0.1749524	0.1971536	0.1126098	0.1844566	0.0929782	0.2694556	0.1125536	0.2342234	0.2219706
0.4180904	0.0007618	0.0007618	0.1512334	0.1696826	0.4338844	0.434726	0.019707	0.3936642	0.1548598	0.368675	0.4096708
0.0918538	0.001011	0.0010154	0.0010114	0.0115992	0.0366666	0.07223	0.0060386	0.0932996	0.027097	0.0870948	0.1027632
0.3036054	0.0149726	0.0016504	0.1751896	0.1834964	0.1158728	0.3800376	0.0252974	0.3150632	0.1840406	0.1537034	0.3434604
