"adaboost"	"C5"	"glmnet"	"kknn"	"lda"	"LogitBoost"	"mlp"	"naive_bayes"	"ranger"	"svmLinear2"	"treebag"	"xgbLinear"
0.183952	0.0006984	0.0006984	0.30085	0.4154896	0.3124638	0.0025438	0.0999736	0.3890264	0.1070678	0.2374384	0.2641006
0.0772238	0.0036184	0.0036184	0.1189946	0.034089	0.0493654	0.0208758	0.0651306	0.1566108	0.0029292	0.0801032	0.1406564
0.064152	0.0034282	0.0034282	0.1319642	0.0366342	0.0689096	0.0214768	0.0667682	0.1379338	0.0035854	0.126033	0.1630516
0.0209914	0.0011472	0.0011424	0.0382894	0.0162516	0.1105726	0.0009154	0.014311	0.1134014	0.001481	0.0384024	0.1251742
0.0020608	0.0010154	0.0010154	0.0446264	0.015046	0.0031714	0.002272	0.0074094	0.0348186	0.002261	0.0063312	0.006248
0.0020608	0.0010154	0.0010154	0.0446264	0.015046	0.0031714	0.002272	0.0074094	0.0348186	0.002261	0.0063312	0.006248
0.0506018	0.0036818	0.0036818	0.1546974	0.0383548	0.0719158	0.021567	0.0517158	0.1779664	0.0080926	0.148748	0.2086414
0.0958514	0.0039998	0.0039998	0.1340028	0.0368248	0.073691	0.0229128	0.058044	0.1655718	0.0033928	0.1230708	0.2031684
0.0006158	0.000635	0.000635	0.006495	0.0131244	0.0014406	0.0007588	0.0243528	0.0020884	0.0012112	0.000619	0.001675
0.005425	0.0014602	0.0014602	0.0149634	0.0282294	0.0150682	0.0056454	0.0110708	0.0240608	0.0113148	0.0220958	0.0133582
0.1618132	0.0007618	0.0007618	0.0828944	0.2018964	0.3000216	0.0011352	0.0150168	0.278482	0.0103878	0.083908	0.0318434
0.000616	0.000635	0.000635	0.0006258	0.0084882	0.002624	0.0009356	0.0079058	0.0017508	0.0011798	0.0006192	0.0024422
0.2533576	0.1905464	0.114652	0.3030526	0.2485908	0.1972312	0.2770392	0.2008862	0.3631772	0.1390818	0.3212414	0.3117094
0.1114476	0.013885	0.010983	0.1538864	0.040334	0.0434188	0.0309164	0.0361578	0.2327744	0.0125834	0.1566802	0.1811856
0.1068748	0.027543	0.007428	0.1574226	0.047193	0.0815032	0.0305202	0.0516326	0.2190334	0.0070134	0.1891668	0.224233
0.107157	0.0043802	0.0043802	0.1663354	0.0339996	0.0595678	0.0216082	0.0574204	0.1791692	0.0055814	0.0987918	0.152298
0.0245994	0.0021586	0.0021586	0.030961	0.0203282	0.0335584	0.0045084	0.0217144	0.0869106	0.0018092	0.042579	0.0821148
0.0029718	0.000635	0.000635	0.0591404	0.0173806	0.0071432	0.0015146	0.010457	0.0214908	0.0042826	0.0036162	0.0416716
0.0852436	0.0034916	0.0034916	0.2019972	0.025115	0.0625772	0.015246	0.0201256	0.1829022	0.00333	0.1239064	0.1245886
0.0268624	0.0010788	0.0010788	0.0863802	0.0080536	0.0125668	0.001319	0.0042666	0.044511	0.0008658	0.014584	0.0111328
0.0428566	0.0010788	0.0010788	0.1331052	0.1758712	0.0452528	0.0136252	0.1187648	0.1439604	0.0007816	0.0878648	0.1066136
0.044659	0.0008252	0.0008252	0.1073172	0.1437962	0.1012458	0.0101482	0.1459048	0.1806848	0.0057168	0.1208396	0.0643934
0.0920374	0.0277426	0.0277426	0.1715564	0.1004872	0.0583036	0.1024304	0.0628148	0.1967284	0.039371	0.15118	0.123585
0.2674406	0.0007618	0.0007618	0.2875026	0.3821688	0.3259908	0.0024586	0.0618716	0.3906814	0.1757918	0.3482578	0.3741962
0.0042586	0.0010154	0.0010154	0.0679504	0.0063862	0.003731	0.0048864	0.00138	0.1176522	0.0043586	0.0075378	0.0070564
0.005317	0.0016504	0.0016504	0.0112948	0.037394	0.0263962	0.0174742	0.022716	0.0527592	0.001761	0.0128066	0.0579392
0.1651206	0.0180948	0.001206	0.0601946	0.0413876	0.0710406	0.0283226	0.0105644	0.0469486	0.0019034	0.0069834	0.1397208
0.0029358	0.0006984	0.0006984	0.0688042	0.0508432	0.1473226	0.0159036	0.0031346	0.0454828	0.0014584	0.000679	0.0393512
0.0006174	0.000635	0.000635	0.0006324	0.0359068	0.0015692	0.0026974	0.002027	0.033091	0.000525	0.0006188	0.0021748
0.0031848	0.0008252	0.0008252	0.063978	0.1108968	0.022862	0.0153724	0.003302	0.039365	0.0013518	0.000798	0.0687522
0.0165794	0.0008886	0.0008886	0.1344872	0.0155684	0.0028052	0.0027878	0.0025328	0.0191876	0.0012554	0.002794	0.0017704
0.0403158	0.0008252	0.0008252	0.0345414	0.0013854	0.002301	0.0019754	0.0012576	0.1968832	0.0023736	0.0541994	0.0550438
0.088228	0.027313	0.0043802	0.219317	0.181324	0.1018614	0.1473628	0.0741454	0.3046216	0.007025	0.2036104	0.2518672
0.0955932	0.0042434	0.0026664	0.1327538	0.1735702	0.1531192	0.0807614	0.1125024	0.2818436	0.0056884	0.1688336	0.1938296
0.0203704	0.0006984	0.0006984	0.0006912	0.0255496	0.007152	0.0010078	0.0079362	0.0178456	0.0039496	0.0021824	0.0212544
0.0797606	0.001206	0.001206	0.078333	0.0276846	0.0253424	0.0012572	0.0144756	0.1218068	0.0013958	0.0748958	0.1146562
0.0040624	0.0008252	0.0008252	0.0176094	0.005778	0.0017066	0.0008932	0.0018044	0.0089552	0.0012864	0.0007934	0.0070164
0.0345008	0.0064012	0.00419	0.2099762	0.070787	0.066507	0.0509574	0.0349176	0.2177208	0.0109676	0.1280116	0.1233294
0.0439704	0.0101632	0.003111	0.249892	0.0166856	0.0859616	0.005409	0.0481754	0.2701378	0.0165674	0.1380782	0.2236414
0.1148728	0.0023488	0.0023488	0.2529958	0.0172102	0.1113128	0.004585	0.067194	0.2221996	0.024003	0.1420054	0.1700654
0.1518506	0.0379828	0.0014602	0.4218744	0.0191104	0.1920742	0.002401	0.2082846	0.3707098	0.1283718	0.3033268	0.2513966
0.1400204	0.000952	0.000952	0.1899526	0.0054458	0.009388	0.0010796	0.0201312	0.2810024	0.0105728	0.1235884	0.1715504
0.0418056	0.0036184	0.0036184	0.0343386	0.0204912	0.0088842	0.0204716	0.0119558	0.0675138	0.006607	0.0348004	0.053614
0.0208554	0.001587	0.001587	0.0134632	0.014171	0.00445	0.0023944	0.0157778	0.033739	0.0019226	0.0113384	0.0259712
0.0943714	0.0069198	0.0069198	0.1877642	0.0228302	0.067509	0.020323	0.0264064	0.2905088	0.0364382	0.2122814	0.1552192
0.0974938	0.0029202	0.0029202	0.2122826	0.0151546	0.0947668	0.0034342	0.1114606	0.3077348	0.0156304	0.1872532	0.2613462
0.1167156	0.0012084	0.0011424	0.3527872	0.0102798	0.1207896	0.0010114	0.1809376	0.427839	0.0015348	0.0991566	0.3073004
0.136784	0.0008252	0.0008252	0.3040638	0.0069856	0.148849	0.0006976	0.1123316	0.4894322	0.006388	0.1832986	0.3256378
0.2415964	0.0007618	0.0007618	0.258601	0.0052182	0.0803608	0.0017132	0.2159704	0.2841034	0.0176068	0.2304376	0.2504344
