"adaboost"	"C5"	"glmnet"	"kknn"	"lda"	"LogitBoost"	"mlp"	"naive_bayes"	"ranger"	"svmLinear2"	"treebag"	"xgbLinear"
0.7372308	0.666268	0.5	0.7285738	0.8264432	0.6756052	0.7921252	0.8469308	0.8613532	0.7133322	0.8125612	0.8491216
0.8412384	0.6581874	0.5	0.7006042	0.9189264	0.707183	0.9003666	0.9567604	0.9533202	0.636072	0.8384124	0.9462288
0.8594224	0.5	0.5	0.533005	0.9818712	0.9495122	0.9881608	0.9773374	0.9264656	0.8542764	0.780315	0.9260264
0.6460294	0.5443454	0.5026962	0.5673014	0.7795518	0.5292136	0.86585	0.8881478	0.7972266	0.3806302	0.6776054	0.8433152
0.9323446	0.6577386	0.5	0.776769	0.9176672	0.8534038	0.978773	0.9641262	0.9413154	0.8396542	0.8604614	0.9635728
0.8725004	0.6739778	0.5	0.6245762	0.9919658	0.9969124	0.9977014	0.9802672	0.9970924	0.996817	0.8147204	0.9965206
0.8972572	0.5	0.5	0.5665714	0.95109	0.7834942	0.9787164	0.9716094	0.9650886	0.7279824	0.8650516	0.9287162
0.8275826	0.5	0.532041	0.5327084	0.7052698	0.7592322	0.9789472	0.9803328	0.959836	0.8988528	0.698242	0.9582476
0.8508382	0.7129222	0.5	0.737102	0.909919	0.7582266	0.897771	0.9366892	0.9278734	0.8200118	0.8472642	0.927634
0.8204396	0.6344978	0.5	0.7390854	0.8970894	0.7993282	0.8971728	0.9367338	0.9204186	0.8211452	0.8587298	0.9247446
0.7582838	0.6488942	0.5	0.7354346	0.8530086	0.7383428	0.8524602	0.933301	0.9194398	0.7220678	0.865921	0.93734
0.7484658	0.5591924	0.519097	0.6388366	0.8110994	0.5773392	0.8930566	0.936405	0.8628392	0.6768114	0.7166046	0.8542876
0.8729798	0.6190016	0.5	0.6785314	0.9241998	0.8334756	0.8828064	0.9539968	0.8897306	0.7859728	0.7576218	0.927848
0.8280128	0.5	0.5	0.5830686	0.903309	0.8777422	0.9830474	0.9633894	0.8616422	0.826239	0.765777	0.9400944
0.8280128	0.5	0.5	0.5830686	0.903309	0.8777422	0.9830474	0.9633894	0.8616422	0.826239	0.765777	0.9400944
0.752892	0.6445868	0.5135498	0.7749424	0.9091312	0.6665492	0.8975538	0.9346388	0.8901174	0.9065882	0.7237998	0.939774
0.9142524	0.5	0.5	0.683016	0.8968816	0.9123624	0.974587	0.9341328	0.9129394	0.9507094	0.8661374	0.9093656
0.8589748	0.6518614	0.5	0.6979844	0.8599068	0.7216372	0.8339262	0.9568758	0.9336754	0.712872	0.8405842	0.9573892
0.8128986	0.5935856	0.5	0.687217	0.9032916	0.7084016	0.8868998	0.9403222	0.930464	0.7482818	0.8393236	0.8767504
0.8424752	0.6645746	0.5	0.6837046	0.8948408	0.7487646	0.9029502	0.9439142	0.9134324	0.768834	0.8207366	0.9077048
0.8514104	0.5492084	0.5	0.6730268	0.8517718	0.6248556	0.9432496	0.9539572	0.9439604	0.764425	0.7685242	0.94019
0.9285032	0.68345	0.5492374	0.5666668	0.8193864	0.9103934	0.9815432	0.976581	0.9627896	0.8037868	0.7244466	0.9439466
0.7844964	0.645493	0.5	0.7152078	0.921607	0.673452	0.9397796	0.9479376	0.913828	0.8339458	0.782806	0.9463616
0.7937512	0.5	0.5	0.6663384	0.8428678	0.8438838	0.9253326	0.897698	0.8914424	0.8275552	0.698676	0.9421478
0.7484586	0.6007304	0.5	0.6384716	0.8861262	0.7445136	0.8802636	0.9286398	0.8126138	0.7247584	0.7489844	0.8771106
0.7037854	0.5	0.5	0.4998412	0.8176992	0.479405	0.9145914	0.9184032	0.8685512	0.3419842	0.748507	0.8567292
0.8904242	0.6694102	0.5995074	0.6943564	0.9016688	0.819892	0.9022662	0.9523728	0.9326972	0.7344978	0.753077	0.9551288
0.9381992	0.6137948	0.5	0.7133904	0.9045964	0.8469026	0.8554618	0.978064	0.9795384	0.6957372	0.8262942	0.9634394
0.998975	0.6158298	0.6552272	0.6165712	0.989607	0.9974552	0.9988292	0.9826804	0.9729424	0.991017	0.8736018	0.9469704
0.84488	0.5	0.5300296	0.4999046	0.8407426	0.760344	0.9683554	0.9701244	0.9411998	0.7146916	0.6646018	0.9061346
0.9343468	0.6468148	0.5	0.7254518	0.8966466	0.8098166	0.8790076	0.9500088	0.9548404	0.7458378	0.8323578	0.9528232
0.9005774	0.595909	0.5150922	0.6186474	0.8858176	0.798163	0.9476702	0.9592834	0.9365026	0.815265	0.756454	0.9453884
0.859365	0.5	0.5	0.4998092	0.8367736	0.7703712	0.9779506	0.966928	0.8923224	0.3801868	0.5646548	0.8235114
0.998975	0.6158298	0.6552272	0.6165712	0.989607	0.9974552	0.9988292	0.9826804	0.9729424	0.991017	0.8736018	0.9469704
0.972029	0.6496716	0.5998728	0.633209	0.949661	0.997826	0.9983582	0.9839292	0.9729346	0.9235568	0.8485434	0.9980298
0.7647206	0.6361768	0.5	0.652147	0.8055358	0.6471098	0.8616394	0.9017284	0.848593	0.6947832	0.7399326	0.829909
0.6629454	0.507996	0.5	0.6200682	0.8145252	0.6115062	0.8991224	0.8796722	0.8021212	0.6744546	0.6966024	0.8478762
0.5977346	0.5	0.5	0.518538	0.669686	0.4458018	0.7185612	0.7791226	0.534002	0.7681532	0.5420154	0.619479
0.7778758	0.5000758	0.5732694	0.6668662	0.8393126	0.6067082	0.8649098	0.9037844	0.8578786	0.6862374	0.6894636	0.840917
0.858353	0.5	0.5	0.499015	0.8157228	0.9132904	0.9870598	0.9784924	0.957538	0.7179418	0.6484646	0.9256556
0.7255076	0.5546892	0.5	0.6757618	0.8149998	0.6782986	0.8159542	0.8590384	0.8259806	0.6823284	0.7519726	0.8232578
0.690238	0.5781396	0.5	0.6713222	0.7602174	0.646659	0.7270042	0.8259342	0.8604284	0.659851	0.787422	0.8332432
0.6785812	0.581673	0.5	0.672774	0.7899752	0.6877246	0.7597702	0.8254724	0.8545508	0.66952	0.7803106	0.8276136
0.6237662	0.5779612	0.5	0.6081132	0.8117954	0.5992388	0.8746844	0.9028822	0.801528	0.3457964	0.7088908	0.8389614
0.7858004	0.623975	0.5	0.5574882	0.8457462	0.5081102	0.921878	0.9026744	0.8231042	0.6686182	0.7063682	0.8883598
0.8968754	0.5	0.5	0.5995974	0.9756836	0.9526024	0.9834778	0.9559948	0.8933698	0.8996104	0.7652898	0.9307704
0.861712	0.574497	0.5	0.7081374	0.823419	0.8936446	0.9772374	0.9543588	0.9104386	0.8744412	0.7650806	0.9078434
0.8977658	0.5	0.5	0.6832168	0.9805226	0.9491424	0.9826612	0.9586734	0.94829	0.987829	0.8159466	0.947353
0.8634552	0.5878434	0.5	0.7799928	0.9018604	0.749458	0.8575828	0.928617	0.9344836	0.797864	0.840315	0.9341782
0.7527318	0.635693	0.5	0.710543	0.844182	0.7386384	0.8339336	0.875254	0.8895668	0.7363558	0.826657	0.8724494
0.6352682	0.5970022	0.5	0.6849524	0.7944652	0.662056	0.8448758	0.871105	0.8406622	0.7099974	0.753459	0.8412478
0.7929802	0.5	0.5	0.499619	0.7181144	0.7839432	0.9079676	0.938546	0.7912966	0.5712212	0.6812688	0.8158366
0.7937422	0.5497536	0.5	0.598951	0.879387	0.6476988	0.9110598	0.9047246	0.8596452	0.2650444	0.757222	0.8486754
0.8479988	0.5	0.5	0.6997298	0.7989514	0.7044936	0.9854516	0.9778294	0.8457438	0.9750644	0.8494126	0.8464108
0.9138442	0.5	0.5	0.5663914	0.8801982	0.8780112	0.99141	0.9839556	0.9654486	0.9693812	0.9659042	0.914612
0.7260786	0.6246294	0.5559656	0.663203	0.8369672	0.6659628	0.823193	0.9077966	0.8047784	0.7247584	0.75431	0.8300924
0.8285356	0.5	0.5	0.7327404	0.7326882	0.7080714	0.8261416	0.9144592	0.8703222	0.773164	0.798602	0.9557268
0.6896876	0.6133366	0.5	0.7008214	0.8038764	0.6425366	0.7859018	0.8517222	0.853904	0.658433	0.8032594	0.8496282
0.7692856	0.5395294	0.5388298	0.6780226	0.8829594	0.8053172	0.883	0.9256646	0.8431852	0.7171138	0.757107	0.8318868
0.899206	0.5	0.5	0.7833334	0.9936258	0.899714	0.9845298	0.9831334	0.9982792	0.8989098	0.899841	0.8980304
0.8464906	0.5	0.5	0.65	0.9075258	0.8462046	0.9915524	0.9668108	0.945792	0.8641082	0.8485868	0.8426322
0.7787358	0.7516622	0.5	0.7649472	0.9332032	0.782572	0.8637038	0.9372126	0.9329124	0.7701768	0.85519	0.9588706
0.9543298	0.6705694	0.5	0.713522	0.996964	0.9369848	0.9958286	0.9790672	0.9969642	0.8845776	0.925431	0.9829194
0.8454578	0.5	0.5	0.6498728	0.9837074	0.847062	0.9966338	0.980371	0.945395	0.9867888	0.6982846	0.9443628
0.9142524	0.5	0.5	0.683016	0.8968816	0.9123624	0.974587	0.9341328	0.9129394	0.9507094	0.8661374	0.9093656
0.8986554	0.5	0.5	0.5499046	0.9450286	0.9498834	0.9867854	0.9543686	0.9488564	0.90162	0.8997566	0.9465586
0.8601892	0.6152682	0.5	0.68278	0.8775394	0.7991476	0.9423398	0.96113	0.9359646	0.6393246	0.7899426	0.9360626
0.842282	0.5	0.5	0.5494124	0.7999672	0.834008	0.9898358	0.9818318	0.8943146	0.9763056	0.7487294	0.8333244
0.8264252	0.6726516	0.5	0.6702402	0.8622886	0.5397772	0.883506	0.9512414	0.8971518	0.703329	0.7831516	0.9464694
0.7333646	0.4998092	0.5	0.5828276	0.8016484	0.6475682	0.86131	0.91266	0.700006	0.713431	0.60622	0.8021776
0.76613	0.602676	0.5	0.679988	0.8784336	0.7159444	0.8619928	0.9053788	0.8904852	0.8113634	0.8338552	0.8851434
0.8254908	0.6385866	0.5	0.7069426	0.8682684	0.748551	0.8726444	0.9146162	0.9191168	0.8162168	0.8408102	0.9113988
0.8406178	0.5	0.5	0.5665608	0.7778434	0.6735468	0.9089462	0.9064222	0.8417028	0.693865	0.681385	0.8002788
0.66839	0.6774266	0.5	0.6391576	0.7999196	0.6007808	0.8058524	0.9024828	0.9000156	0.7373788	0.7163632	0.8761856
0.935403	0.6594342	0.5592686	0.6795866	0.7941366	0.8225428	0.9047246	0.9647558	0.9558032	0.8954946	0.758283	0.9340486
0.9458284	0.5752226	0.5	0.5999682	0.8862604	0.9700182	0.8856642	0.9767986	0.9714322	0.9532174	0.7493564	0.918508
0.8921684	0.5	0.5	0.6663806	0.6988674	0.8220972	0.9911142	0.975875	0.9960656	0.8911574	0.8152848	0.9601692
0.736085	0.5610048	0.5	0.6439894	0.9134576	0.6564714	0.9201908	0.9416484	0.8878802	0.6359068	0.7610166	0.934187
0.710512	0.5662174	0.5	0.6960914	0.8606012	0.6503434	0.871261	0.9136052	0.842352	0.7187918	0.6954832	0.8746612
0.7169254	0.5783364	0.5	0.689624	0.8356172	0.654028	0.816902	0.8633122	0.8787518	0.5619556	0.7806922	0.8723258
0.7201528	0.7228618	0.5	0.6825326	0.909951	0.6980222	0.9119132	0.9235158	0.9474586	0.788169	0.8150746	0.9067962
0.708286	0.5	0.5	0.549714	0.5939188	0.6431756	0.7361614	0.8696718	0.6525048	0.7462416	0.5485708	0.7438488
0.8421372	0.5	0.5	0.532772	0.8743934	0.8829062	0.9523818	0.9441896	0.7884154	0.9528686	0.5481576	0.8064078
0.8956154	0.5	0.5	0.6995764	0.9602592	0.8248718	0.948101	0.9303212	0.9627162	0.9487364	0.7984008	0.9605028
0.8207286	0.7654168	0.5995128	0.6831108	0.9020864	0.7328038	0.9444948	0.9298352	0.852256	0.7812334	0.7569962	0.9101634
0.6100442	0.5128406	0.590862	0.635635	0.7638436	0.6303694	0.7192324	0.8787688	0.7827124	0.5866292	0.7370372	0.8435332
0.9100872	0.5	0.5	0.5980036	0.9282266	0.768121	0.9284994	0.9700438	0.949286	0.6158008	0.7161152	0.9247708
0.8532804	0.4995552	0.5	0.5692736	0.7177686	0.5977066	0.8833534	0.9236078	0.8839478	0.7206738	0.6327274	0.8904116
0.6740404	0.5	0.5	0.6330688	0.819591	0.6336044	0.9555864	0.956526	0.7489694	0.6836412	0.631904	0.9099666
0.7645236	0.5974974	0.5	0.7042586	0.79985	0.6738606	0.819383	0.86235	0.8586486	0.7051808	0.7828454	0.8994316
0.8638916	0.5	0.5	0.732878	0.9298594	0.9299652	0.9957846	0.978172	0.9646752	0.9927446	0.86619	0.99642
0.9991742	0.5	0.5	0.8499682	0.9986976	0.9998412	0.9996188	0.9813236	0.9999046	0.9998412	0.899746	0.9994918
0.9378218	0.5665078	0.5	0.5748172	0.744116	0.904376	0.8302194	0.9681328	0.9628216	0.9720684	0.814866	0.9619636
0.9132034	0.533344	0.5	0.5998306	0.6473416	0.9358234	0.7985574	0.9723474	0.9125918	0.9450026	0.7232898	0.9922954
0.682888	0.577908	0.5	0.6840172	0.784295	0.6666868	0.760741	0.8302848	0.8424672	0.6841902	0.7787212	0.8394256
0.8621448	0.5	0.5	0.6333016	0.8781178	0.6364518	0.9737292	0.9644608	0.913585	0.9805372	0.7662218	0.9407182
0.8416034	0.499877	0.5	0.7545208	0.8290844	0.7118604	0.853186	0.9279602	0.8508672	0.6226062	0.8011616	0.8782116
0.9120614	0.5494758	0.5643788	0.7245312	0.9906072	0.7922312	0.9669364	0.977774	0.9361798	0.9861922	0.7723016	0.9325016
0.6098342	0.5817554	0.5	0.6550206	0.7818926	0.6339948	0.785756	0.8109912	0.8330722	0.6801518	0.7386784	0.7948178
0.667826	0.5833626	0.5	0.6840168	0.7841476	0.6348076	0.7846142	0.8207752	0.8333908	0.68205	0.7641568	0.8113392
0.7196576	0.6074702	0.5	0.7029646	0.7990136	0.668525	0.7839956	0.8188342	0.8456932	0.6166162	0.7948794	0.8319736
0.7115884	0.5984542	0.5	0.7032126	0.8283698	0.7053114	0.8113426	0.8465478	0.833529	0.757263	0.787681	0.8247474
0.6764154	0.563801	0.5	0.6520328	0.7105736	0.6470286	0.780743	0.808162	0.7744708	0.7260334	0.703252	0.8071782
0.6949086	0.6238158	0.5	0.7138704	0.7470954	0.6572548	0.844163	0.8913968	0.8387816	0.6369562	0.7609046	0.8706844
0.9472524	0.5	0.5	0.6663386	0.8980414	0.943943	0.9879712	0.9781142	0.9468974	0.8954472	0.815375	0.9431438
0.865352	0.5501908	0.5	0.6745392	0.819406	0.5700244	0.9007186	0.8882844	0.836347	0.7644804	0.7725606	0.8632482
0.81916	0.518951	0.5	0.624415	0.7904166	0.7800038	0.9077158	0.9473286	0.8797022	0.8286956	0.6417784	0.8813994
0.8546042	0.5896044	0.5	0.7491082	0.7579338	0.8330944	0.8986172	0.9444694	0.905925	0.3584482	0.7830592	0.9060886
0.7159042	0.5	0.5	0.633042	0.7994918	0.5467702	0.8506884	0.9120396	0.7616054	0.7133314	0.6824174	0.8056386
0.9434406	0.5836432	0.5	0.5914362	0.9584814	0.8589022	0.9304062	0.9343644	0.9432288	0.886892	0.7892462	0.9385682
0.6832818	0.608826	0.5	0.6826448	0.7255558	0.6963492	0.8584172	0.8520278	0.7573794	0.6883302	0.7314054	0.7772446
0.8079676	0.5	0.5	0.76637	0.823866	0.8070992	0.9010352	0.9032782	0.8073694	0.8574534	0.7989146	0.8610644
