"adaboost"	"C5"	"glmnet"	"kknn"	"lda"	"LogitBoost"	"mlp"	"naive_bayes"	"ranger"	"svmLinear2"	"treebag"	"xgbLinear"
0.6813744	0.5267062	0.5	0.7070912	0.783192	0.7460918	0.7720242	0.7429938	0.850159	0.684682	0.7950924	0.8258254
0.6936524	0.5490414	0.5	0.8133182	0.9264878	0.8787162	0.9103448	0.899391	0.9142622	0.4844142	0.7304284	0.8841608
0.5293516	0.5	0.5	0.5315014	0.9745392	0.8422274	0.8985362	0.9566196	0.8571968	0.4823956	0.6786208	0.7903438
0.6212698	0.5	0.5	0.6545972	0.7942208	0.7989238	0.7488554	0.7709236	0.8772514	0.5007854	0.6621378	0.8350024
0.576467	0.5	0.5	0.558681	0.8831794	0.8236112	0.8023494	0.8416586	0.8995204	0.6582764	0.690005	0.9007746
0.7132798	0.5	0.5	0.8145376	0.9782862	0.9415874	0.9362198	0.9798752	0.8569564	0.576904	0.7550738	0.915189
0.5624412	0.5	0.5	0.7148822	0.949889	0.8545788	0.55971	0.9304718	0.8394392	0.625962	0.5622718	0.8302802
0.630601	0.5	0.5	0.6643578	0.958825	0.894144	0.654059	0.891398	0.8825362	0.6058342	0.5290336	0.8417896
0.7018032	0.5	0.5	0.7225202	0.888057	0.8493822	0.8661502	0.8529888	0.9237664	0.6770944	0.7752958	0.9095512
0.7064312	0.5	0.5	0.7538418	0.904631	0.883126	0.8879472	0.8643702	0.9283382	0.6766144	0.8090486	0.9099346
0.7145486	0.5700378	0.5	0.7865806	0.9098984	0.8838664	0.9192592	0.8614128	0.9334492	0.665472	0.8047248	0.9293422
0.6337558	0.5	0.5	0.6573104	0.883268	0.856915	0.7714612	0.832588	0.808382	0.4145348	0.6511298	0.8588174
0.594233	0.5	0.5	0.6369988	0.8385488	0.7745978	0.831848	0.7703428	0.7958788	0.5046168	0.6506086	0.7592788
0.5461884	0.5	0.5	0.5815492	0.8494496	0.691116	0.7559508	0.662156	0.7137072	0.3587144	0.5461246	0.688628
0.5461884	0.5	0.5	0.5815492	0.8494496	0.691116	0.7559508	0.662156	0.7137072	0.3587144	0.5461246	0.688628
0.6059544	0.5	0.5	0.5802006	0.8902234	0.852293	0.672848	0.8646266	0.7894762	0.565453	0.636626	0.8025332
0.5293838	0.5	0.5	0.5652902	0.8799026	0.8200286	0.8905656	0.7169102	0.7951768	0.64838	0.4947586	0.8137124
0.6803602	0.5	0.5	0.7672892	0.9132806	0.8609282	0.9052518	0.8689802	0.91779	0.5428248	0.766902	0.8852374
0.6296046	0.5	0.5	0.66231	0.8435752	0.7713092	0.7975062	0.7743658	0.8364832	0.4028156	0.6955096	0.8267504
0.6010592	0.5	0.5	0.6307272	0.8196468	0.8024956	0.7870126	0.7681226	0.8496058	0.4508766	0.6453474	0.8146768
0.6428242	0.5	0.5	0.672009	0.9267518	0.90687	0.9035848	0.8885572	0.8702888	0.2524636	0.7774162	0.8824444
0.55398	0.5	0.5	0.6071152	0.904581	0.7873662	0.461752	0.7055502	0.8110424	0.4307594	0.6338258	0.6530826
0.533134	0.5	0.5	0.5668252	0.7907566	0.7578	0.7316882	0.64446	0.7654188	0.5474898	0.5361286	0.7602302
0.7313742	0.5	0.5	0.6989304	0.887096	0.814188	0.8318842	0.8388798	0.8039014	0.6615226	0.6306114	0.7745304
0.5706644	0.5	0.5	0.5963886	0.8360206	0.707386	0.7761794	0.7465388	0.776688	0.4879802	0.5901622	0.8244234
0.4960928	0.5	0.5	0.498761	0.6523084	0.643758	0.608312	0.4506352	0.6965374	0.6266304	0.4951716	0.525858
0.6352876	0.5	0.5	0.6879036	0.8309058	0.824517	0.4854084	0.7987856	0.8535234	0.385995	0.6511984	0.8410092
0.6502804	0.5	0.5	0.6529846	0.8488142	0.8708452	0.6246804	0.7675822	0.8987252	0.435712	0.6431228	0.8558778
0.6288604	0.5013032	0.5	0.6820862	0.9182326	0.7818884	0.4331456	0.84377	0.7399276	0.5486912	0.6543162	0.787488
0.6634578	0.5	0.5	0.730098	0.9019882	0.9048562	0.3024146	0.8161568	0.9714806	0.6769156	0.592915	0.931055
0.629378	0.5	0.5	0.703983	0.8525998	0.7917794	0.8177916	0.8309744	0.9040082	0.5044376	0.7109012	0.8893236
0.5571054	0.5	0.5	0.5455798	0.8690208	0.7854242	0.758806	0.863395	0.765426	0.4279768	0.569548	0.7650816
0.613617	0.5	0.5	0.6638076	0.8979584	0.890344	0.2984242	0.8094542	0.8274386	0.6980404	0.5597412	0.8651886
0.6288604	0.5013032	0.5	0.6820862	0.9182326	0.7818884	0.4331456	0.84377	0.7399276	0.5486912	0.6543162	0.787488
0.5787706	0.5	0.5	0.6317076	0.909803	0.8224366	0.4326234	0.8650566	0.8042978	0.62057	0.6283972	0.7895722
0.5449442	0.5	0.5	0.5834876	0.7910346	0.7972564	0.643318	0.7500934	0.8281738	0.5983476	0.5563946	0.8004258
0.6144264	0.5	0.5	0.6455574	0.7886462	0.6909238	0.8233338	0.7864866	0.7911116	0.7161344	0.6350908	0.8201106
0.5382536	0.5	0.5	0.562492	0.715098	0.5766232	0.467229	0.5946894	0.6448138	0.628469	0.5408936	0.7249914
0.6087398	0.5	0.5	0.6532428	0.7885434	0.703771	0.8476776	0.7688906	0.8089112	0.7393886	0.6379702	0.79512
0.4956474	0.5	0.5	0.4986656	0.9338028	0.863172	0.6057974	0.6799364	0.6130176	0.671947	0.5264496	0.7853018
0.6211732	0.5	0.5	0.6264574	0.7489782	0.7093042	0.658663	0.6674388	0.8175524	0.437102	0.5668746	0.8168602
0.6349336	0.5	0.5	0.66453	0.7807866	0.693689	0.779051	0.7271048	0.8534318	0.6435964	0.7489846	0.8243132
0.6487568	0.5080238	0.5	0.6552218	0.7795508	0.7137278	0.7827336	0.7316622	0.8522236	0.5716952	0.7435802	0.8179004
0.5710764	0.5	0.5	0.5947006	0.7971576	0.7296006	0.6965274	0.7705146	0.7808672	0.610838	0.6052164	0.7806626
0.5193272	0.5	0.5	0.4976482	0.8157336	0.7698142	0.5166654	0.7931794	0.6681526	0.480813	0.5507034	0.7043282
0.4950754	0.5	0.5	0.5314692	0.8620998	0.7246074	0.5816924	0.8509326	0.8185946	0.5076486	0.4950436	0.7473602
0.5287786	0.5	0.5	0.5310986	0.8955196	0.8250796	0.712668	0.849788	0.8073508	0.6660152	0.5610742	0.7822052
0.5972684	0.5	0.5	0.4983168	0.8640386	0.8099668	0.4708362	0.7948808	0.7275914	0.5568242	0.5464742	0.799483
0.6436044	0.5	0.5	0.6348538	0.864098	0.805766	0.8308422	0.7893606	0.9043892	0.7064786	0.7081498	0.8989416
0.641227	0.5487674	0.5	0.6733656	0.7920174	0.728021	0.7877054	0.753055	0.852873	0.6690842	0.775896	0.834019
0.611416	0.5	0.5	0.6179518	0.7364458	0.7047254	0.7551484	0.7130774	0.8075948	0.4405158	0.6623546	0.8179788
0.646268	0.5	0.5	0.5489996	0.8619472	0.8916844	0.3916958	0.8219298	0.8860724	0.5038652	0.5961882	0.7839462
0.5684366	0.5	0.5	0.5732916	0.6247872	0.7536924	0.7270926	0.6563966	0.7500548	0.6297706	0.5653056	0.811127
0.546093	0.5	0.5	0.598952	0.8490568	0.6587002	0.7719682	0.6270536	0.6562948	0.5332708	0.4961248	0.5178244
0.495997	0.5	0.5	0.4988246	0.6435576	0.6250782	0.739892	0.7163718	0.7373164	0.6795162	0.557538	0.4619774
0.655256	0.5	0.5	0.628211	0.862697	0.8430656	0.864789	0.7813204	0.8500514	0.3971536	0.6860964	0.869465
