"adaboost"	"C5"	"glmnet"	"kknn"	"lda"	"LogitBoost"	"mlp"	"naive_bayes"	"ranger"	"svmLinear2"	"treebag"	"xgbLinear"
0.6547692	0.5	0.5	0.6150806	0.9595452	0.9029528	0.2751286	0.8899984	0.8115812	0.3898514	0.6531384	0.8437496
0.6907644	0.5	0.5	0.6527846	0.88723	0.8411226	0.8878836	0.8260212	0.903437	0.5655912	0.7104316	0.8723064
0.6032528	0.5	0.5	0.6022804	0.752189	0.6500144	0.5955994	0.6533822	0.6943808	0.5346196	0.6433242	0.7402224
0.7704988	0.5311838	0.5	0.7838982	0.9051554	0.798753	0.8837494	0.893096	0.9379818	0.6622528	0.8446188	0.8965304
0.7013592	0.5929186	0.5	0.8282736	0.9214398	0.884656	0.8802482	0.88377	0.9461976	0.6413524	0.769645	0.9118884
0.6969606	0.5	0.5	0.5972462	0.9600098	0.9467572	0.8298304	0.8927376	0.9074818	0.804282	0.6946732	0.8825148
0.6786454	0.5	0.5	0.6544346	0.929673	0.8923106	0.8471994	0.8567684	0.8898094	0.7825758	0.6516594	0.9210514
0.6399768	0.5	0.5	0.603897	0.9458686	0.8713826	0.9015096	0.8946692	0.864056	0.6886444	0.6474826	0.9027082
0.630173	0.5380294	0.5	0.6270898	0.9156696	0.7957412	0.7995302	0.8555456	0.7641896	0.3637898	0.6233562	0.840097
0.7675016	0.778688	0.5	0.7639296	0.9228878	0.899073	0.9422338	0.9261696	0.9274248	0.5953414	0.8228022	0.9351388
0.6273422	0.5	0.5	0.6459008	0.931478	0.8903874	0.9330648	0.9229248	0.891539	0.4488896	0.6948682	0.87218
0.6977926	0.5	0.5	0.6987614	0.9769094	0.9647154	0.9310764	0.990535	0.9414246	0.9402292	0.6966332	0.9365962
0.5782144	0.5	0.5	0.6391006	0.900883	0.821215	0.7316238	0.8903128	0.8040144	0.4848264	0.6103694	0.856268
0.4963148	0.5	0.5	0.5322002	0.9023512	0.820315	0.411829	0.6647586	0.740835	0.5007472	0.493392	0.6272656
0.7242664	0.7514116	0.5	0.7760824	0.7464556	0.6929146	0.7790528	0.7122848	0.848641	0.5077872	0.8219572	0.8192628
0.5817604	0.5	0.5	0.6026504	0.846907	0.7940686	0.7661176	0.7610736	0.8714198	0.5470034	0.6792692	0.839533
0.6605138	0.5	0.5	0.595135	0.9121822	0.8740102	0.699807	0.8153588	0.8814002	0.537713	0.6380102	0.911277
0.6192392	0.5	0.5	0.5987606	0.8810492	0.829662	0.4869052	0.7635674	0.8845476	0.6186152	0.6395196	0.8856448
0.5529798	0.5	0.5	0.5565788	0.7754714	0.725489	0.5984608	0.6820672	0.7275364	0.5642556	0.566462	0.8375384
0.7155604	0.7067324	0.5	0.77009	0.7599142	0.7142496	0.7887402	0.7298748	0.8536862	0.6351742	0.8209014	0.824134
0.7225524	0.7582932	0.5	0.7786698	0.7490118	0.6947926	0.7841456	0.7169906	0.8489006	0.4767232	0.82093	0.822073
0.7097158	0.6430676	0.5	0.780559	0.8291208	0.772762	0.8316056	0.771168	0.8941168	0.7024294	0.8305944	0.877881
0.6446138	0.5	0.5	0.6104612	0.8170428	0.7942446	0.778348	0.8067256	0.8204182	0.5022286	0.6671184	0.8182406
0.6551846	0.5	0.5	0.6899878	0.9185432	0.85396	0.7312902	0.838386	0.820367	0.6868768	0.7439966	0.8225006
0.5874312	0.5	0.5	0.5957682	0.8939974	0.8192072	0.8714604	0.8748406	0.8611772	0.7196096	0.6523796	0.8552676
0.5440802	0.5	0.5	0.4979976	0.7330474	0.6221576	0.3389522	0.6094504	0.8176528	0.3431886	0.5128186	0.6898464
0.7096264	0.6531698	0.5	0.7239792	0.8902476	0.8679042	0.903994	0.8544952	0.9155222	0.6191326	0.7752356	0.915475
0.5682214	0.5	0.5	0.52171	0.8431468	0.7537016	0.6346232	0.7982756	0.766386	0.446014	0.5608916	0.7947998
0.6706692	0.5670668	0.5	0.7209624	0.754937	0.6675724	0.7456692	0.7144196	0.8419754	0.5385718	0.800634	0.8153268
0.6104436	0.5	0.5	0.5965258	0.7941572	0.6959328	0.8413416	0.7357226	0.7837436	0.575083	0.6939124	0.7906336
0.5620282	0.5	0.5	0.5982526	0.7244014	0.6541478	0.6241182	0.656851	0.739981	0.5704874	0.560323	0.6361128
0.6032528	0.5	0.5	0.6022804	0.752189	0.6500144	0.5955994	0.6533822	0.6943808	0.5346196	0.6433242	0.7402224
0.6080014	0.5	0.5	0.6815074	0.8452194	0.78696	0.6664252	0.7661596	0.847875	0.6002046	0.6463754	0.81531
0.5691918	0.5	0.5	0.5216708	0.8773624	0.7784108	0.353063	0.7594534	0.748656	0.4905072	0.5402112	0.8118544
0.529691	0.5	0.5	0.4987614	0.7814406	0.6684242	0.4475584	0.5815448	0.5272274	0.5818486	0.4945998	0.7563828
0.6775348	0.5	0.5	0.6469628	0.7754378	0.713139	0.643992	0.594865	0.778159	0.5426772	0.688604	0.7905362
0.5971826	0.5	0.5	0.6827772	0.8164594	0.6887458	0.7024818	0.6096794	0.7451146	0.5229248	0.5935084	0.6948814
0.603652	0.5	0.5	0.5966746	0.7563976	0.6489522	0.7219194	0.6403872	0.7364038	0.477021	0.6184254	0.722417
0.5456162	0.5	0.5	0.6653592	0.711976	0.6601866	0.4863246	0.636838	0.619658	0.539316	0.5955368	0.611981
0.627749	0.5	0.5	0.630036	0.8006648	0.7993426	0.6971022	0.6592566	0.845775	0.5255586	0.646835	0.8640644
0.4962834	0.5	0.5	0.5483322	0.8430748	0.7413172	0.4447056	0.6767048	0.7031608	0.4817768	0.4934244	0.6904544
0.6366408	0.5	0.5	0.7485788	0.904569	0.8329956	0.8363772	0.8694074	0.9414214	0.5119094	0.6526176	0.8763594
0.6021768	0.5	0.5	0.746396	0.8308244	0.8548394	0.7682482	0.763639	0.9189914	0.4542446	0.7199004	0.870638
0.5958378	0.5	0.5	0.5986236	0.9069106	0.8603152	0.3030488	0.7409426	0.8285358	0.5642674	0.609423	0.7827188
0.6428012	0.5266848	0.5	0.6657328	0.8944962	0.8469628	0.860395	0.8247534	0.8651478	0.5183256	0.7192984	0.8618852
0.5313366	0.5	0.5	0.5232594	0.7223122	0.6560298	0.7635776	0.7353482	0.6599768	0.6549272	0.5588114	0.7250744
0.726185	0.5492786	0.5	0.772121	0.8706914	0.844855	0.8585472	0.8513696	0.9208336	0.4334506	0.8092712	0.906839
0.5980466	0.5	0.5	0.6998888	0.9446692	0.955862	0.2975954	0.9104526	0.9412486	0.815818	0.497205	0.8858324
0.6837876	0.5	0.5	0.7578936	0.9058352	0.868634	0.7831622	0.8619774	0.8865516	0.4876566	0.6814816	0.9164742
0.5528434	0.5	0.5	0.6812388	0.9187602	0.7875154	0.4560024	0.7329574	0.7958756	0.669677	0.5428256	0.7809844
0.5785796	0.5	0.5	0.6060666	0.8889454	0.8290462	0.490555	0.802124	0.7412768	0.5098858	0.6023798	0.8011086
0.5630242	0.5	0.5	0.614549	0.929659	0.8626374	0.2473104	0.8627066	0.7244652	0.4538224	0.4961564	0.780395
0.6290342	0.5	0.5	0.6572414	0.797216	0.8003452	0.8013226	0.7106484	0.8645216	0.4803596	0.7640816	0.8324986
0.5260402	0.5	0.5	0.493122	0.7938294	0.7380972	0.5955494	0.7320306	0.8040462	0.5163632	0.5581316	0.7788388
0.4996228	0.5	0.5	0.5697926	0.7937224	0.6933654	0.694986	0.704661	0.7385664	0.5518554	0.5863212	0.7838274
0.5391576	0.5	0.5	0.5876892	0.9292278	0.871446	0.8004926	0.8870756	0.8370024	0.5237254	0.5766784	0.8649332
0.5967596	0.5	0.5	0.6156502	0.934657	0.836314	0.4901524	0.9612242	0.8034096	0.4996082	0.6446368	0.8699384
0.528716	0.5	0.5	0.563786	0.7569236	0.7176584	0.6373856	0.7191988	0.646884	0.6787474	0.5250624	0.5613396
0.7195382	0.7839072	0.5	0.7576478	0.8211422	0.8008776	0.7552546	0.7021312	0.8618034	0.5761878	0.7912344	0.855263
0.6208682	0.5	0.5	0.6965674	0.8913054	0.930784	0.4282672	0.7992382	0.9453316	0.6844894	0.6674918	0.8977978
0.661492	0.5	0.5	0.642192	0.8670852	0.7895876	0.8310606	0.8749006	0.8656902	0.6035812	0.7282146	0.8625114
0.4950122	0.5	0.5	0.4983796	0.840704	0.7296038	0.5228784	0.7260142	0.659484	0.533573	0.5432966	0.701371
0.595319	0.5	0.5	0.59821	0.889916	0.871148	0.5816424	0.6746434	0.8525354	0.4197038	0.6625362	0.7803076
0.5484498	0.5	0.5	0.537818	0.7673932	0.830684	0.668035	0.6343036	0.7804544	0.5088362	0.5689664	0.8011506
0.5990702	0.5	0.5	0.6123476	0.829682	0.7681418	0.4052876	0.7483598	0.852387	0.4875906	0.6640686	0.7711998
0.606208	0.5	0.5	0.635331	0.7491624	0.6937696	0.7430294	0.695164	0.8244714	0.4327664	0.6884806	0.8091686
0.7146814	0.6049958	0.5	0.7809176	0.9258106	0.9169076	0.8754706	0.9366746	0.925169	0.6968706	0.7759052	0.9284818
0.7125444	0.5	0.5	0.7574834	0.8672898	0.8354426	0.8167012	0.826316	0.9178614	0.6106428	0.8029418	0.8977646
0.6384842	0.5	0.5	0.6990256	0.7871808	0.7341686	0.7905762	0.6828978	0.8608444	0.4573288	0.7675662	0.8231508
0.5728832	0.5	0.5	0.5642802	0.774748	0.7325722	0.715758	0.6955484	0.802304	0.5448696	0.6309106	0.7747472
0.555813	0.5	0.5	0.6245102	0.8337526	0.8074154	0.6119996	0.654005	0.8035256	0.5570534	0.5793522	0.8103814
0.564629	0.5	0.5	0.5913666	0.8339834	0.7533742	0.7362828	0.6269772	0.7763162	0.653284	0.594896	0.7554168
0.561806	0.5	0.5	0.6320364	0.7764708	0.7021362	0.2664486	0.7424086	0.8217208	0.404885	0.5278904	0.8567696
0.5290554	0.5	0.5	0.582068	0.773126	0.7964476	0.230379	0.6927892	0.6551462	0.4246292	0.529352	0.8235176
0.5971098	0.5	0.5	0.5491744	0.9235548	0.7497542	0.614582	0.809884	0.7810384	0.4422312	0.546046	0.7731618
0.6431402	0.5808474	0.5	0.7011738	0.8783428	0.8786886	0.8183752	0.8776108	0.8493242	0.6705198	0.761177	0.872557
0.679697	0.6277864	0.5	0.6942478	0.8572918	0.8511914	0.8183534	0.865086	0.8654658	0.6124836	0.6856996	0.8608164
0.594131	0.5	0.5	0.6149994	0.8026178	0.7815014	0.7320846	0.7445326	0.8396354	0.4887918	0.6431034	0.8414176
0.5468076	0.5	0.5	0.5988248	0.8746656	0.9137318	0.2933808	0.7615872	0.7357186	0.5707016	0.4939964	0.833499
0.4967604	0.5	0.5	0.5989518	0.9024858	0.8509176	0.2681122	0.7456716	0.7152846	0.6368082	0.5452038	0.8102554
0.4937714	0.5	0.5	0.5229186	0.7765474	0.6553094	0.5241134	0.661991	0.6157624	0.5716106	0.5385198	0.6460524
0.5844374	0.5	0.5	0.567338	0.9170184	0.8462366	0.4372904	0.7675588	0.7933074	0.4822154	0.6797202	0.872338
0.5970934	0.5	0.5	0.5487452	0.8379396	0.8200002	0.3775232	0.6006748	0.8827268	0.5787082	0.5946158	0.6836272
0.5924676	0.5	0.5	0.648674	0.830491	0.7619728	0.8015182	0.7599294	0.8290144	0.4644964	0.688229	0.8231816
0.6050202	0.5	0.5	0.606151	0.8257018	0.7134258	0.686776	0.6865704	0.7949054	0.483154	0.5619224	0.7835712
0.6993434	0.5	0.5	0.7648248	0.8849602	0.8270082	0.8823956	0.8369842	0.8923044	0.6322484	0.810693	0.8916234
0.7000768	0.5	0.5	0.6151872	0.9050528	0.876523	0.7089376	0.8142806	0.903314	0.5162414	0.6656298	0.8956404
0.5805834	0.5	0.5	0.6138802	0.7321982	0.6969714	0.6667708	0.6361774	0.7957658	0.5413904	0.6502958	0.7866322
0.6463632	0.5	0.5	0.5993648	0.6891024	0.7858658	0.3715708	0.7744328	0.7215394	0.2538788	0.5468556	0.654466
0.577935	0.5	0.5	0.5740628	0.7754462	0.694727	0.731085	0.7074982	0.816839	0.5176946	0.624425	0.7863898
0.5445252	0.5	0.5	0.4928664	0.7859758	0.760894	0.5902724	0.690648	0.7526134	0.4828842	0.5761006	0.7948348
0.5373298	0.5	0.5	0.5463684	0.773112	0.7887206	0.481745	0.7156804	0.6656088	0.5845994	0.5107914	0.7913874
0.511823	0.5	0.5	0.5165344	0.7785504	0.6506712	0.4757484	0.6808654	0.6406558	0.5407052	0.523023	0.6490136
0.4953934	0.5	0.5	0.5315544	0.8013732	0.729746	0.5666356	0.700665	0.5007844	0.6647822	0.4928518	0.7409476
0.6253616	0.5	0.5	0.6448642	0.8057692	0.7454692	0.8084978	0.6948944	0.8430252	0.4837662	0.7092766	0.8166446
0.6543854	0.5	0.5	0.597202	0.833826	0.8665554	0.4656802	0.7618752	0.762029	0.443193	0.6471366	0.8113644
0.5804478	0.5	0.5	0.6485336	0.9623336	0.8633794	0.142301	0.8368844	0.8245736	0.3613658	0.5953618	0.8943366
0.495966	0.5	0.5	0.4985072	0.7943376	0.7275382	0.4622812	0.727506	0.5320562	0.6418762	0.4938058	0.6782146
0.5958024	0.5	0.5	0.6157144	0.8455158	0.826159	0.685961	0.8308362	0.8250258	0.5247512	0.6383926	0.84262
0.4959016	0.5	0.5	0.5318824	0.7542074	0.7926766	0.444913	0.7510492	0.7116358	0.3467666	0.4929788	0.7064684
0.5961878	0.5	0.5	0.6817396	0.7560794	0.7995362	0.6522372	0.697495	0.846084	0.5315018	0.5604086	0.7157956
0.5641818	0.5	0.5	0.6333058	0.775372	0.692556	0.777538	0.716869	0.8311976	0.7021284	0.6402328	0.7647732
0.6527094	0.5	0.5	0.6645976	0.8385004	0.7754614	0.8507384	0.7953416	0.8753594	0.7410608	0.7276974	0.8813018
0.5641818	0.5	0.5	0.6333058	0.775372	0.692556	0.777538	0.716869	0.8311976	0.7021284	0.6402328	0.7647732
