"adaboost"	"C5"	"glmnet"	"kknn"	"lda"	"LogitBoost"	"mlp"	"naive_bayes"	"ranger"	"svmLinear2"	"treebag"	"xgbLinear"
0.4900142	0.5	0.5	0.6830952	0.7208178	0.373293	0.813188	0.898582	0.6126088	0.483039	0.6826824	0.755062
0.9071258	0.6452288	0.5	0.6815336	0.9165508	0.8713742	0.959155	0.979289	0.9566024	0.8575876	0.8969566	0.96824
0.9233706	0.6718888	0.5	0.617205	0.91583	0.7056286	0.9758518	0.9770954	0.963105	0.7953984	0.8462036	0.9676648
0.801308	0.6744654	0.5	0.499555	0.8118704	0.7130564	0.9605064	0.9684338	0.9159856	0.7245358	0.6895852	0.8906996
0.8327118	0.5660312	0.5	0.6329732	0.7592384	0.5972458	0.9100848	0.9044498	0.8329524	0.5981524	0.7234164	0.8323832
0.8327118	0.5660312	0.5	0.6329732	0.7592384	0.5972458	0.9100848	0.9044498	0.8329524	0.5981524	0.7234164	0.8323832
0.9217974	0.6712578	0.5	0.6701246	0.918138	0.7971156	0.947335	0.9768228	0.9617126	0.8444082	0.8214604	0.9696828
0.9339922	0.6502328	0.5	0.6387704	0.9324264	0.7773852	0.956993	0.969512	0.9543966	0.830737	0.8356446	0.958314
0.8413288	0.5	0.5	0.4996188	0.7693706	0.675064	0.905736	0.922318	0.7877558	0.578092	0.5487454	0.8309586
0.7956592	0.523625	0.5	0.5638908	0.8735866	0.7189504	0.9699576	0.963977	0.8337084	0.8405958	0.7627876	0.920746
0.78777	0.5	0.5	0.583238	0.8944832	0.3260006	0.9447162	0.9350224	0.882264	0.587537	0.8154436	0.913988
0.641456	0.5	0.5	0.5495872	0.8211648	0.6131812	0.6197642	0.8849138	0.6387726	0.9394318	0.5988726	0.773066
0.7372118	0.6691172	0.5	0.7308526	0.7633396	0.6142392	0.7575124	0.7798156	0.8200374	0.745055	0.7807144	0.7926672
0.781929	0.6077174	0.5	0.710996	0.905215	0.7685766	0.866211	0.9045798	0.9015596	0.8231488	0.83337	0.9042532
0.7265542	0.635584	0.5	0.7037038	0.8880204	0.749485	0.8789284	0.9104588	0.872266	0.835557	0.8052584	0.890082
0.7945862	0.6193108	0.5466278	0.661722	0.8392376	0.7257996	0.9403324	0.9447456	0.8868072	0.8139422	0.817559	0.9092472
0.8889544	0.6214404	0.5483032	0.5866494	0.794704	0.7231214	0.9502872	0.9464044	0.9305668	0.4353248	0.7646922	0.9256952
0.8439496	0.5	0.5	0.5994444	0.7833908	0.9192546	0.9550844	0.9413936	0.7912974	0.6878032	0.6987932	0.9374372
0.8679936	0.642883	0.5	0.7617568	0.8903336	0.7980974	0.9121028	0.950577	0.8999152	0.7429574	0.8585512	0.9420418
0.8675722	0.4997776	0.5	0.6078118	0.8209274	0.8286568	0.9816016	0.9666774	0.9256938	0.7467534	0.6392966	0.9564822
0.7780558	0.4992374	0.5	0.6245126	0.9782332	0.5579626	0.9689968	0.9603936	0.8983318	0.714331	0.7559874	0.9092126
0.8808764	0.5	0.5	0.5666032	0.9299334	0.9116044	0.9943764	0.9814474	0.94641	0.9783652	0.7985916	0.963913
0.7018272	0.5877768	0.5	0.687125	0.7577352	0.618889	0.734322	0.7905796	0.8469994	0.5217622	0.759862	0.808977
0.7195098	0.5	0.5	0.6164072	0.7825552	0.5388818	0.9486446	0.9274724	0.7822586	0.4271918	0.7825126	0.8621982
0.5033252	0.4995234	0.5	0.4996186	0.6733008	0.5073106	0.7730862	0.7637108	0.5202736	0.6598778	0.5897468	0.692626
0.858402	0.555892	0.5	0.6158506	0.906047	0.765017	0.9814576	0.956676	0.8823252	0.7268658	0.7242418	0.9450086
0.8605548	0.5579758	0.5	0.549841	0.8906532	0.8623964	0.9881668	0.961667	0.9422456	0.9735966	0.739789	0.852459
0.9117856	0.5	0.5	0.4997458	0.868543	0.807593	0.9796288	0.9671584	0.96232	0.8769928	0.7817398	0.9579578
0.8479038	0.5	0.5	0.5999682	0.8983632	0.847999	0.9623286	0.9566598	0.8453784	0.9833578	0.648666	0.8942514
0.7790238	0.5	0.5	0.6499682	0.9245606	0.9168464	0.9850792	0.9758776	0.9118116	0.9721198	0.748724	0.9936042
