"adaboost"	"C5"	"glmnet"	"kknn"	"lda"	"LogitBoost"	"mlp"	"naive_bayes"	"ranger"	"svmLinear2"	"treebag"	"xgbLinear"
0.6480306	0.5	0.5	0.682968	0.9258274	0.7776568	0.848007	0.909071	0.8023938	0.6072006	0.715915	0.8481158
0.683068	0.5	0.5	0.7491274	0.9069592	0.8609838	0.8480784	0.872923	0.9441054	0.4321706	0.7562806	0.9215098
0.6760236	0.5	0.5	0.7729042	0.9074142	0.8698184	0.841582	0.8747564	0.9338436	0.4314456	0.8095902	0.9057938
0.6704766	0.5018112	0.5	0.6396432	0.9130494	0.8615478	0.364229	0.9090066	0.8791278	0.5172994	0.6597576	0.9053506
0.5186848	0.5	0.5	0.5984006	0.8613652	0.6558632	0.6812436	0.8379528	0.7164868	0.6727018	0.5603858	0.7053854
0.5186848	0.5	0.5	0.5984006	0.8613652	0.6558632	0.6812436	0.8379528	0.7164868	0.6727018	0.5603858	0.7053854
0.6981092	0.5	0.5	0.7433702	0.9105048	0.9084802	0.85038	0.8779476	0.9431732	0.4285712	0.777793	0.9188978
0.6965312	0.5	0.5	0.7487602	0.9097054	0.8708022	0.8576854	0.8624976	0.9155818	0.3811966	0.8174982	0.9100582
0.4961886	0.5	0.5	0.5489834	0.907512	0.5907862	0.4425856	0.7041676	0.5618066	0.377158	0.4969826	0.5507046
0.5833878	0.5	0.5	0.5178638	0.916198	0.8284246	0.7040206	0.891634	0.8386924	0.4940148	0.6702646	0.820026
0.6980094	0.5	0.5	0.748761	0.8378124	0.8353716	0.5886912	0.8034202	0.9018532	0.7570202	0.7137178	0.8226598
0.4962522	0.5	0.5	0.4985074	0.8626302	0.6193522	0.4184866	0.6781122	0.5992116	0.4864614	0.4970144	0.612521
0.6851034	0.6409814	0.5	0.7360584	0.726781	0.66791	0.761994	0.7017088	0.8163318	0.6046124	0.782495	0.7890278
0.689146	0.5333604	0.5	0.7214052	0.7833118	0.7791544	0.7976828	0.8025696	0.892145	0.5169786	0.7697978	0.8856872
0.708745	0.5515302	0.5	0.7464272	0.8391602	0.8006908	0.8338534	0.8125414	0.909829	0.4650158	0.7602736	0.8652664
0.7440706	0.5	0.5	0.7631502	0.8697548	0.8858106	0.8350972	0.8382204	0.9208192	0.5986314	0.7796806	0.874798
0.6646498	0.5	0.5	0.6155312	0.911507	0.7981822	0.7559252	0.8618786	0.8983478	0.3878772	0.7816864	0.9009534
0.5460776	0.5	0.5	0.5989994	0.824696	0.7029084	0.6700412	0.7198996	0.7262418	0.5205106	0.546554	0.6676004
0.6896622	0.5	0.5	0.722295	0.822876	0.8706486	0.8522504	0.820616	0.9123288	0.440049	0.7548868	0.8953942
0.5875888	0.5	0.5	0.6814082	0.8447566	0.8641644	0.473562	0.7516576	0.8009478	0.4147706	0.6174532	0.8139814
0.7372496	0.5	0.5	0.698684	0.8403614	0.8908378	0.7512446	0.8280108	0.9172466	0.3465734	0.6603432	0.8558998
0.6476598	0.5	0.5	0.7322424	0.9015754	0.847288	0.8501014	0.9306934	0.8650814	0.5180316	0.679754	0.868709
0.663242	0.5	0.5	0.7212648	0.7682354	0.6706092	0.7597704	0.7358096	0.8650018	0.6348722	0.7853138	0.816376
0.6819198	0.5	0.5	0.6829944	0.92932	0.8847732	0.8370498	0.8466646	0.9002806	0.6997564	0.6822692	0.813956
0.553599	0.5	0.5	0.557298	0.6440744	0.5573572	0.6294694	0.4497332	0.5167552	0.4670996	0.5513984	0.591193
0.5493076	0.5	0.5	0.5502946	0.8662772	0.7177718	0.8126776	0.880583	0.8520282	0.5193544	0.578163	0.791187
0.7128954	0.525294	0.5	0.6069932	0.8869422	0.8809716	0.7816928	0.8734566	0.8917344	0.5858718	0.5682546	0.850463
0.5298606	0.5	0.5	0.599333	0.8935952	0.8655502	0.8873384	0.8240016	0.885584	0.4764818	0.496474	0.8364524
0.4966014	0.5	0.5	0.4996824	0.8346438	0.6513198	0.5655568	0.4942586	0.6575012	0.3609424	0.496951	0.7561734
0.5290338	0.5	0.5	0.599174	0.8995076	0.8983892	0.895043	0.732256	0.8720708	0.4100914	0.4957114	0.8796106
0.5629176	0.5	0.5	0.5657666	0.838544	0.7733124	0.6119808	0.6368502	0.7725558	0.559515	0.5585546	0.6682034
0.6296638	0.5	0.5	0.5822798	0.636442	0.7278842	0.7612548	0.651413	0.8507518	0.7399484	0.6117586	0.7601002
0.7364488	0.5882896	0.5	0.7656598	0.9339122	0.8563352	0.9018148	0.8874288	0.9161632	0.5695192	0.7717746	0.9019118
0.6942234	0.5215706	0.5	0.7344562	0.9230266	0.8318712	0.8910326	0.8995518	0.8503332	0.514491	0.738236	0.8520734
0.5806284	0.5	0.5	0.4989518	0.94582	0.7830652	0.4539524	0.7808564	0.8411234	0.483537	0.5454098	0.7355122
0.6294852	0.5	0.5	0.647259	0.9302112	0.7642224	0.306362	0.7746428	0.7227512	0.4630726	0.6184614	0.7430642
0.5290024	0.5	0.5	0.5313848	0.7807418	0.6201876	0.4596798	0.640352	0.7092894	0.5609958	0.494631	0.7157656
0.6845272	0.5480788	0.5	0.7419512	0.8623158	0.8675482	0.8296952	0.831775	0.9300568	0.62205	0.7838412	0.9107988
0.6632762	0.5309678	0.5	0.6910356	0.8877318	0.8737946	0.6828362	0.8598042	0.9336022	0.6741694	0.7622808	0.9182884
0.699095	0.5	0.5	0.7288838	0.9036736	0.8366322	0.7045488	0.874358	0.9007174	0.7053498	0.6694508	0.8452526
0.7566368	0.5700318	0.5	0.82387	0.921004	0.8960978	0.6778106	0.9140288	0.9083522	0.8487834	0.7349904	0.8728548
0.6972782	0.5	0.5	0.631967	0.9136844	0.8788882	0.4775764	0.8150098	0.8970262	0.731461	0.661636	0.8673012
0.6624146	0.5	0.5	0.6503796	0.8253068	0.734727	0.7498762	0.7196432	0.8563556	0.5498068	0.6545396	0.8323444
0.6132154	0.5	0.5	0.5576154	0.852127	0.7144776	0.5676704	0.7654172	0.814387	0.467286	0.568758	0.858635
0.6652298	0.5	0.5	0.6956606	0.8022904	0.8124438	0.7592968	0.7066626	0.8710062	0.6268198	0.7663262	0.8403864
0.7321718	0.5	0.5	0.7489928	0.87305	0.8427314	0.598315	0.7612948	0.866788	0.7487978	0.7837284	0.8715334
0.7637932	0.5180808	0.5	0.8240864	0.9208306	0.86148	0.458386	0.9274328	0.901586	0.6350362	0.728175	0.8993082
0.6971514	0.5	0.5	0.8322744	0.9261068	0.8641304	0.4217116	0.9191514	0.9524194	0.6798062	0.763331	0.8452718
0.6650362	0.5	0.5	0.7157454	0.8996506	0.813273	0.7236552	0.8999576	0.8168996	0.8197692	0.7149142	0.8113352
0.7085028	0.5	0.5	0.6905456	0.8710444	0.8588992	0.5991044	0.7341312	0.8475836	0.6963284	0.796465	0.8859396
0.7988566	0.5	0.5	0.7495396	0.9129048	0.8554216	0.8011806	0.9927258	0.8935674	0.8781076	0.7975864	0.8624744
0.4963156	0.5	0.5	0.4990156	0.811508	0.7846402	0.6976362	0.7102348	0.5277726	0.631035	0.4949814	0.6812302
0.6816688	0.5621824	0.5	0.734176	0.7531156	0.6821934	0.7804468	0.7232902	0.8223642	0.6011884	0.7811462	0.7989118
0.6694538	0.5676706	0.5	0.7267248	0.755726	0.691849	0.784425	0.72496	0.8222548	0.6036146	0.778275	0.8035514
0.5516384	0.5	0.5	0.5313734	0.7080724	0.720303	0.5788342	0.725404	0.6907174	0.5325316	0.5501922	0.6973074
0.5588516	0.5	0.5	0.6375526	0.841548	0.8298672	0.3982444	0.6879584	0.7623132	0.48633	0.5607886	0.7737514
0.5969826	0.5	0.5	0.5493968	0.8158824	0.6492998	0.2436902	0.7380496	0.8149986	0.5567748	0.5461566	0.7969078
0.4958708	0.5	0.5	0.5487294	0.9099442	0.7308714	0.4732194	0.830485	0.8141916	0.328929	0.5457438	0.7236108
0.4960928	0.5	0.5	0.5325286	0.7708492	0.7684242	0.2860124	0.7311096	0.5690174	0.4921112	0.4966644	0.7622934
0.5792698	0.5	0.5	0.6077744	0.887441	0.7647772	0.560576	0.6439622	0.827571	0.4989112	0.574687	0.8406218
0.5839784	0.5	0.5	0.6253602	0.8314994	0.782174	0.8004594	0.8079622	0.8043674	0.41785	0.6464244	0.7943212
0.572579	0.4968696	0.5	0.5886232	0.862229	0.7434818	0.8370938	0.8237634	0.8829552	0.4544718	0.6838578	0.8202856
0.6127958	0.5	0.5	0.732306	0.7713692	0.6431906	0.6040824	0.6647806	0.7920446	0.555016	0.645923	0.6822814
0.6623672	0.5	0.5	0.5641566	0.8090454	0.797462	0.31786	0.636686	0.8041136	0.3095972	0.5614876	0.7531158
0.494535	0.5	0.5	0.7322108	0.6127378	0.7550502	0.7026844	0.7759378	0.85719	0.5894058	0.5566046	0.740283
0.6980786	0.5	0.5	0.6995712	0.9139288	0.8951192	0.530514	0.8475414	0.835962	0.8889192	0.747332	0.832879
0.490236	0.5	0.5	0.6423878	0.7188066	0.629445	0.59203	0.546389	0.7577292	0.4266476	0.5781882	0.6681392
0.4973322	0.5	0.5	0.6995076	0.747318	0.6787128	0.2295208	0.5955354	0.7610908	0.4134008	0.646856	0.8053718
0.496347	0.5	0.5	0.6654068	0.6514824	0.7191286	0.6270542	0.5633418	0.7001324	0.509445	0.5624736	0.552086
0.5695558	0.5	0.5	0.6722246	0.7248744	0.658764	0.446874	0.6219116	0.7415704	0.5123426	0.6760118	0.721514
0.6633888	0.5	0.5	0.6860008	0.8363464	0.7931764	0.7687348	0.7527306	0.863012	0.6325338	0.743198	0.8568068
0.7903122	0.5727872	0.5	0.8264076	0.9015906	0.892326	0.6113962	0.7900156	0.9181726	0.789196	0.763829	0.8985336
0.701235	0.5	0.5	0.7225112	0.8543896	0.787988	0.7676288	0.7829242	0.8810218	0.7150318	0.7138016	0.8380562
0.6805376	0.5	0.5	0.7157082	0.8681798	0.8198452	0.8252572	0.7637066	0.9128522	0.6672456	0.6781074	0.7113658
0.5978876	0.5	0.5	0.597824	0.8116474	0.8470934	0.2644008	0.5949808	0.8514082	0.5910314	0.5956956	0.7450656
0.7136336	0.5	0.5	0.7346674	0.8443422	0.8359834	0.7699866	0.7360478	0.9171952	0.6626134	0.8064676	0.8841504
0.6816688	0.5	0.5	0.6780692	0.8630324	0.8392626	0.778538	0.8126764	0.8491068	0.7345902	0.7224844	0.8470644
0.7154278	0.5	0.5	0.7325446	0.906671	0.8629818	0.8461032	0.8108324	0.8515512	0.8251482	0.7475222	0.829765
0.5466332	0.5	0.5	0.5994442	0.8179146	0.889661	0.6476942	0.7681432	0.770733	0.6543078	0.5948544	0.7876746
0.5468712	0.5	0.5	0.5823328	0.8138528	0.8607662	0.4581294	0.6296116	0.586332	0.5936238	0.5457594	0.5888068
0.4964104	0.5	0.5	0.6158832	0.7559694	0.6960356	0.6508612	0.7101178	0.7047398	0.6247862	0.5609696	0.698732
0.7240708	0.5828408	0.5	0.7797436	0.850791	0.8568542	0.6835936	0.7322408	0.9106136	0.727814	0.8146996	0.900895
0.706554	0.5686332	0.5	0.7734422	0.8913896	0.8961568	0.4971732	0.8488678	0.9316986	0.747481	0.747906	0.8778136
0.7611568	0.5	0.5	0.7477796	0.851297	0.8573338	0.8088068	0.7253172	0.9154854	0.6496768	0.756176	0.897532
0.4958708	0.5	0.5	0.5487294	0.9099442	0.7308714	0.4732194	0.830485	0.8141916	0.328929	0.5457438	0.7236108
0.8319038	0.5	0.5	0.7830316	0.9535896	0.8946846	0.9314166	0.8682764	0.821024	0.6177572	0.781729	0.828743
0.561795	0.5	0.5	0.6310034	0.7400304	0.6734908	0.5591744	0.8014768	0.748256	0.6793202	0.4912632	0.6156398
0.710448	0.5366068	0.5	0.7675632	0.8832634	0.7977984	0.8781626	0.85926	0.9178626	0.5695988	0.8213512	0.8913868
0.666699	0.6305282	0.5	0.6998626	0.8557058	0.783374	0.8699474	0.8153202	0.8602002	0.5143788	0.7069998	0.8471348
0.7262486	0.5319924	0.5	0.7190566	0.873449	0.8662998	0.8610854	0.7596566	0.8646076	0.3511156	0.7641886	0.8969956
0.6463678	0.5	0.5	0.7157454	0.7527974	0.7533632	0.5011208	0.732106	0.8416782	0.4132162	0.6928202	0.8107722
0.65527	0.5	0.5	0.7174078	0.7398708	0.650645	0.7473828	0.7306278	0.8421476	0.675918	0.724622	0.8154512
0.6623672	0.5	0.5	0.5641566	0.8090454	0.797462	0.31786	0.636686	0.8041136	0.3095972	0.5614876	0.7531158
0.6459978	0.5	0.5	0.6992058	0.6844414	0.6484742	0.6786252	0.6238404	0.709247	0.4513092	0.6466014	0.6129952
0.6394498	0.5	0.5	0.716461	0.633371	0.703477	0.705534	0.6623048	0.86571	0.6281538	0.6279306	0.7896788
0.5678934	0.5	0.5	0.791381	0.7088644	0.743438	0.7321358	0.7851364	0.8714	0.665709	0.6863808	0.72901
0.6908208	0.5	0.5	0.7633462	0.8415374	0.7733328	0.861129	0.8209792	0.8941606	0.7112626	0.787122	0.8655924
0.7099952	0.524065	0.5	0.7627424	0.9041776	0.8264152	0.879066	0.868871	0.90437	0.5972856	0.8013944	0.8972886
0.5465536	0.5	0.5	0.6327194	0.7415756	0.8346794	0.584095	0.697747	0.7069958	0.532529	0.544505	0.697933
0.626457	0.5269728	0.5	0.682391	0.766668	0.675588	0.7588858	0.7405404	0.8394414	0.6528976	0.6965182	0.8024184
0.5756052	0.5	0.5	0.6015064	0.745988	0.681506	0.7175666	0.7061446	0.765315	0.649551	0.638073	0.8064042
0.494598	0.5	0.5	0.5481884	0.842469	0.7480724	0.4901176	0.7650672	0.7459486	0.4662006	0.5576316	0.7191426
0.6625892	0.5	0.5	0.5653642	0.7428194	0.7701684	0.794951	0.6558776	0.7689328	0.7053588	0.6603122	0.8181218
0.5805218	0.5	0.5	0.5819514	0.820213	0.6218532	0.6706878	0.709318	0.84562	0.4446938	0.5456638	0.6555132
0.666699	0.6305282	0.5	0.6998626	0.8557058	0.783374	0.8699474	0.8153202	0.8602002	0.5143788	0.7069998	0.8471348
0.666699	0.6305282	0.5	0.6998626	0.8557058	0.783374	0.8699474	0.8153202	0.8602002	0.5143788	0.7069998	0.8471348
0.6871776	0.5	0.5	0.682049	0.9109006	0.8686778	0.8073164	0.7343428	0.892933	0.5052446	0.6756504	0.8535864
0.6470296	0.5	0.5	0.7160368	0.9278484	0.7797438	0.934064	0.816529	0.8445306	0.6807392	0.6617482	0.8144164
