ontology,class,algorithm,selection_type,auroc,auprc,time_sec
BP,GO:0000003,naive_bayes,PCA,0.681,0.0191,10.353
BP,GO:0000070,naive_bayes,PCA,0.9536,0.139,8.72
BP,GO:0000075,naive_bayes,PCA,0.9618,0.0376,8.833
BP,GO:0000122,naive_bayes,PCA,0.7739,0.0329,8.743
BP,GO:0000132,naive_bayes,PCA,0.8464,0.023,8.564
BP,GO:0000165,naive_bayes,PCA,0.9838,0.0669,8.877
BP,GO:0000187,naive_bayes,PCA,0.9305,0.0213,7.983
BP,GO:0000212,naive_bayes,PCA,0.9342,0.0129,8.493
BP,GO:0000226,naive_bayes,PCA,0.8372,0.0397,8.728
BP,GO:0000278,naive_bayes,PCA,0.783,0.1247,8.801
BP,GO:0000280,naive_bayes,PCA,0.7609,0.0036,8.613
BP,GO:0000281,naive_bayes,PCA,0.8491,0.0956,8.734
BP,GO:0000302,naive_bayes,PCA,0.7065,0.0096,8.882
BP,GO:0000578,naive_bayes,PCA,0.8265,0.0133,8.596
BP,GO:0000737,naive_bayes,PCA,0.7278,0.0033,7.824
BP,GO:0000819,naive_bayes,PCA,0.9536,0.139,8.72
BP,GO:0000910,naive_bayes,PCA,0.8669,0.0445,8.648
BP,GO:0000956,naive_bayes,PCA,0.6915,0.0085,8.433
BP,GO:0001505,naive_bayes,PCA,0.6603,0.0081,8.695
BP,GO:0001556,naive_bayes,PCA,0.8129,0.1882,8.384
BP,GO:0001558,naive_bayes,PCA,0.753,0.0163,8.272
BP,GO:0001666,naive_bayes,PCA,0.5651,0.002,8.689
BP,GO:0001667,naive_bayes,PCA,0.8176,0.0202,8.686
BP,GO:0001708,naive_bayes,PCA,0.8455,0.0302,8.519
BP,GO:0001709,naive_bayes,PCA,0.8138,0.0074,8.931
BP,GO:0001714,naive_bayes,PCA,0.7907,0.0109,7.291
BP,GO:0001764,naive_bayes,PCA,0.7277,0.0231,7.397
BP,GO:0001932,naive_bayes,PCA,0.7934,0.0271,8.254
BP,GO:0001933,naive_bayes,PCA,0.6904,0.0059,8.645
BP,GO:0001934,naive_bayes,PCA,0.7397,0.0187,8.03
BP,GO:0001956,naive_bayes,PCA,0.7183,0.0099,8.424
BP,GO:0002009,naive_bayes,PCA,0.7323,0.0188,8.667
BP,GO:0002119,naive_bayes,PCA,0.7466,0.0402,8.461
BP,GO:0002164,naive_bayes,PCA,0.746,0.0463,7.749
BP,GO:0002376,naive_bayes,PCA,0.7768,0.0126,8.549
BP,GO:0002682,naive_bayes,PCA,0.7829,0.0137,8.775
BP,GO:0002684,naive_bayes,PCA,0.8075,0.0406,8.459
BP,GO:0002831,naive_bayes,PCA,0.8233,0.0255,8.294
BP,GO:0002833,naive_bayes,PCA,0.766,0.0498,8.589
BP,GO:0003002,naive_bayes,PCA,0.7355,0.0068,7.671
BP,GO:0003006,naive_bayes,PCA,0.7473,0.0515,8.819
BP,GO:0003008,naive_bayes,PCA,0.7115,0.0291,8.627
