iter,AUROC,AUPRC
1,0.8550955,0.02954298
2,0.9906906,0.218118
3,0.7793125,0.03034684
4,0.7364736,0.02770442
5,0.8840866,0.1907151
6,0.7484076,0.03235133
7,0.8557447,0.1139418
8,0.7040102,0.0124195
9,0.8717377,0.2645222
10,0.9666454,0.07702132
1,0.7510042,0.2063802
2,0.8093776,0.1750444
3,0.7078926,0.159352
4,0.8103867,0.1519631
5,0.7917398,0.1556034
6,0.656824,0.03761411
7,0.8429566,0.2720286
8,0.8068255,0.1895023
9,0.7700948,0.1637037
10,0.8014508,0.2171031
1,0.9907878,0.01923077
2,0.9955527,0.03571429
3,0.9984117,0
4,1,0
5,0.9568254,0.004545455
6,0.9218551,0.002631579
7,1,0
8,0.9996823,0
9,0.5409784,0.0003610108
10,0.9406349,0.003225806
1,0.8617038,0.04606851
2,0.7849045,0.03169788
3,0.8011458,0.09396647
4,0.7065605,0.008348979
5,0.6338638,0.04560088
6,0.6518312,0.01553517
7,0.796051,0.01964731
8,0.8728199,0.04746369
9,0.8118471,0.06364273
10,0.5429663,0.001915709
1,0.6932055,0.08514172
2,0.7539016,0.09165723
3,0.7603936,0.190112
4,0.6968903,0.04924202
5,0.6969361,0.1014528
6,0.7004238,0.1022754
7,0.7363907,0.04315209
8,0.7344846,0.1213518
9,0.7181988,0.08633009
10,0.7609819,0.1241747
1,0.5349873,0.0007304602
2,0.8407502,0.03618841
3,0.7633588,0.002194094
4,0.9777495,0.07628205
5,0.6841492,0.007138589
6,0.7765585,0.00808385
7,0.7068235,0.008354574
8,0.5305344,0.0007380074
9,0.8390549,0.03800725
10,0.6883874,0.006493952
1,0.6412172,0.01218923
2,0.8153243,0.06947257
3,0.7051294,0.05330408
4,0.8223397,0.02599119
5,0.6104227,0.01234928
6,0.5044643,0.009731175
7,0.8374636,0.1165782
8,0.8979592,0.1026587
9,0.8256195,0.06122264
10,0.720921,0.02213003
1,0.9758577,0.007352941
2,0.999047,0
3,0.9930114,0.025
4,0.4882465,0.0003320053
5,0.5260317,0.0003546099
6,0.9987294,0.125
7,1,0
8,0.9822109,0.01
9,0.9993647,0
10,0.9974603,0
1,0.9996821,0
2,0.9971392,0.1111111
3,0.7109027,0.003899513
4,0.9993647,0
5,0.9992053,0.3214286
6,1,0
7,0.9982529,0.1388889
8,0.7329943,0.01005415
9,0.9529561,0.1309524
10,0.9995235,0.35
1,0.7568515,0.02428602
2,0.777707,0.01159211
3,0.876879,0.05153355
4,0.969586,0.1241703
5,0.8663057,0.02183375
6,0.7047134,0.04626018
7,0.7420913,0.06814843
8,0.7311465,0.006686813
9,0.7864331,0.04543649
10,0.8177282,0.04485942
